Algorithm,Dataset,N,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F1-score,Accuracy,AUC
Random Forest,Test set,6026,2594,2215,798,419,0.7647405660377359,0.8609359442416197,0.7351476933289081,0.809992193598751,0.7980418187852638,0.876129591771204
Random Forest,Entire population,31488,15325,14946,798,419,0.9505054890529058,0.9733866869918699,0.9493140243902439,0.9618100229077102,0.9613503556910569,0.9920744403307338
