Algorithm,Dataset,N,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F1-score,Accuracy,Balanced Accuracy,AUC
Logistic Regression,Test set,1600,1363,92,93,52,0.9361263736263736,0.9632508833922262,0.4972972972972973,0.9494949494949495,0.909375,0.7302740903447618,0.8941686562887976
Logistic Regression,Entire population,12984,6875,5336,512,261,0.930689048328144,0.9634248878923767,0.9124487004103967,0.9467740824898437,0.9404651879235982,0.9379367941513868,0.9828476582389134
