word,score
영화입니다 보셔야,2
영화입니다 알츠하이머가,2
영화입니다 가족의,2
영화입니다 드는,2
영화입니다 봣으면,2
영화입니다 두려웠던,1
영화입니다 오랜만에,1
영화입니다 가슴뭉클해지는,1
영화입니다 받았던,1
영화입니다 사랑스러운,1
영화입니다 건강관리,1
영화입니다 이상의,1
영화입니다 사는,1
영화입니다 일깨워주는,1
영화입니다 펑펑,1
영화입니다 눈물이나는,1
영화입니다 긴여운이남는,1
영화입니다 개인적으론,1
영화입니다 생소한,1
영화입니다 않는,1
영화입니다 잔잔하고,1
영화입니다 슬퍼요,1
영화입니다 돌아보게,1
영화입니다 티슈,1
영화입니다 감동이었던,1
영화입니다 엄청,1
영화입니다 모두의,1
영화입니다 생각하면서,1
영화입니다 울던,1
영화입니다 스릴러,1
영화입니다 따듯해지는,1
아름다운 가장,70
아름다운 사랑,39
아름다운 이야기,27
아름다운 부시게,25
아름다운 시를,19
아름다운 시,19
아름다운 슬프고,18
아름다운 사랑을,13
아름다운 슬프지만,12
아름다운 사랑이야기,11
아름다운 영화입니다,11
아름다운 이토록,10
아름다운 시가,10
아름다운 것을,10
아름다운 것은,10
아름다운 이별,9
아름다운 사랑이,9
아름다운 것이,9
아름다운 삶을,8
아름다운 슬프고도,8
아름다운 사랑은,7
아름다운 너무나,7
아름다운 삶의,7
아름다운 것만,7
아름다운 시는,6
아름다운 영화였습니다,6
아름다운 너무나도,6
아름다운 앨리스,6
아름다운 사람이,6
아름다운 것들을,6
아름다운 건,5
아름다운 연기,5
아름다운 순간,5
아름다운 아주,5
아름다운 인생,5
아름다운 인생을,5
아름다운 작품,5
아름다운 감동적이고,5
아름다운 드라마,5
아름다운 세상,4
아름다운 것에,4
아름다운 잔잔하고,4
아름다운 첫사랑,4
아름다운 이게,4
아름다운 영화를,4
아름다운 결말,4
아름다운 기억을,4
아름다운 꽃과,4
아름다운 스토리,4
아름다운 미자는,4
아름다운 사랑의,4
아름다운 이별이,4
아름다운 영상과,4
아름다운 세상을,4
아름다운 슬픈,4
아름다운 진짜,4
아름다운 사람들,4
아름다운 걸,4
아름다운 사랑으로,4
아름다운 것이다,4
아름다운 영화가,4
아름다운 하와이의,4
아름다운 세상은,4
아름다운 로맨스,4
아름다운 그들의,4
아름다운 저런,4
아름다운 영화이다,4
아름다운 따뜻하고,4
아름다운 배우,3
아름다운 엔딩,3
아름다운 사실,3
아름다운 너무도,3
아름다운 이별을,3
아름다운 멜로,3
아름다운 순수하고,3
아름다운 사람,3
아름다운 이야기가,3
아름다운 언어로,3
아름다운 배우의,3
아름다운 더욱,3
아름다운 당신의,3
아름다운 영화였어요,3
아름다운 영화에요,3
아름다운 꼭,3
아름다운 단어,3
아름다운 삶,3
아름다운 노년의,3
아름다운 순간은,3
아름다운 인생의,3
아름다운 눈부시게,3
아름다운 짧지만,3
아름다운 시상을,3
아름다운 영화는,3
아름다운 연기를,3
아름다운 러브스토리,3
아름다운 위해,3
아름다운 영상이,3
아름다운 이야기였어,3
아름다운 기억은,3
아름다운 시처럼,3
감동적인 영화입니다,27
감동적인 영화였어요,24
감동적인 영화였습니다,18
감동적인 슬프고,15
감동적인 영화에요,13
감동적인 오랜만에,11
감동적인 이야기,10
감동적인 영화였다,9
감동적인 영화를,8
감동적인 영화네요,7
감동적인 아름답고,7
감동적인 잔잔하고,6
감동적인 진짜,6
감동적인 반전,5
감동적인 반전이,4
감동적인 재미있고,4
감동적인 아주,4
감동적인 사랑이야기,4
감동적인 봐도,4
감동적인 러브스토리,4
감동적인 영화가,4
감동적인 따뜻하고,4
감동적인 좋았어요,3
감동적인 넘,3
감동적인 결말,3
감동적인 스토리,3
감동적인 영화라고,3
감동적인 만드는,3
감동적인 다시봐도,3
감동적인 였습니다,3
감동적인 스토리가,3
감동적인 가장,3
감동적인 가족,3
감동적인 완전,3
감동적인 사랑,3
감동적인 슬프면서,3
감동적인 반전있는,3
감동적인 가족영화,3
감동적인 가슴따뜻하고,2
감동적인 유쾌하고,2
감동적인 건,2
감동적인 영화엿어요,2
감동적인 뻔하지만,2
감동적인 남는,2
감동적인 영화보고,2
감동적인 드라마는,2
감동적인 좋았고,2
감동적인 내용,2
감동적인 스토리에,2
감동적인 너무나,2
감동적인 보면,2
감동적인 되는,2
감동적인 영화예요,2
감동적인 재밌고,2
감동적인 울었네요,2
감동적인 잔잔하지만,2
감동적인 잔잔한,2
감동적인 잔잔하면서,2
감동적인 하루,2
감동적인 영화였음,2
감동적인 영화였고,2
감동적인 영화였네요,2
감동적인 눈물나게,2
감동적인 슬프면서도,2
감동적인 잔잔히,2
감동적인 모처럼,2
감동적인 영화는,2
감동적인 영화네요배우들의,2
감동적인 작품,2
감동적인 예쁘고,2
감동적인 로맨스,2
감동적인 울리는,2
감동적인 없는,2
감동적인 영화눈물이,2
감동적인 영화다,2
감동적인 돋보이는,2
감동적인 실화,2
감동적인 봤는데,2
감동적인 드라마,2
감동적인 또보고싶을정도에요,1
감동적인 흐르는,1
감동적인 했다니,1
감동적인 잘보았습니다,1
감동적인 반전있고,1
감동적인 드라마를,1
감동적인 유쾌하게,1
감동적인 된다면참,1
감동적인 언제봐도,1
감동적인 보다가,1
감동적인 아닐,1
감동적인 보게,1
감동적인 숨겨진,1
감동적인 달리,1
감동적인 물론이고,1
감동적인 웃음이,1
감동적인 메시지를,1
감동적인 오래간만에,1
감동적인 사랑영화라길래,1
감동적인 영화였어요오랜만에,1
감동적인 엔딩,1
좋았어요 연기가,97
좋았어요 연기,31
좋았어요 봐서,20
좋았어요 있어서,16
좋았어요 보기,14
좋았어요 연기도,12
좋았어요 넘,11
좋았어요 있어,10
좋았어요 연출이,9
좋았어요 봤는데,9
좋았어요 감동적이고,8
좋았어요 연기는,8
좋았어요 잔잔하고,7
좋았어요 추천합니다,7
좋았어요 제일,7
좋았어요 아주,6
좋았어요 너무너무,6
좋았어요 내용도,5
좋았어요 재개봉해서,5
좋았어요 재밌게,5
좋았어요 역시,5
좋았어요 연기력이,5
좋았어요 잘봤습니다,5
좋았어요 잘봤어요,5
좋았어요 특히,5
좋았어요 잔잔하니,4
좋았어요 좋아요,4
좋았어요 다,4
좋았어요 카시오페아,4
좋았어요 보니,4
좋았어요 스토리도,4
좋았어요 메멘토,3
좋았어요 몰입해서,3
좋았어요 파더,3
좋았어요 재미있고,3
