감사합니다,영화네요,잘봤습니다,홉킨스의,오늘을,봐도,감동을,보았습니다,좋아요,살아가세요,생각하게,홉킨스,좋은,보면,좋았습니다,나는,내가,아름다운,부시게,연기,다시,눈이,펑펑,감동이,사랑을,사랑,영화를,영화입니다,딸에,그럼에도,영화가,기억을,하게,연기가,좋았어요,진짜,연기는,놀란,명작,감동,소중함을,나도,사랑하는,생각이,메멘토,영화는,무어의,맥아담스
0,1,0,1,2,3,2,1,0,0,3,0,9,5,0,28,16,8,0,4,25,1,0,0,7,13,10,4,0,12,7,52,1,2,0,8,1,6,2,2,2,8,18,8,2,14,0,0
0,11,1,0,0,0,0,1,2,0,1,0,5,1,0,5,7,2,0,0,1,0,1,0,2,1,3,6,0,1,0,2,2,0,2,5,0,0,0,0,1,5,2,6,0,5,0,0
0,1,2,1,0,2,4,1,43,0,4,0,18,6,89,3,9,2,0,9,11,7,1,3,2,2,14,6,1,2,6,2,1,16,120,17,8,1,0,3,2,0,1,5,0,2,1,0
3,0,1,0,0,0,0,1,1,0,2,1,2,0,2,1,0,0,0,2,3,0,1,1,1,1,2,2,0,0,2,1,0,2,64,3,2,1,1,1,0,0,1,1,0,3,0,0
2,3,0,0,0,7,2,0,3,0,5,1,11,10,4,15,23,12,0,19,14,6,37,3,5,10,17,6,0,1,14,5,1,11,3,55,1,5,3,9,0,7,8,11,1,18,0,0
1,0,0,2,0,2,1,0,5,0,0,0,0,1,8,2,5,0,0,1,5,2,2,0,0,1,1,1,1,0,7,2,1,9,8,15,4,0,0,2,0,1,2,5,0,5,0,1
0,3,0,0,0,5,0,0,1,0,0,0,1,5,0,0,5,1,0,2,9,0,0,0,0,0,16,4,0,0,7,7,2,0,2,4,0,23,9,0,0,1,1,1,10,30,0,0
1,0,1,0,0,3,0,1,1,0,0,0,0,0,0,0,2,1,0,3,9,0,0,0,0,2,1,0,0,0,1,2,0,1,1,2,0,0,7,1,0,0,0,0,0,2,0,0
1,0,2,0,0,2,1,0,0,0,0,0,2,3,2,1,0,2,0,1,2,0,3,1,2,2,1,3,0,1,2,0,1,1,1,3,0,0,0,11,0,2,0,0,0,3,0,0
0,7,1,0,0,0,1,0,1,0,4,0,7,1,0,0,2,1,0,0,20,0,1,0,0,1,0,4,0,0,0,0,0,0,2,1,1,0,0,0,1,2,1,2,0,0,0,0
0,1,0,0,1,0,1,0,0,0,7,0,10,2,1,6,31,6,0,3,9,5,6,0,70,16,4,0,0,0,6,14,1,1,0,8,0,2,1,0,0,16,6,14,2,4,0,0
0,1,0,0,0,0,0,1,1,0,3,0,6,9,0,15,17,10,0,0,14,3,0,1,9,8,8,1,0,3,7,15,0,1,0,7,0,0,0,2,0,8,22,4,0,5,0,0
3,15,1,0,1,0,0,0,0,0,1,0,11,1,3,28,14,4,1,7,10,4,5,0,6,4,9,4,0,1,4,1,1,8,6,5,1,0,0,1,1,7,3,9,0,6,0,0
0,0,5,0,0,1,0,0,4,0,0,0,0,0,3,0,1,0,0,1,6,1,0,0,0,0,1,1,0,0,1,0,0,0,6,0,0,3,0,0,0,1,0,1,53,2,0,0
0,2,1,2,0,8,2,0,0,0,3,1,23,3,4,16,18,6,0,2,24,1,2,2,10,5,25,3,3,8,31,10,2,5,5,17,8,5,2,6,0,4,7,6,2,50,0,0
0,1,0,0,0,0,1,0,0,0,1,0,2,0,0,1,1,4,0,59,3,0,0,1,0,1,1,0,0,0,2,4,0,73,0,0,38,0,0,1,0,2,0,2,0,1,0,0
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,1,2,1,0,0,1,2,1,0,0,0,0,1,0,0,0,5,2,1,0,0,0,0,0,1,0,2,1,0
