"영화제목","작성자","작성일","평점","리뷰","공감수","비공감수"
"내일의 기억","0107****","2021.04.22. 20:47","1","그렇게 살지 마라 인간들아이게 재밌다고??김강우가 무슨 열연을 했다는거야서예지 비중이 90프론데공짜표로 봤는데공짜표가 아깝다딴거볼걸 아 내 표","14","6"
"내일의 기억","jew0****","2021.04.22. 11:24","1","관람객 입니다. 여러분의 돈과 시간을 아끼세요.","16","8"
"내일의 기억","kay8****","2021.04.21. 11:46","10","안타깝네요 스텝들은 무슨 날벼락이고고생한 조단역 배우들은 무슨 129다들 힘내세요","16","8"
"내일의 기억","plto****","2021.04.22. 12:31","1","영화 자체로도 완성도가 떨어집니다. 서예지가 이런 류의 연기는 별로 잘하지 못하네요.","17","9"
"내일의 기억","give****","2021.04.22. 10:00","1","주인공이 시사회 참석 안하고 버린 영화를내 피같은 돈을 여기다가 쓰기 싫다","18","10"
"내일의 기억","joaq****","2021.04.21. 22:19","1","믿고 거르는 서예지 서예지 때문에 1점 준다","19","11"
"내일의 기억","kimk****","2021.04.21. 14:57","1","서딱딱 때문에 보는 내내 영화가 몰입이 안됨...ㅡ.,ㅡ 김강우 때문에 봤는데.... 서딱딱 사이코패스 행동이 워낙 뚜렷하게 강해서 영화 보는 내내 몰입이 안되고 생각나기 만듬...ㅡ.,ㅡ....","22","14"
"내일의 기억","qpfl****","2021.04.21. 13:34","1","진짜 재미없고 배우들이 불쌍..","22","14"
"내일의 기억","jand****","2021.04.21. 10:44","10","평점 왜 테러하지????","34","26"
"내일의 기억","todd****","2021.04.21. 10:42","10","시사로 봤었는데 시간가는줄 몰랐다 오랜만에 보는 웰메이드 스릴러!","36","28"
"내일의 기억","hye_****","2021.05.04. 20:23","1","별점, 댓글 전부 알바들이네. 이 영화를 보고 적은 건지 모르겠다. 억지 개연성과 개노잼 뻔한 스토리. 다들 욕하며 나오던데 재미는 무슨 어이가 없네. 망작 중의 망작.","9","2"
"내일의 기억","tmdq****","2021.04.30. 01:20","1","이 댓글을 보신 당신은 지금 행운아 입니다.당장 이 영화보려는 그 마음은 때려치우시고 돈좀 더 보태서 치킨드세요. 그게 더 기억에 남고 기분도 더 좋을겁니다. 진짜 재미없어요. 스토리 개연성은 밥말아먹고 후반내용은 진짜 억지에다가 한국영화 특유의 신파까지 다 넣었지만 정말 더럽게 재미없습니다. 딱 영화 초반까...","9","2"
"내일의 기억","june****","2021.04.28. 21:36","1","감독 논리대로라면 박수홍 사건도 박수홍 형보다 가스라이팅 당한 박수홍이 더 잘못이겠구만","9","2"
"내일의 기억","mist****","2021.05.04. 19:57","2","아니 다 알바냐?ㅈ나 재미 없던데 재미 없었던 부분이연기들은 잘 하던데반전 너으려고 억지 스토리 진짜 너무 심하던데","10","3"
"내일의 기억","ipor****","2021.04.29. 23:09","4","후반의 전개는 참 어거지 투성이네요.영화 한 편을 잘 만드는 것이 얼마나 어려운 일인지 짐작하게 하는 영화.","10","3"
"내일의 기억","mink****","2021.04.28. 17:43","1","역시 빠지지않는 신파... 그리고 근친장려까지... 최악","10","3"
"내일의 기억","kss9****","2021.04.28. 00:04","1","뻔한 스토리 진행에 여주인공 캐릭터의 무매력..그냥 봤던 영화 또 보는것 같은 느낌이 들었습니다.","10","3"
"내일의 기억","haer****","2021.04.27. 13:28","1","뭐라 쓸 말도 없다. 열글자나 채우라니","10","3"
"내일의 기억","siji****","2021.04.27. 08:21","2","서예지 옹호하는 감독때문에 별 1개 뺐네요.","10","3"
"내일의 기억","yang****","2021.04.27. 07:15","1","서예지가 나온 영화는 바로 걸러야지","10","3"
"내일의 기억","ghos****","2021.04.28. 16:54","1","10점에 역따봉이 많은이유가 다 있다","11","4"
"내일의 기억","jeon****","2021.04.28. 00:31","2","그냥 단편 드라마 입니다.삼OO째 평점 알바에 당하는중이네요;;시간, 돈 여유 많은 사람만 보세요.제 두시간과 12000원이 너무 아까워 죽겠네요.","11","4"
"내일의 기억","alal****","2021.04.27. 22:23","2","서지예만 이상하면 모르겠는데 감독도 이상하다. 이상한 사람들이 만든 영화.","11","4"
"내일의 기억","ribe****","2021.04.25. 20:01","1","서예지 그렇게 터지고도 보는 개돼지들이 이렇게나 있을줄은...","11","4"
"내일의 기억","youn****","2021.04.25. 00:20","1","여주인공 맘에안드네요","11","4"
"내일의 기억","tjra****","2021.04.23. 01:49","1","노잼. 내돈...ㅠㅠ","11","4"
"내일의 기억","lony****","2021.04.26. 02:42","1","이건 볼수가 없음~~~","12","5"
