"영화제목","작성자","작성일","평점","리뷰","공감수","비공감수"
"더 파더","lime****","2021.11.08. 19:01","10","영화라는 예술이 가진 미덕의 최경지에 오른 작품 이래서 내가 극장을 찾는다.안소니옹의 연기는 명불허전.","7","1"
"더 파더","full****","2021.04.08. 13:20","10","인생을 먼저 살아가는 선배가 들려주는 삶의 끄트머리 이야기. 안소니 홉킨스의 내면이 드러나는 표정이 인상깊었어요.","7","1"
"더 파더","rbgn****","2023.02.14. 12:32","9","너무 뛰어난 체험적 영화라 홉킨스가 느꼈을 혼란과 공포가 그대로 느껴졌다","5","0"
"더 파더","lemo****","2023.02.04. 00:43","10","안소니홉킨스의 시각으로 바라본 치매환자의 모습..,뭐라고 말을 할 수없을정도로 먹먹하다","5","0"
"더 파더","cice****","2022.07.15. 16:02","10","안소니 홉킨스와 올리비아 콜먼 연기가 정말 인상적이었습니다. 주인공의 심리를 반영한 세트와 연출 또한, 이것이 연극과는 다른 영화만의 매력이구나 확실히 보여주고 있었고요. 끝나고도 한참을 먹먹한 마음이 계속 되었습니다.","5","0"
"더 파더","eunj****","2021.04.29. 15:30","8","앤소니 홉킨스의 연기가 영화의 몰입감을 한층 높여주었다","5","0"
"더 파더","keje****","2021.04.08. 05:33","9","흡인력 있는 연출과 어마어마한 홉킨스의 연기! 영화로 진정한 체험을 하다","5","0"
"더 파더","babs****","2021.04.27. 10:51","9","안소니홉킨스의 엄청난 연기력겸허히 감상했습니다.","6","1"
"더 파더","g643****","2022.04.01. 13:43","8","연출, 연기 모두 최고","4","0"
"더 파더","flus****","2021.10.27. 20:22","9","사실적인 연기","4","0"
"더 파더","1121****","2021.04.19. 00:30","10","영화가 할 수 있는 멋진 일. 아버지와 딸의 시간을 담다.","4","0"
"더 파더","sukk****","2021.10.28. 10:41","8","그의 연기에 찬사를 보낸다","5","1"
"더 파더","gree****","2021.10.27. 22:56","9","우리 모두의 미래가 될 수 있기에 이 영화는 공포영화이다.","5","1"
"더 파더","woju****","2022.03.06. 02:33","10","보는 내내 마음이 혼란스러웠다.","3","0"
"더 파더","qorr****","2021.10.30. 00:15","6","안소니 홉킨스 옹의 연기는 정말 멋지다","3","0"
"더 파더","pwk7****","2021.10.28. 00:12","10","영화 굉장히 좋습니다. 제 어머니는 이 영화를 몇 번이나 보시더군요. OST는 또 얼마나 좋던지.","3","0"
"더 파더","dms_****","2023.03.29. 14:53","10","부모님을 이해하고 품을 수 있는 준비가 되어있는지 돌아보게 된 순간","2","0"
"더 파더","ckhm****","2023.02.05. 17:20","8","다른 의미에서 무시무시한 영화. 계속해서 바뀌는 시간대와 배우들로 치매 환자의 머릿속을 잘 표현했으며 영화가 끝날 쯤엔 조부모님 생각이 나서 눈물이 고였다","2","0"
"더 파더","jame****","2023.02.04. 02:04","9","어떤 공포영화보다도 무서운 영화인듯..","2","0"
"더 파더","eric****","2021.10.27. 10:12","9","10월 현재까지 (2021년) 올해의 영화","2","0"
"더 파더","pslo****","2021.10.27. 09:52","10","거장의 연기란..","2","0"
"더 파더","choe****","2021.05.07. 02:08","10","정보 없음","2","0"
"더 파더","amon****","2021.10.28. 21:42","6","연기력 하나만으로도 이런 감정 느끼게 하는게 가능하구나","3","1"
"더 파더","ygso****","2021.11.23. 01:13","9","연기 연출 다 미쳤다. 소재 활용은 무궁무진하구나","4","2"
"더 파더","owan****","2023.12.27. 05:34","10","환자의 관점으로 접근한다. 낯설고 새로운 만큼 마음이 먹먹하다.","1","0"
"더 파더","capr****","2021.10.27. 00:50","9","치매환자의 시점을 담담하고 효과적이게 표현함, 안소니홉킨스의 연기 또한 최고","1","0"
"더 파더","rpin****","2021.10.27. 00:40","10","올해 최고의 영화다","2","1"
"더 파더","appl****","2021.05.08. 15:23","10","정보 없음","2","1"
"더 파더","313l****","2024.07.22. 17:02","10","나의 미래가 될까 솔직히 무섭다.","0","0"
"더 파더","pkch****","2021.06.16. 01:26","8","정말 그럴까","0","0"
"더 파더","deam****","2021.06.08. 18:52","9","정보 없음","0","0"
"더 파더","noah****","2021.06.06. 16:57","10","정보 없음","0","0"
"더 파더","uniq****","2021.05.16. 16:44","10","정보 없음","0","0"
"더 파더","jb13****","2021.04.19. 09:12","9","정보 없음","0","0"
"더 파더","flow****","2021.04.19. 03:59","8","정보 없음","0","0"
"더 파더","time****","2021.04.11. 00:46","8","치매라는 증상이 얼마나 무서운건지 잘 나타낸 영화","0","0"
"더 파더","hote****","2021.10.27. 17:56","8","좋은 배우들이 만들어나가는 영화!","1","1"
"더 파더","suna****","2021.10.27. 00:50","8","명불 허전 안소니의 전지적 치매 시점","1","2"
"더 파더","karz****","2023.03.31. 10:13","7","저는 개인적으로 불호.... 처음에 딸이 정말 정신착란인 줄 알았어요.... 영화 아무런 정보도 없이 보러가서는 감동보다 혼란스러웠네요","1","5"
"더 파더","hall****","2021.04.25. 12:24","6","장점과 단점이 극단적으로 교차하는 작품. 장점은 치매에 대해 관심이 아예 없던 사람들로 하여금 초고령화 사회를 앞둔 우리나라의 미래일지도 모른다는 위기감을 상기시킨다는 점 그리고 안소니 배우의 디테일이 살아있는 연기력과 인물에 대한 연구가 돋보이는 반면 단점은 영화라서 실제 치매의 위험성을 너...","12","29"
"더 파더","arta****","2021.04.12. 15:10","6","배우의 연기만으로도 주목할. 영화 자체는 기대에 살짝 못미쳤지만.","7","26"
"더 파더","saqw****","2022.01.19. 22:49","7","지루함","1","26"
