"영화제목","작성자","작성일","평점","리뷰","공감수","비공감수"
"내일의 기억","ksk8****","2021.04.23. 21:29","10","스릴넘치는 영화 보는내내 너무 긴장하면서 봤는데 감동까지 대박이네요 정말 재밌게 봤습니다!!","30","20"
"내일의 기억","qzjs****","2021.04.25. 14:31","8","배우들의 열연이 돋보인 영화였다","31","21"
"내일의 기억","9030****","2021.04.21. 15:15","10","영화 너무 재밌고 추리 스릴러 좋아하시는 분들에게 강추합니다 여주 논란이 안타까워요 다른 배우들 감독님 응원합니다!","95","85"
"내일의 기억","melo****","2023.02.28. 23:45","7","스토리 굿","11","2"
"내일의 기억","0hwa****","2023.03.01. 18:21","8","장르영화로서 생각보다 완성도 있다. 배우들 연기도 좋은 편.","12","3"
"내일의 기억","hmsm****","2021.06.05. 17:16","7","마지막 15분 내내 긴장감 있고 스토리 전개도 좋았습니다!","17","8"
"내일의 기억","dgmh****","2021.05.13. 17:51","10","끝까지 스릴있고 넘 재미있었어요","25","16"
"내일의 기억","jung****","2021.04.27. 22:26","10","이것은 김강우를 다시 보게 만든 영화라 할 수있다! 김강우란 배우를 다시한번 더 생각하게끔 만든영화","25","16"
"내일의 기억","popc****","2021.05.08. 13:22","10","반전의 반전이네요^^","27","18"
"내일의 기억","lsm8****","2021.05.06. 20:10","10","반전에반전에반전 작가님 천재이신 거 같아요 배우님들 연기도 최고","28","19"
"내일의 기억","gdcs****","2021.04.23. 18:40","10","내용도 연기도 모두 좋았습니다.","37","28"
"내일의 기억","karz****","2023.03.31. 10:09","10","서예지가 연기한 수지 역할이 저는 개인적으로 너무 아프게 느껴졌어요. 그래서 결말이 너무나 마음아프게 좋았습니다.","8","0"
"내일의 기억","jeh_****","2021.04.24. 23:51","10","볼만한 영화였어요 김강우배우님 연기력이 아주 굿!","22","14"
"내일의 기억","bigl****","2021.05.05. 00:25","10","배우들 연기도 좋고 스토리도 좋았습니다. 적당히 긴장하면서 재밌게 봤어요.","24","16"
"내일의 기억","dahy****","2021.04.29. 19:37","10","우와 진짜 스토리도 좋고 긴장감도 높아서 몰입해서 보느라 시간이 되게 빨리 갔어요 !!! 반전의 반전의 반전의 반전의 영화예요 마지막까지 긴장 놓치기 금지!+ 김강우 배우님 존잘","24","16"
"내일의 기억","pcso****","2021.04.23. 22:04","10","보는내내 손에 땀을 쥐게 했고.. 반전이 진짜ㅠㅠㅠ","25","17"
"내일의 기억","889k****","2021.04.22. 20:08","10","반전의 스릴러~ 너무 잘 봤어요^^","26","18"
"내일의 기억","taew****","2021.05.08. 11:32","10","스토리가 뻔하다고 생각했는데 반전이 있는 영화","27","19"
"내일의 기억","amip****","2021.04.25. 11:22","10","아무생각 없이 보다가 긴장감에 쫄았습니다스토리 구성 좋았어요","27","19"
"내일의 기억","djaw****","2021.04.25. 13:20","10","반전도 있어서 더 좋았던 듯","28","20"
"내일의 기억","vqyw****","2021.04.23. 21:54","10","오랜만에 재미있게 봤어요.집중도 최고!","28","20"
"내일의 기억","ndxp****","2021.04.23. 21:53","10","영화 자체는 참 좋습니다","32","24"
"내일의 기억","d43c****","2021.04.21. 18:30","10","믿고 보는 배우 김강우. 재밌었어요^^","45","37"
