"영화제목","작성자","작성일","평점","리뷰","공감수","비공감수"
"그대를 사랑합니다","rg38****","2013.06.26. 00:39","10","아무래도 원작에서 삭제된 부분이많아서 아쉽기는했지만 그래도 감정을 전달하기엔 충분했다 특히 이순재님 캐스팅 정말..!!짱짱","15","1"
"그대를 사랑합니다","insu****","2014.03.23. 11:29","10","눈이, 마음이 터질때까지 운거같다 진짜로 진짜..너무 슬프다","13","1"
"그대를 사랑합니다","wwh5****","2014.02.25. 21:03","10","그냥 좋은영화라고 밖에 표현을 못하겠습니다 이런영화를 볼수있게해주셔서감사합니다","13","1"
"그대를 사랑합니다","0119****","2014.07.01. 17:46","10","펑펑 울었어요 ㅠ ㅠ   추천합니다","12","1"
"그대를 사랑합니다","slig****","2020.11.08. 01:34","10","송재호배우님 따뜻한 연기 잊지 않겠습니다. 삼가 고인의 명복을 빕니다..","10","1"
"그대를 사랑합니다","dkem****","2013.08.17. 15:33","10","나 이거 원작보고 울고 영화보고 대성통곡 했는데 쓰레기 평점주는 애들은 감성이 매말랐나봐요^^ 액션 기대하고 봤니?ㅋㅋㅋ","10","1"
"그대를 사랑합니다","cant****","2015.04.01. 16:32","10","아이거너무슬퍼요... 몇달전에봤었는데 지금 우리집 상황이랑똑같아요사남매인데 하나둘씩 나가고.. 이제 저만 나가면 엄마 아빠 혼자 남아계실 생각하니까맘이 안 좋아요 ㅠㅠ 너무 슬퍼 이게 인생인가 싶기도 하고.. 잘 만든 영화.","8","0"
"그대를 사랑합니다","j90g****","2021.12.11. 07:49","10","10년전에도 펑펑울고 지금도 펑펑 울었다. 우리나라가 OECD국가 중 노인빈곤율이 1위라는데 참 심각한 문제이다. 취업은 젊은세대도 힘든데 노인들은 더 일자리 찾기 힘들겠지. 경제적인 부분도 이리 힘든데 문화적으로도 노인들은 소외당하고 배척당하고 있다. 영어로 된 건물들, 기계로 주문결제해야하는 키오스크 ...","8","1"
"그대를 사랑합니다","enso****","2015.04.19. 06:49","10","안보셨나요...? 고민하지마세요 재미없을거같다고 한 제가 부끄럽네요","8","1"
"그대를 사랑합니다","o_oj****","2013.11.08. 00:39","10","대박 울었어요 ㅠㅠ추천","8","1"
