"영화제목","작성자","작성일","평점","리뷰","공감수","비공감수"
"사랑의 기적","phea****","2014.12.10. 22:35","7","영화를 통해 기적을 보았다","0","0"
"사랑의 기적","woor****","2014.12.10. 01:58","10","감동이라는 말로는 부족하다","0","0"
"사랑의 기적","akse****","2014.11.11. 23:43","10","로버트 드니로의 연기.. 빼앗기 위해 생명을 준 사람을 자상한 사람이라고 할 수 있습니까?..세이어 당신은 레너드의 친구였어요. 영화 정말 최고라고 할 수 밖에 없다. 우리보고 반성하라는 듯이 메시지를 전달한다.","0","0"
"사랑의 기적","last****","2012.07.07. 15:08","10","밖으로 나가려는 레너드의 돌발행동에서 울컥했어요ㅠㅠ","0","0"
"사랑의 기적","luri****","2012.06.10. 15:49","10","좋은영화..로버트 드니로. 로빈 윌리암스 모두 젊으시네요..^^","0","0"
"사랑의 기적","sche****","2012.03.22. 18:36","10","로버트 드니로를 더욱 더 좋아하게 된 영화...","0","0"
"사랑의 기적","seyu****","2012.02.18. 01:37","10","굿윌헌팅, 패치아담스보다 더 흥미롭게 봤다.","0","0"
"사랑의 기적","holl****","2012.01.05. 00:13","9","정말 로빈윌리엄스의 자상한 연기력.. 로버트 드니로 역시 연기잘한다","0","0"
"사랑의 기적","wind****","2011.11.20. 17:08","10","↓ 호접몽이 뭔줄 아는가? 꿈과 현실의 경계는 없다.. 오히려 꿈이 진실에 가깝지..","0","0"
"사랑의 기적","jude****","2011.09.16. 00:56","10","매 순간 맞이하는 소소한 일상의 소중함을 다시 한 번 되새길 수 있었다.","0","0"
"사랑의 기적","idko****","2011.05.22. 19:49","7","짧은순간에 모든것을 가르쳐준 드니로","0","0"
"사랑의 기적","psy9****","2011.04.10. 19:19","8","이것은 기적이 아니라, 세이어 박사의 환자들을 향한 사랑의 결실이었습니다.","0","0"
"사랑의 기적","drd1****","2011.03.13. 04:07","10","1","0","0"
"사랑의 기적","deep****","2010.11.12. 23:11","10","일상적인 행복을 소중하게 여길 수 밖에 없는 영화.","0","0"
"사랑의 기적","wkdj****","2010.07.24. 16:25","10","살아진다는 것은 사라진다는 것. 그리하여 우리는 살아가야 하는...","0","0"
"사랑의 기적","o0wl****","2010.01.06. 22:24","10","배우들의 연기가 빛이 나내요., 아름다운 영화예요","0","0"
"사랑의 기적","dnst****","2010.01.06. 12:01","10","입을 다물수가 없는 로버트 드니로의 영화","0","0"
"사랑의 기적","cajw****","2009.11.17. 10:15","10","제목도 모르고 로빈윌리엄스가 나올길래 뭔가 싶어 보다 계속봤다.. 멋찐영화!!","0","0"
"사랑의 기적","lukn****","2009.07.26. 00:26","10","살아있다는것과 살아간다는것.","0","0"
"사랑의 기적","ysuh****","2009.04.18. 22:53","10","감동적 실화","0","0"
"사랑의 기적","sinb****","2009.01.12. 15:12","8","세상은 넓고 봐야할 영화는 많다.","0","0"
"사랑의 기적","pjas****","2008.08.31. 10:29","10","정말 감동적인영화 내용면에서는 물론이고 배역선택도 상당히 뛰어났던영화...","0","0"
"사랑의 기적","2001****","2008.07.09. 18:35","10","로빈아저씨는 이런영화에 특히 의사역에 넘잘어울려~","0","0"
"사랑의 기적","pola****","2008.07.08. 08:56","10","훈훈한 감동에 드니로의 명연기가 맛을 더한다.","0","0"
"사랑의 기적","4456****","2008.05.06. 21:52","10","굿","0","0"
"사랑의 기적","scho****","2008.04.27. 04:22","10","살아있다는 걸 감사하게 여기며 하루하루를 살아갑시다.","0","0"
"사랑의 기적","rhak****","2008.04.11. 15:00","10","루시의 노래가 무척 아름다웠다.","0","0"
"사랑의 기적","sesj****","2008.04.02. 07:24","10","실화였다는거에 놀랐다 러닝타임내내 안타까움에 눈물을흘렸다","0","0"
"사랑의 기적","kida****","2008.02.06. 00:11","10","계속 눈물이 흐른다... 두 명배우의 연기와 더불어 완전최고다","0","0"
"사랑의 기적","spky****","2008.02.03. 10:11","10","제목보고 멜로영화인줄 알았는데 보고나서 대감동~ 기대안하고 봤었는데 정말 수작!","0","0"
"사랑의 기적","dudr****","2007.12.23. 22:59","9","감동적이고 매우 교훈적이다","0","0"
"사랑의 기적","blue****","2007.11.25. 14:34","10","실화라는게 놀랍고 ""일,놀이,가족,우정 이런게 중요한 것들이죠.""","0","0"
"사랑의 기적","baks****","2007.11.21. 02:32","10","그저 좋았다는 말 정도로는 이 벅찬감동을 아무것도 표현할수가 없다","0","0"
"사랑의 기적","bds5****","2007.11.11. 10:23","10","익숙한 스토리 But 배우들의 매우 훌륭한 연기","0","0"
"사랑의 기적","v292****","2007.10.07. 19:01","9","로버트 드 니로와 로빈 윌리엄스가 만들어낸 최고의 걸작","0","0"
"사랑의 기적","lcs1****","2007.07.19. 14:42","8","정말 이런일이 일어날 수 있다면","0","0"
"사랑의 기적","gold****","2007.07.02. 19:32","8","그들의 춤은 아름다웠다.","0","0"
"사랑의 기적","drea****","2007.06.04. 13:40","10","인생의 소중함을 일깨워주는영화 쵝오 ㅋㅋ","0","0"
