,word,weight
241,아름다운 로맨스,7
242,아름다운 사랑은,7
243,아름다운 기억을,7
244,아름다운 내가,7
245,아름다운 스토리,7
246,아름다운 마지막,7
247,아름다운 앨리스,7
248,아름다운 나를,6
249,아름다운 나는,6
250,아름다운 연기,6
251,아름다운 영화를,5
252,아름다운 나도,5
253,아름다운 기억은,5
254,아름다운 모든,5
255,아름다운 기억,5
256,아름다운 사랑하는,5
257,아름다운 눈이,4
258,아름다운 많은,4
259,아름다운 감동을,4
260,아름다운 어려운,4
261,아름다운 배우의,4
262,아름다운 아름답고,4
263,아름다운 다시,4
264,아름다운 사랑의,4
265,아름다운 진정한,4
266,아름다운 레이첼,4
267,아름다운 세상에서,4
268,아름다운 눈물,4
269,아름다운 가족,4
270,아름다운 가족의,3
271,아름다운 많이,3
272,아름다운 좋은,3
273,아름다운 영화다,3
274,아름다운 슬픈,3
275,아름다운 진짜,3
276,아름다운 엄마,3
277,아름다운 가슴,3
278,아름다운 좋아요,3
279,아름다운 영화에요,3
280,아름다운 감독의,3
281,아름다운 아름답다,3
282,아름다운 반전이,3
283,아름다운 생각하게,2
284,아름다운 기억의,2
285,아름다운 연기는,2
286,아름다운 배우들의,2
287,아름다운 그럼에도,2
288,아름다운 명작,2
289,아름다운 최고의,2
290,아름다운 그대,2
291,아름다운 만드는,2
292,아름다운 생각이,2
293,아름다운 감동적인,2
294,아름다운 영화네요,2
295,아름다운 꿈에,2
296,아름다운 반전,2
297,아름다운 보면서,2
298,아름다운 연기도,2
299,아름다운 연기가,2
300,아름다운 감동,2
301,아름다운 줄리안무어의,2
302,아름다운 좋았어요,2
303,아름다운 기억이,2
304,아름다운 슬프지만,1
305,아름다운 한번,1
306,아름다운 사랑스럽다,1
307,아름다운 보기,1
308,아름다운 생각나는,1
309,아름다운 배우들,1
310,아름다운 봐도,1
311,아름다운 잔잔하게,1
312,아름다운 인생영화,1
313,아름다운 엄마랑,1
314,아름다운 보는내내,1
315,아름다운 사랑에,1
316,아름다운 생각보다,1
317,아름다운 영화관에서,1
318,아름다운 재밌게,1
319,아름다운 다시봐도,1
320,아름다운 잘봤습니다,1
321,아름다운 감사합니다,1
322,아름다운 감동과,1
323,아름다운 남는,1
324,아름다운 부모님과,1
325,아름다운 미래,1
326,아름다운 가족과,1
327,아름다운 슬프고,1
328,아름다운 무어의,1
329,아름다운 여운이,1
330,아름다운 줄리안,1
331,아름다운 역시,1
332,아름다운 말이,1
333,아름다운 슬픔,1
334,아름다운 알츠하이머,1
335,아름다운 슬프다,1
336,아름다운 보았습니다,1
337,아름다운 좋았습니다,1
338,아름다운 울었다,1
339,아름다운 스토리가,1
340,아름다운 가족영화,1
341,아름다운 감동이,1
342,아름다운 현실적인,1
343,감동적인 영화입니다,28
344,감동적인 영화에요,13
345,감동적인 이야기,13
346,감동적인 영화를,9
347,감동적인 영화네요,8
348,감동적인 연기,7
349,감동적인 스토리,6
350,감동적인 연기가,5
351,감동적인 사랑,5
352,감동적인 다시,4
353,감동적인 영화는,4
354,감동적인 반전,4
355,감동적인 영화가,4
356,감동적인 가족,4
357,감동적인 좋았어요,4
358,감동적인 가족영화,3
359,감동적인 진짜,3
360,감동적인 스토리가,3
361,감동적인 드라마,3
362,감동적인 배우들의,3
363,감동적인 오랜만에,3
364,감동적인 펑펑,3
365,감동적인 아름다운,2
366,감동적인 최고의,2
367,감동적인 보면,2
368,감동적인 작품,2
369,감동적인 사랑을,2
370,감동적인 노트북,2
371,감동적인 감동적인,2
372,감동적인 감동이,2
373,감동적인 모든,2
374,감동적인 추천합니다,2
375,감동적인 로맨스,2
376,감동적인 반전이,2
377,감동적인 잔잔한,2
378,감동적인 영화다,2
379,감동적인 많이,2
380,감동적인 한번,2
381,감동적인 가족과,2
382,감동적인 마음이,2
383,감동적인 엄마,1
384,감동적인 역시,1
385,감동적인 할아버지,1
386,감동적인 레이첼,1
387,감동적인 부모님이,1
388,감동적인 나는,1
389,감동적인 보세요,1
390,감동적인 명작,1
391,감동적인 진정한,1
392,감동적인 좋았습니다,1
393,감동적인 인생,1
394,감동적인 사랑의,1
395,감동적인 마지막에,1
396,감동적인 보면서,1
397,감동적인 재미있게,1
398,감동적인 생각하게,1
399,감동적인 사랑이,1
400,감동적인 나를,1
401,감동적인 잔잔하게,1
402,감동적인 많은,1
403,감동적인 가족이,1
404,감동적인 가슴이,1
405,감동적인 잘봤어요,1
406,감동적인 부모님,1
407,감동적인 가슴,1
408,감동적인 반전도,1
409,감동적인 잘봤습니다,1
410,감동적인 간만에,1
411,감동적인 좋은,1
412,감동적인 가족의,1
413,감동적인 배우의,1
414,감동적인 서현진,1
415,감동적인 연기도,1
416,감동적인 눈물,1
417,감동적인 가장,1
418,좋았어요 좋았어요,62
419,좋았어요 추천합니다,7
420,좋았어요 재밌게,5
421,좋았어요 잘봤어요,4
422,좋았어요 여운이,3
423,좋았어요 진짜,3
424,좋았어요 감사합니다,3
425,좋았어요 명작은,3
426,좋았어요 슬프네요,3
427,좋았어요 감동적인,2
428,좋았어요 연기,2
429,좋았어요 최고,2
430,좋았어요 많은,2
431,좋았어요 배우들,2
432,좋았어요 마음이,2
433,좋았어요 가슴이,2
434,좋았어요 연기가,2
435,좋았어요 연기도,2
436,좋았어요 영화를,2
437,좋았어요 감동적이고,2
438,좋았어요 연기는,2
439,좋았어요 좋은,2
440,좋았어요 영화가,2
441,좋았어요 완전,2
442,좋았어요 역시,2
443,좋았어요 많이,2
444,좋았어요 다시,2
445,좋았어요 슬프지만,2
446,좋았어요 가족,2
447,좋았어요 반전,2
448,좋았어요 가족과,2
449,좋았어요 잔잔하게,2
450,좋았어요 홉킨스,1
451,좋았어요 보세요,1
452,좋았어요 파더,1
453,좋았어요 영화는,1
454,좋았어요 알츠하이머,1
455,좋았어요 배우들의,1
456,좋았어요 잘봤습니다,1
457,좋았어요 모든,1
458,좋았어요 배우의,1
459,좋았어요 사랑하는,1
460,좋았어요 감동,1
461,좋았어요 사랑을,1
462,좋았어요 보았습니다,1
463,좋았어요 놀란은,1
464,좋았어요 영화입니다,1
465,좋았어요 놀란,1
466,좋았어요 할아버지,1
467,좋았어요 감동이,1
468,좋았어요 누구에게나,1
469,좋았어요 과거와,1
470,좋았어요 마지막에,1
471,좋았어요 기억을,1
472,좋았어요 담담하게,1
473,좋았어요 앨리스,1
474,좋았어요 부모님,1
475,좋았어요 좋아요,1
476,좋았어요 잔잔한,1
477,좋았어요 생각이,1
478,좋았어요 사랑,1
479,좋았어요 눈물,1
480,좋았어요 나는,1
481,좋았어요 한번,1
482,좋았어요 스토리가,1
483,좋았어요 서현진,1
484,좋았어요 펑펑,1
485,좋았어요 슬프고,1
486,좋았어요 가슴,1
487,좋았어요 좋았습니다,1
488,배우들의 연기가,212
489,배우들의 연기,56
490,배우들의 연기도,56
491,배우들의 연기는,50
492,배우들의 연기력이,16
493,배우들의 좋은,15
494,배우들의 영화가,8
495,배우들의 좋았어요,5
496,배우들의 감동,5
497,배우들의 스토리,4
498,배우들의 영화를,4
499,배우들의 감동적인,4
500,배우들의 최고의,4
501,배우들의 감독의,4
502,배우들의 생각을,3
503,배우들의 아름다운,3
504,배우들의 드라마,3
505,배우들의 최고,3
506,배우들의 가족의,3
507,배우들의 많이,3
508,배우들의 가슴,3
509,배우들의 좋았습니다,3
510,배우들의 반전이,3
511,배우들의 작품,3
512,배우들의 잔잔한,3
513,배우들의 현실적인,3
514,배우들의 눈물,3
515,배우들의 이야기,2
516,배우들의 오랜만에,2
517,배우들의 진짜,2
518,배우들의 가장,2
519,배우들의 나도,2
520,배우들의 여운이,2
521,배우들의 사랑을,2
522,배우들의 눈이,2
523,배우들의 모든,2
524,배우들의 배우의,2
525,배우들의 가슴이,2
526,배우들의 생각이,2
527,배우들의 보는내내,2
528,배우들의 가족,2
529,배우들의 펑펑,2
530,배우들의 한번,1
531,배우들의 사랑,1
532,배우들의 생각해보게,1
533,배우들의 사랑하는,1
534,배우들의 영화입니다,1
535,배우들의 내가,1
536,배우들의 사랑이,1
537,배우들의 다시봐도,1
538,배우들의 아름답다,1
539,배우들의 오늘을,1
540,배우들의 안소니,1
541,배우들의 재미있게,1
542,배우들의 아름답고,1
543,배우들의 스토리가,1
544,배우들의 영화네요,1
545,배우들의 가족과,1
546,배우들의 배우들의,1
547,배우들의 감동을,1
548,배우들의 부모님,1
549,배우들의 감동이,1
550,배우들의 좋아요,1
551,배우들의 슬픈,1
552,배우들의 볼만한,1
553,배우들의 사랑에,1
554,배우들의 엄마,1
555,배우들의 다시한번,1
556,영화네요 보면,3
557,영화네요 추천합니다,3
558,영화네요 잘봤어요,3
559,영화네요 눈물,3
560,영화네요 엄마랑,2
561,영화네요 마지막,2
562,영화네요 보세요,2
563,영화네요 다시,2
564,영화네요 감사합니다,2
565,영화네요 영화를,2
566,영화네요 배우들의,2
567,영화네요 기억을,2
568,영화네요 많이,2
569,영화네요 잔잔한,2
570,영화네요 엄마,2
571,영화네요 역시,2
572,영화네요 감동,2
573,영화네요 좋았습니다,2
574,영화네요 여운이,2
575,영화네요 많은,2
576,영화네요 좋은,2
577,영화네요 로맨스,1
578,영화네요 나는,1
579,영화네요 슬픈,1
580,영화네요 홉킨스의,1
581,영화네요 좋았어요,1
582,영화네요 가족,1
583,영화네요 한번,1
584,영화네요 생각을,1
585,영화네요 좋아요,1
586,영화네요 슬프다,1
587,영화네요 가장,1
588,영화네요 나도,1
589,영화네요 가족이,1
590,영화네요 슬퍼요,1
591,영화네요 감동과,1
592,영화네요 가족의,1
593,영화네요 가슴,1
594,영화네요 연기도,1
595,영화네요 생각이,1
596,영화네요 감동이,1
597,영화네요 다시한번,1
598,영화네요 최고,1
599,영화네요 모든,1
600,영화네요 감동을,1
601,영화네요 보기,1
602,영화네요 볼만한,1
603,영화네요 잘봤습니다,1
604,영화네요 가족과,1
605,영화네요 서현진,1
606,영화네요 보았습니다,1
607,영화네요 아름답고,1
608,감동 눈물,18
609,감동 드라마,13
610,감동 감동,11
611,감동 반전,9
612,감동 스토리,8
613,감동 많은,6
614,감동 배우들,6
615,감동 부모님과,6
616,감동 슬픔,5
617,감동 최고의,4
618,감동 로맨스,3
619,감동 펑펑,3
620,감동 보면,3
621,감동 영화입니다,3
622,감동 가족,3
623,감동 생각을,3
624,감동 진짜,3
625,감동 최고,3
626,감동 다시,2
627,감동 부모님,2
628,감동 울었다,2
629,감동 아름다운,2
630,감동 감동적인,2
631,감동 한번,2
632,감동 영화는,2
633,감동 가족과,2
634,감동 배우들의,2
635,감동 사랑을,2
636,감동 사랑,2
637,감동 연기도,2
638,감동 여운이,2
639,감동 마지막,2
640,감동 추천합니다,2
641,감동 가족영화,2
642,감동 볼만한,2
643,감동 봐도,2
644,감동 잘봤습니다,2
645,감동 나도,2
646,감동 이야기,1
647,감동 슬프고,1
648,감동 그럼에도,1
649,감동 보기,1
650,감동 가장,1
651,감동 인생,1
652,감동 배우의,1
653,감동 사랑은,1
654,감동 나는,1
655,감동 슬픈,1
656,감동 좋았어요,1
657,감동 가슴,1
658,감동 크리스토퍼,1
659,감동 영화를,1
660,감동 현실적인,1
661,감동 앨리스,1
662,감동 잔잔한,1
663,감동 가족의,1
664,감동 사랑의,1
665,감동 아름답다,1
666,감동 작품,1
667,감동 줄리안무어의,1
668,감동 영화가,1
669,감동 간만에,1
670,감동 역시,1
671,감동 엄마,1
672,감동 슬프지만,1
673,감동 반전도,1
674,감동 반전이,1
675,감동 마지막에,1
676,감동 감동이,1
677,감동 연기,1
678,감동 재미있게,1
679,감동 많이,1
680,감동 감사합니다,1
681,감동 보세요,1
682,감동 엄마랑,1
683,감동 반전에,1
684,감동 오랜만에,1
685,감동 남는,1
686,감동 완전,1
687,감동 좋았습니다,1
688,감동 사랑이,1
689,감동 잔잔하게,1
690,감동 감동을,1
691,감동 슬퍼요,1
692,감동 연기가,1
693,반전이 반전,7
694,반전이 다시,5
695,반전이 부모님과,5
696,반전이 마지막,4
697,반전이 사랑을,4
698,반전이 진짜,4
699,반전이 많이,4
700,반전이 영화를,4
701,반전이 감동이,4
702,반전이 감동을,4
703,반전이 감동,4
704,반전이 가슴,4
705,반전이 감동적인,4
706,반전이 울었다,3
707,반전이 보면서,3
708,반전이 보면,3
709,반전이 봐도,3
710,반전이 생각을,3
711,반전이 영화는,3
712,반전이 집중해서,3
713,반전이 스토리,3
714,반전이 재미있게,3
715,반전이 역시,3
716,반전이 가족의,3
717,반전이 좋은,3
718,반전이 슬픔,3
719,반전이 눈물,3
720,반전이 최고,3
721,반전이 펑펑,3
722,반전이 연기,3
723,반전이 기억을,2
724,반전이 연기가,2
725,반전이 기억의,2
726,반전이 크리스토퍼,2
727,반전이 반전이,2
728,반전이 오랜만에,2
729,반전이 좋았습니다,2
730,반전이 가장,2
731,반전이 영화다,2
732,반전이 말이,2
733,반전이 추천합니다,2
734,반전이 감동도,2
735,반전이 가족영화,2
736,반전이 슬프다,2
737,반전이 노트북,2
738,반전이 생각보다,2
739,반전이 배우들의,2
740,반전이 가족과,2
741,반전이 사랑에,1
742,반전이 기억,1
743,반전이 인생,1
744,반전이 그럼에도,1
745,반전이 현실적인,1
746,반전이 생각해보게,1
747,반전이 감독의,1
748,반전이 작품,1
749,반전이 좋아요,1
750,반전이 극장에서,1
751,반전이 놀란,1
752,반전이 반전에,1
753,반전이 드라마,1
754,반전이 연기도,1
755,반전이 보기,1
756,반전이 생각이,1
757,반전이 영화입니다,1
758,반전이 마음이,1
759,반전이 누구에게나,1
760,반전이 많은,1
761,반전이 영화네요,1
762,반전이 재밌게,1
763,반전이 사랑이,1
764,반전이 엄마랑,1
765,반전이 부모님이,1
766,반전이 볼만한,1
767,반전이 간만에,1
768,반전이 좋았어요,1
769,반전이 사랑하는,1
770,반전이 배우들,1
771,반전이 연기는,1
772,반전이 잔잔한,1
773,반전이 슬픈,1
774,반전이 여운이,1
775,반전이 마지막에,1
776,반전이 나는,1
777,반전이 슬퍼요,1
778,반전이 슬프네요,1
779,반전이 감동과,1
780,반전이 스토리가,1
781,반전이 슬프고,1
782,반전이 가슴이,1
783,오랜만에 다시,37
784,오랜만에 영화를,29
785,오랜만에 좋은,18
786,오랜만에 감동적인,13
787,오랜만에 좋았어요,9
788,오랜만에 봐도,9
789,오랜만에 펑펑,8
790,오랜만에 울었다,7
791,오랜만에 가슴,6
792,오랜만에 보면서,6
793,오랜만에 눈물,6
794,오랜만에 극장에서,5
795,오랜만에 여운이,5
796,오랜만에 다시봐도,5
797,오랜만에 마음이,5
798,오랜만에 가족의,4
799,오랜만에 영화가,4
800,오랜만에 가슴이,4
801,오랜만에 연기가,4
802,오랜만에 슬프고,4
803,오랜만에 좋았습니다,4
804,오랜만에 감동,4
805,오랜만에 영화관에서,4
806,오랜만에 연기도,3
807,오랜만에 역시,3
808,오랜만에 드라마,3
809,오랜만에 슬픈,3
810,오랜만에 재미있게,3
811,오랜만에 많은,3
812,오랜만에 명작,3
813,오랜만에 감사합니다,3
814,오랜만에 배우들의,2
815,오랜만에 가족,2
816,오랜만에 작품,2
817,오랜만에 마지막,2
818,오랜만에 사랑,2
819,오랜만에 아름답고,2
820,오랜만에 인생,2
821,오랜만에 잘봤습니다,2
822,오랜만에 안소니,2
823,오랜만에 가족영화,2
824,오랜만에 기억은,2
825,오랜만에 놀란,2
826,오랜만에 재밌어요,2
827,오랜만에 재밌게,2
828,오랜만에 연기,2
829,오랜만에 부모님과,2
830,오랜만에 엄마,2
831,오랜만에 사랑의,2
832,오랜만에 영화에요,2
833,오랜만에 엄마랑,2
834,오랜만에 연기는,2
835,오랜만에 감동이,1
836,오랜만에 그대,1
837,오랜만에 보세요,1
838,오랜만에 노트북,1
839,오랜만에 생각이,1
840,오랜만에 오랜만에,1
841,오랜만에 많이,1
842,오랜만에 모든,1
843,오랜만에 이야기,1
844,오랜만에 기억을,1
845,오랜만에 놀란은,1
846,오랜만에 메멘토,1
847,오랜만에 크리스토퍼,1
848,오랜만에 기억이,1
849,오랜만에 진짜,1
850,오랜만에 감동을,1
851,오랜만에 잔잔한,1
852,오랜만에 나는,1
853,오랜만에 영화다,1
854,오랜만에 스토리가,1
855,오랜만에 다시한번,1
856,오랜만에 가족이,1
857,오랜만에 사랑하는,1
858,오랜만에 남는,1
859,오랜만에 부모님,1
860,오랜만에 소중함을,1
861,오랜만에 반전,1
862,오랜만에 영화네요,1
863,오랜만에 감동과,1
864,오랜만에 생각하게,1
865,오랜만에 보기,1
866,오랜만에 감동도,1
867,오랜만에 아름다운,1
868,오랜만에 나도,1
869,오랜만에 생각을,1
870,오랜만에 볼만한,1
871,오랜만에 사랑스럽다,1
872,오랜만에 내가,1
873,오랜만에 한번,1
874,오랜만에 사랑에,1
875,오랜만에 배우들,1
876,오랜만에 슬프네요,1
877,잔잔한 감동이,60
878,잔잔한 감동을,42
879,잔잔한 감동,36
880,잔잔한 감동과,27
881,잔잔한 드라마,10
882,잔잔한 가족영화,9
883,잔잔한 연기가,8
884,잔잔한 배우들의,7
885,잔잔한 여운이,7
886,잔잔한 스토리,5
887,잔잔한 좋은,5
888,잔잔한 영화를,5
889,잔잔한 줄리안,5
890,잔잔한 이야기,5
891,잔잔한 많이,4
892,잔잔한 마지막,4
893,잔잔한 많은,4
894,잔잔한 좋았어요,4
