word,score
마지막 잎새를,4
마지막 노년의,4
마지막 엔딩에서,4
마지막 남은,4
마지막 있었지만,4
마지막 선생님의,4
마지막 장면과,4
마지막 그들의,4
마지막 엔딩이,4
마지막 김혜자,4
마지막 장면에서는,4
마지막 반전까지,4
마지막 씬,3
마지막 장면만,3
마지막 감동,3
마지막 있을까,3
마지막 있었던,3
마지막 부분이,3
마지막 자신이,3
마지막 5분을,3
마지막 했는데,3
마지막 미자의,3
마지막 순간까지도,3
마지막 부분은,3
마지막 시를,3
마지막 반전도,3
마지막 은,3
마지막 부분,3
마지막 미자가,3
마지막 엔딩까지,3
마지막 인생,3
마지막 화의,3
마지막 쯤,3
마지막 부분의,3
마지막 반전과,3
마지막 있었다,3
마지막 시,3
마지막 순간에,3
마지막 시퀀스에,3
마지막 장면에선,3
마지막 연기와,3
마지막 생의,3
마지막 혜자의,3
마지막 기억의,3
마지막 이,3
마지막 내,3
마지막 여행,3
마지막 시퀀스는,3
치매 환자의,65
치매 를,34
치매 걸린,25
치매 노인의,23
치매 환자,22
치매 환자가,22
치매 에,20
치매 는,15
치매 알츠하이머,14
치매 체험,13
치매 노인,12
치매 환자를,11
치매 라는,11
치매 초로기,9
치매 환자와,9
치매 연기,8
치매 진짜,8
치매 간접,8
치매 무서운,7
치매 무섭다,7
치매 걸리면,6
치매 관련,6
치매 의,6
치매 당사자의,5
치매 로,5
치매 가족이,5
치매 노인을,5
치매 영화는,5
치매 시점,4
치매 전지적,4
치매 내가,4
치매 모든,4
치매 질병,3
치매 환자들은,3
치매 가,3
치매 연기가,3
치매 환자에게,3
치매 홉킨스의,3
치매 라고,3
치매 안소니,3
치매 환자에,3
치매 아닐까,3
치매 서현진,3
치매 전문,3
치매 슬프네요,3
치매 병,3
치매 이야기,3
치매 란,3
치매 없는,3
치매 사랑,3
치매 환자들의,3
치매 노인이,3
치매 와,3
치매 많은,2
치매 나이듦,2
치매 실제,2
치매 스릴러,2
치매 환자로,2
치매 관객을,2
치매 엄마,2
치매 알츠하이머는,2
치매 앓는,2
치매 두렵다,2
치매 치료제가,2
치매 봤다,2
치매 완벽한,2
치매 드러난다,2
치매 영화였어요,2
치매 가족을,2
치매 아버지가,2
치매 나,2
치매 되는,2
