username,date,rating,review,likes,dislikes
9311****,2017.06.24. 02:07,10,현실과 판타지의 타협점 그래서 더 로맨틱함,85,2
hmo0****,2017.06.25. 00:22,10,"이 영화를 누가 13년전의 영화라 생각할까.화와이안 특유의 느낌과 영상미를 완벽하게 챙기고, 주연 조연 할거 없이 완벽하게 3박자가 맞아 떨어지는 그런 영화이다.앞으로도 근 몇OO간 이걸 뛰어 넘는 로맨틱 코미디영화는 나오기 힘들것이다.",83,5
kima****,2017.06.22. 20:31,10,사랑이 너무 예쁘고 벅차서 계속 울게된다,75,10
ktig****,2017.06.23. 21:12,10,괜히 재계봉을 하는게 아니군요...진짜 인생영화...너무 빨리 끝난다고 느껴질 정도였네요...연기도 진짜 장난아니고 내용이 일단 개쩝니다...어제 트랜스포머 봤는데 너무 상반되게 꿀잼이네요.. .,64,16
ax23****,2017.08.21. 18:10,9,"주연도, 조연도, 배경도, 펭귄도 모두 사랑스러웠다!사라지는게 아까워서 아껴먹은 솜사탕같던 영화",25,1
wyfm****,2017.08.03. 17:42,10,저렇게 처음과 똑같이 변치않고 사랑할 수 있을까,22,0
jorn****,2017.09.08. 23:46,10,로맨틱 코메디 영화중 당연,18,1
yeju****,2017.08.30. 12:31,9,마음 잔잔하게 해주고 저런 남자라면 사랑해보고 싶다는 느낌주는 영화였어요 ㅎㅎㅎ 재개봉한거여서 옛날느낌 나는것도 좋았어요!,16,1
malm****,2017.06.30. 23:47,9,멋진 영화였다. 현실적으로 가능할까?의 문제보다는 진정한 사랑이 무엇일까의 문제를 더 깊이 생각해 볼 수 있는 영화.,10,1
jung****,2017.07.14. 12:50,9,처음에는 전개가좀느려서 별로기대안했는데 중반부터는 너무도 빠져들어본영화??잔잔한감동과 사랑이라는감정에대해 깊이생각나게해준영화였어요,5,0
pm90****,2017.11.04. 14:03,10,귀엽고 사랑스러운 로맨스 영화,6,1
lsh6****,2017.07.13. 20:04,10,내 맘속 인생영화는 이녀석이 된 듯하다,6,1
pret****,2017.08.01. 16:53,10,사랑이 넘치는 너무 예쁜 영화ㅠㅠㅠ,4,0
j_ii****,2017.11.12. 18:32,10,간만에 기분 좋게 본 영화!,5,1
wowp****,2017.07.16. 15:15,9,한컷한컷 보는곳마다 그곳에 있고싶었다,4,1
mup0****,2017.08.05. 10:24,8,음악도 좋고 구성도  좋고!!,2,0
o_o3****,2017.07.22. 22:31,10,너무 여운이 느껴지는 영화였습니다 ! 사랑하는 사람과 함께보면 더더 좋은 영화인것같네요 ㅎㅎ,2,0
sall****,2017.07.19. 16:10,10,맘 따뜻해지고 귀여운 영화,2,0
thdn****,2017.07.10. 17:17,8,괜찮았씁니다!!!랄라라라 남자친구랑 봐서 좋았어요,2,0
kang****,2017.07.02. 22:30,10,사랑하는사람과 보면행복한영화,2,0
grea****,2017.07.01. 23:32,10,오랜만에 다시 봐서 좋았습니딘.,2,0
jjoi****,2017.06.28. 19:10,10,나도 저런 사랑을 할수 있을까?,2,0
sjch****,2017.08.17. 14:01,10,정말 멋진 작품입니다.,3,1
bill****,2017.07.28. 07:34,10,가벼운 마음으로 봣는데  의외로 스토리가 좋고 아주 재미있었음다,3,1
hanl****,2017.11.26. 21:15,8,간만에 다시봐서 재미있었어요^^,4,2
rltj****,2017.09.27. 15:32,8,옛날 영화라 걱정했는데 재개봉 하는 이유를 알겠더라구요 나름 재미 있었어요!,1,0
anna****,2017.07.28. 15:21,9,뻔한 내용이지만 재밌게 풀어낸,1,0
mhba****,2017.06.28. 22:56,9,상큼발랄한 영화였다.  젊은 연인들 뿐만 아니라 중년부부도 기분전환용으로 보기에 즐거운 영화다,1,0
omi0****,2017.06.28. 21:17,10,역시 옛기억 그대로 재밌었습니다,1,0
