"writer","date","comment"
"허중자","2024.07.03","아동스러운 로봇 동화..."
"뉴랴","2021.02.17","과연 나도 이런 사랑을 할 수 있을까 너무나 먹먹하지만 또 다른 의미로 좋은 영화"
"yd**225","2013.10.30","귀여워요ㅋㅋㅋㅋㅋㅋ 노인이 되어서도 저런 사랑을 할 수 있다니.."
