"영화제목","작성자","작성일","평점","리뷰","공감수","비공감수"
"메멘토","tang****","2014.12.02. 19:11","10","킄리스터포오노올라아나","0","1"
"메멘토","arte****","2014.12.10. 11:26","8","상상이상을 보여준 영화","1","2"
"메멘토","van2****","2014.12.09. 16:41","8","대박  놀란 ..복잡한 퍼즐같은 그런영화이다","1","2"
"메멘토","poly****","2014.12.08. 21:31","10","기억의 재구성에 대해 알게 해준 영화... 예전에 보고 재개봉 후  다시 봤는데 새롭게 느낌..","1","2"
"메멘토","mjh9****","2014.12.08. 12:52","9","시간의 안정적흐름을 거부하는 놀란의 스타일이 극대화된 영화.","1","2"
"메멘토","dnzm****","2014.11.30. 15:48","10","크..이걸 이제서야 봤네요.평범할 수 있는 이야기를흥미진진하게 풀어내는 놀란의 연출력에 감탄!!","2","3"
"메멘토","dian****","2014.11.30. 01:13","9","믿고 보는 놀란 감독. 그가 전하는 메세지가 마음을 울리기때문인 듯","2","3"
"메멘토","dhgo****","2014.11.29. 21:39","10","좋아요~너무너무 좋아요","2","3"
"메멘토","ozel****","2014.11.25. 15:31","8","생각했던 것보다 몰입도 좋음!","2","3"
"메멘토","afte****","2014.11.24. 11:16","8","인터스텔라보다 작품성은 뛰어나지만, 그만큼 영화 질적 수준과 난이도는 훨씬 어렵다.","2","3"
"메멘토","ysyi****","2014.11.23. 22:32","9","어느정도 줄거리와 전개방식을 보고 갔지만 그래도 인상깁게 보았다 역시 천재감독다운 면모를 유감없이 발휘한 영화","2","3"
"메멘토","ditk****","2015.02.03. 23:39","9","시작을 놓쳤다. 아쉽다","3","4"
"메멘토","gkae****","2014.12.18. 01:12","10","이해하려고 3번째 봤다","4","5"
"메멘토","rlaw****","2014.12.09. 19:51","10","결말을 알고 봐도 소름돋는 라스트씬의 진실","1","3"
"메멘토","zufa****","2014.12.07. 16:28","9","기억 욕망 사랑 자본주의 사이의 무한한 어긋남... 대단히 지적인 퍼즐","1","3"
"메멘토","vind****","2014.12.04. 22:23","10","여지껏 모든 놀란의 영화가 그랬듯이, 직접 스크린으로 보기를 권한다.","1","3"
"메멘토","skyz****","2014.12.01. 18:01","10","다시봐도 정말 재밌음.. 진짜 명작이구나 라고 말하게됌","1","3"
"메멘토","lawg****","2014.11.30. 00:33","9","다시봐도 멋진 영화네요","1","3"
"메멘토","9016****","2014.11.29. 16:47","10","메멘토 다시봐도 예스잼","1","3"
"메멘토","peng****","2014.11.29. 13:19","8","역시 재미있었습니다.","1","3"
"메멘토","gjqm****","2014.11.22. 16:39","8","그럭저럭괜춘 재미보단흥미롭던영화!","1","3"
"메멘토","0103****","2014.12.14. 22:42","8","어려운영화네요 역시 두번째도전입니당","2","4"
"메멘토","asiu****","2014.12.13. 05:18","9","신선한 전개와 뛰어난 연출력","2","4"
"메멘토","djaa****","2014.12.07. 22:40","10","재개봉을 하긴 했으나 너무 적게 했다..전국적으로 개봉햇어야지ㅠㅠㅠㅠ 결론은 메멘토 대박 쩖","2","4"
"메멘토","kdw9****","2014.12.01. 13:42","10","진짜이해만하면 크리스토퍼놀란의 위대함을 알고 엄청재밌다진심..","2","4"
"메멘토","core****","2014.11.30. 13:58","10","명작은 언제봐도 명작이군요","2","4"
"메멘토","lyol****","2015.07.23. 10:18","10","재미있었어요~^^ 멀리 찾아가서까지 본 보람이 있네요~^^","3","5"
"메멘토","icho****","2014.12.15. 16:39","10","역시 최고였다 영화보는 내내 한순간도 지루하지않았다.","3","5"
"메멘토","whoh****","2015.01.19. 13:59","8","치밀한 구성과 작은 규모 그렇지만 꽉찬 줄거리","4","6"
"메멘토","able****","2014.11.26. 22:56","8","글쎄..궁금하고 궁금해서 지루하지않게 보긴했는데 마지막결말은???그래도 기억에오래도록 남을영화인건 맞는것같다.","4","6"
"메멘토","moom****","2014.12.11. 13:30","8","스크린으로 다시봐서 좋았음ㅋ","0","3"
"메멘토","jju9****","2014.12.10. 16:20","10","대박이네요ㅡㅡ다시봐도감돔그자체였어요ㅠ","0","3"
"메멘토","sjh8****","2014.12.08. 23:13","10","다시봐도 최고의 영화! 만족합니다","0","3"
"메멘토","hjhv****","2015.04.23. 15:37","10","혹시나하고 봤더니 역시나... 놀라운  전개!","1","4"
"메멘토","hjks****","2014.12.14. 11:32","9","당신의 삶을 이끌어가는 충동은 무엇인가요","1","4"
"메멘토","alwj****","2014.12.11. 15:17","10","정말재밌었다 영화관도괜찮음","1","4"
"메멘토","dlwl****","2014.12.09. 02:09","10","보면볼수록더보고싶다","1","4"
"메멘토","nile****","2014.12.08. 17:10","10","꼭 봐라 두번 봐라한번으론 되감기가 안될 테니까","1","4"
"메멘토","yiab****","2014.12.07. 16:28","8","놀란의 연출은 놀람적 ㅋ주인공은 아이언맨에 나오셨던 분이구나~","1","4"
"메멘토","yuou****","2014.12.05. 23:46","10","재밌었다. 시간 배열이 소름돋았다","1","4"
"메멘토","rora****","2014.12.05. 23:33","8","놀란스럽다. 제작연도를 생각하면 꽤나 신선함.","1","4"
"메멘토","pig8****","2014.12.05. 11:02","8","역시 크리스토퍼놀란!","1","4"
"메멘토","whtj****","2014.12.01. 12:55","10","극장에서 재개봉할때 처음으로 봤다 부럽지?","1","4"
