Algorithm,Dataset,N,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F1-score,Accuracy,AUC
MLP,Test set,710,107,309,46,248,0.6993464052287581,0.30140845070422534,0.8704225352112676,0.42125984251968496,0.5859154929577465,0.6848879190636779
MLP,Entire population,3624,812,1736,76,1000,0.9144144144144144,0.4481236203090508,0.9580573951434879,0.6014814814814815,0.7030905077262694,0.8354339356460974
