Algorithm,Dataset,N,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F1-score,Accuracy,AUC
CNN,Test set,710,154,287,68,201,0.6936936936936937,0.43380281690140843,0.8084507042253521,0.5337954939341422,0.6211267605633802,0.7103352509422733
CNN,Entire population,3624,1188,1744,68,624,0.945859872611465,0.6556291390728477,0.9624724061810155,0.774445893089961,0.8090507726269316,0.9085802462367635
