username,date,rating,review,likes,dislikes
asdf****,2017.09.06. 00:12,10,명불허전의 김남길이 맞나 싶을 정도로 소름돋게 연기한다,"2,725",578
kyoa****,2017.09.06. 00:27,10,"시사회 보고 왔어요. 설배우는 두말할 것도 없고, 김남길이 진짜 대박이다 영화속 태주와 방영중인 드라마속 허임은 전혀 매치되지 않음. 같은 배우 맞나 정말 배우는 배우다 어쩜 그렇게 연기를 잘 하지? 이 영화는 뜰 수 밖에 없다!!!","1,978",491
duma****,2017.09.06. 00:18,10,그냥 믿고 보는 김남길이란 배우. 거기다가 김영하 작가의 소설이 원작이라니. 너무나 완벽하다-!-!,730,209
osca****,2017.09.06. 00:01,10,시사회 보고 왔습니다. 계속 생각하게 하는 영화,730,243
lhd3****,2017.09.06. 00:15,10,김남길은 이런 역할도 잘할 것 같다고 생각했었는데 정말 잘한다..소름돋았음,600,120
wjda****,2017.09.06. 10:10,10,4885 이후 희대의 차번호 8588,472,45
gksw****,2017.09.06. 00:01,10,뜰수 밖에 없는 영화다 ㅎ,627,225
whdc****,2017.09.06. 00:04,10,시사회 가서 보고왔는데요 설경구씨 연기가 진짜 미쳤습니다그리구 김남길씨.. 역시는 역시더라구요 그리고 설현씨도 잘했어요 혹시 찝찝하셨던 분들 한번 봐보세요 꽤 준수합니다,440,107
whwo****,2017.09.06. 00:02,10,"와 역대급이다 ㄷㄷ 갓갱구 갓달수 갓남길  갓설,..  아니 그냥설현",623,291
guiy****,2017.09.06. 00:12,10,김남길 연기가 돋보이는 영화일거라고 기대합니다,266,78
2815****,2017.09.06. 00:02,10,엄청 기대중입니다 살인자의 기억법 화이팅!!,320,146
jihy****,2017.09.06. 00:17,10,ㅠㅠ민태주못잃어ㅠㅠ,226,83
whdn****,2017.09.06. 03:44,10,김남길은 믿고보는 배우라서 봐야겠어요~♡살인자의 기억법 화이팅!~ 대박났으면 좋겠어요,168,45
guck****,2017.09.06. 00:00,10,살인자의 기억법 화이팅!,236,116
wooh****,2017.09.06. 12:53,10,김남길 연기 대박이었어요!! 캐릭터 위해 살도 좀 찌운거 같던데  태주역할에 정말 잘어울렸음  또 보러 가야징살기법 대박나길♡,148,29
esth****,2017.09.06. 07:36,10,김남길의 연기가 너무 기대되어서 조조로 보러갑니다요,147,33
skki****,2017.09.06. 01:26,10,엄청 기다렸던 영화! 배우 김남길의 작품은 다 봅니다^^,163,50
cros****,2017.09.06. 14:44,8,원작은 안봐서 모르겠으나 예상가능한 무난한 내용을 설경구의 연기력으로 커버한 영화.. 설현이 몰입도를 방해할까 걱정했는데 방해되지 않았고 예상외로 자연스럽게 묻어가는걸보면 앞으로가 기대됨. 남길씨  진짜같았던 연쇄살인마 연기는 단연최고 @.@,126,28
dhse****,2017.09.06. 09:57,10,김남길 때문어 본다 명불허전 핵꿀잼,120,23
seji****,2017.09.06. 09:56,10,믿고 보는 배우 김남길 배우,115,24
love****,2017.09.06. 15:07,10,김남길 대박ㅋㅋㅋ원작때매 보러갔다가 김남길한테 치이고옴 ㅋㅋ,114,25
neda****,2017.09.06. 08:23,10,설경구와 김남길 설현의 연기가 빛나고  스토리 및 저개가 이룬 스릴러의 영화다. 정말 재미 있다. 주위에 권할고 욕 안먹을 만한 영화다.,126,40
jjyy****,2017.09.06. 01:08,10,미친 영화.. 나의 기억은 온전한 것인가...?,124,39
106s****,2017.09.06. 12:24,10,설경구와 김남길의 연기가 돋보이고 김설현 역시 모자르지 않는 연기를 보여줬다 최고의 영화,114,30
roya****,2017.09.06. 12:24,9,설경구 김남길 연기가 진짜 개오짐 기대이상이었음,99,21
lbh_****,2017.09.06. 15:02,10,방금 영화 보고 왔어요 김남길 배우 연기가 소름끼치게 무섭네요 설현도 생각보다 연기 나쁘지 않았고 설경구 배우 연기야 말할것 없이 당연 명품이었습니다 영화 아주 재밌어요 꼭 보세요 대박날겁니다^^,94,17
samh****,2017.09.06. 13:41,10,"설경구,김남길,오달수,김설현 모두 잘 어우러져서 영화가  괜찮았어요. 특히 설경구와 김남길의 연기력이 돋보였슴.",91,19
