Algorithm,Dataset,N,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F1-score,Accuracy,Balanced Accuracy,AUC
XGBoost,Test set,10274,2605,4657,1966,1046,0.5698971778604244,0.7135031498219666,0.7031556696361165,0.633665774750669,0.7068327817792486,0.7083294097290416,0.780350014865239
XGBoost,Entire population,39206,14710,16749,4340,3407,0.7721784776902887,0.8119445824363857,0.794205509981507,0.7915624075120402,0.8024026934652859,0.8030750462089463,0.8846926958793218
