Algorithm,Dataset,N,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F1-score,Accuracy,Balanced Accuracy,AUC
LGBM,Test set,1600,1375,94,91,40,0.9379263301500682,0.9717314487632509,0.5081081081081081,0.9545296771954183,0.918125,0.7399197784356795,0.9182083850635088
LGBM,Entire population,12984,7083,5653,195,53,0.97320692497939,0.9925728699551569,0.966655266757866,0.9827945053420286,0.9808995686999384,0.9796140683565114,0.9974954547336715
