Algorithm,Dataset,N,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F1-score,Accuracy,Balanced Accuracy,AUC
Random Forest,Test set,10274,5493,2027,1624,1130,0.7718139665589434,0.8293824550807791,0.5551903588058066,0.7995633187772926,0.7319447148140938,0.6922864069432928,0.7844968562159385
Random Forest,Entire population,64492,32122,29616,1624,1130,0.9518757778699698,0.9660170816792975,0.9480153649167734,0.9588942953521,0.9572970290888793,0.9570162232980355,0.9936831165739667
