,전체주중주말,주운행선,운행년월,일수,주말수,주중수,공휴일수,명절수,공급차량수,공급좌석합계수,승차인원수,1인당단가,1인당거리,1좌석당단가,좌석회전율,1키로당단가,승차율,관광,일반,대수송,임시,확정,시발역,종착역,시발종착역,열차운행횟수,1열차당승차인원,정부대응정도,접종시작자수,확진자수,접종완료자수,코로나진행정도,사망자수,격리된자수,국가이동제한정도
0,전체,경부선,2015-01-01,31,15,16,1,0,2237.8064516129034,114303.06451612903,118299.96774193548,34856.173780553414,2653.8861459073905,35994.24992001834,1.032296962773062,13.135891934028788,0.6550466711264206,0.0,15.387096774193548,0.0,0.3225806451612903,15.064516129032258,6.0,6.0,11.0,130.16129032258064,906.6512316280993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,전체,경부선,2015-02-01,28,14,14,3,3,2259.6428571428573,115898.64285714286,122230.53571428571,35360.03508892128,2670.9697584190276,37267.648611717465,1.0535119020373709,13.239101407269029,0.672807855920022,0.0,15.535714285714286,3.25,0.42857142857142855,11.857142857142858,6.0,6.0,11.0,132.14285714285714,924.6009299119808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,전체,경부선,2015-03-01,31,13,18,1,0,2209.4193548387098,113191.32258064517,114985.06451612903,33778.736828633184,2549.425972787914,34165.23994069613,1.009231349756236,13.248808853746183,0.6163681018333066,0.0,15.129032258064516,0.0,0.0,15.129032258064516,6.0,6.0,11.0,129.0,885.6758967179817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,전체,경부선,2015-04-01,30,12,18,0,0,2204.866666666667,113265.76666666666,117478.0,34058.15263527998,2571.4734796827056,35185.170653130284,1.030582364191366,13.242419405869189,0.6397551842122041,0.0,16.266666666666666,0.0,0.0,16.266666666666666,6.0,6.0,11.0,127.0,919.4690780386485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,전체,경부선,2015-05-01,31,17,14,2,0,2253.483870967742,115901.80645161291,125628.58064516129,34545.05789383625,2625.0327761443396,37306.437003382496,1.0777002973000276,13.165373086895746,0.682808861763953,0.0,16.93548387096774,0.0,0.6774193548387096,16.258064516129032,6.0,6.0,11.0,129.74193548387098,962.9056759387618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,전체,경부선,2015-06-01,30,12,18,1,0,2207.4666666666667,112856.2,85131.13333333333,34357.592106927514,2543.981887467626,25879.138080576093,0.754003592639964,13.503353357111276,0.4622775912853364,0.0,16.2,0.0,0.06666666666666667,16.133333333333333,6.0,6.0,11.0,127.16666666666667,668.8083593761828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,전체,경부선,2015-07-01,31,13,18,0,0,2211.1612903225805,113318.16129032258,105368.09677419355,35289.104483238494,2620.1947365586384,32750.509699424347,0.927387084317841,13.473682167525618,0.587232392154459,0.0,19.225806451612904,0.0,0.0,19.225806451612904,6.0,6.0,11.0,127.35483870967742,825.0180431200213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,전체,경부선,2015-08-01,31,14,17,1,0,2160.451612903226,109725.35483870968,114646.32258064517,36780.081566265064,2656.4788791429164,38398.507953441826,1.0437975552490566,13.851563800175917,0.6783728051733116,0.0,18.258064516129032,0.0,0.03225806451612903,18.225806451612904,6.0,6.0,11.0,127.93548387096774,894.637804302066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,전체,경부선,2015-09-01,30,13,17,3,3,2179.2,111377.93333333333,112882.3,35530.74619843789,2523.9990874983064,35798.52794341437,1.0054984537221587,14.084129757271672,0.6217815545358615,0.1,19.433333333333334,2.8333333333333335,0.5666666666666667,16.133333333333333,6.0,6.0,11.0,129.3,866.2849560710495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,전체,경부선,2015-10-01,31,14,17,2,0,2155.6774193548385,110162.7741935484,119367.06451612903,35750.696671806094,2548.7270559133385,38562.92870167368,1.0773085517494694,14.032098179917622,0.6726510900839817,0.0,18.838709677419356,0.0,0.0967741935483871,18.741935483870968,6.0,6.0,11.0,128.19354838709677,925.8344762904545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,전체,경부선,2015-11-01,30,13,17,0,0,2147.2,110138.26666666666,120314.2,35470.68778915499,2528.420586485154,38533.17018435415,1.0830062951373611,14.032739257210286,0.6721701963994007,0.0,18.8,0.0,0.0,18.8,6.0,6.0,11.0,127.7,934.461017976228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,전체,경부선,2015-12-01,31,12,19,1,0,2131.548387096774,109256.25806451614,114735.58064516129,35349.62326767908,2542.466017823568,37026.77468439242,1.046311022556047,13.91131995124119,0.6519943938526246,0.0,19.129032258064516,0.0,0.25806451612903225,18.870967741935484,6.0,6.0,11.0,127.19354838709677,898.3931842984789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,전체,경부선,2016-01-01,31,15,16,1,0,2169.548387096774,111208.87096774194,109746.51612903226,36084.59421851813,2639.2806372701148,35438.61223602722,0.9825873964301958,13.674471450259508,0.6343088691679859,0.0,18.838709677419356,0.0,0.1935483870967742,18.64516129032258,6.0,6.0,11.0,128.51612903225808,850.1366279125546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,전체,경부선,2016-02-01,29,14,15,3,3,2199.0344827586205,112680.89655172414,116163.06896551725,36415.718512680156,2650.538486981531,37396.437409231236,1.0278424419565397,13.741718373445929,0.6659730346312871,0.0,19.17241379310345,3.5172413793103448,0.6206896551724138,15.03448275862069,6.0,6.0,11.0,130.55172413793105,886.8010125467861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,전체,경부선,2016-03-01,31,13,18,1,0,2135.8064516129034,109433.03225806452,105229.3870967742,35141.582513756206,2526.9591093320355,33458.45951746558,0.9539098796988547,13.90675405527031,0.5897295362240693,0.0,25.193548387096776,0.0,0.0,25.193548387096776,6.0,6.0,11.0,126.6774193548387,824.2470099474701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,전체,경부선,2016-04-01,30,14,16,0,0,2163.9333333333334,110855.63333333333,115041.43333333333,35513.99461375506,2560.2119688010057,36498.18556058566,1.028647975069348,13.871055971198183,0.6442639897525321,0.0,25.533333333333335,0.0,0.1,25.433333333333334,6.0,6.0,11.0,128.33333333333334,888.7660020099055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,전체,경부선,2016-05-01,31,14,17,2,0,2160.7741935483873,110765.09677419355,117817.06451612903,35487.75878999803,2573.9010347503868,37305.331600160534,1.054129599242725,13.788998769009229,0.6636508369296787,0.0,25.774193548387096,0.0,0.41935483870967744,25.35483870967742,6.0,6.0,11.0,128.5483870967742,908.594773094163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,전체,경부선,2016-06-01,30,13,17,1,0,2142.0,109805.26666666666,114478.9,35333.51799207544,2584.91080743651,36488.073048698265,1.0342153734074102,13.671459998142138,0.6545977409590417,0.0,25.466666666666665,0.0,0.2,25.266666666666666,6.0,6.0,11.0,127.46666666666667,891.0726250987904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,전체,경부선,2016-07-01,31,15,16,0,0,2171.7419354838707,111306.2258064516,113699.70967741935,35922.13662501867,2624.762982547261,36492.84045361273,1.0165159924264606,13.687627820959552,0.6531076303671852,0.0,25.967741935483872,0.0,0.45161290322580644,25.516129032258064,6.0,6.0,11.0,129.16129032258064,875.8592569678872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,전체,경부선,2016-08-01,31,13,18,1,0,2152.1612903225805,110324.74193548386,113205.6129032258,36476.334164677195,2657.881936342605,37337.388723207034,1.0237730247306251,13.727028510743605,0.6664489177843385,0.0,25.967741935483872,0.0,0.9032258064516129,25.06451612903226,6.0,6.0,11.0,128.38709677419354,879.4020757396306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,전체,경부선,2016-09-01,30,15,15,3,3,2201.2,112777.96666666666,113880.4,35692.00508043683,2568.4364026449452,35775.22535750793,1.0028633221522825,13.899663247060744,0.6302550213598103,0.0,25.1,3.433333333333333,1.0,20.666666666666668,6.0,6.0,11.0,131.03333333333333,863.1137741062162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,전체,경부선,2016-10-01,31,15,16,2,0,2149.8709677419356,110176.54838709677,122209.06451612903,35158.535085320684,2524.331979968502,38500.61818279273,1.0985611257490142,13.928081879242079,0.6777309127105401,0.0,26.838709677419356,0.0,0.0,26.838709677419356,6.0,6.0,11.0,128.06451612903226,945.4089070630432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,전체,경부선,2016-11-01,30,12,18,0,0,2077.0,106453.5,121186.86666666667,34754.27939073187,2509.309145894197,38965.17367685623,1.1248930738401175,13.849407043917017,0.6907981230065334,0.0,28.666666666666668,0.0,0.0,28.666666666666668,6.0,6.0,11.0,127.0,942.910127535599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,전체,경부선,2016-12-01,31,14,17,1,0,1772.7096774193549,91182.29032258065,96701.09677419355,35239.39096775292,2593.0127597621117,37283.90055060022,1.0604190253691492,13.592737195559257,0.6603081275891995,0.0,21.774193548387096,0.0,1.4516129032258065,20.322580645161292,6.709677419354839,5.709677419354839,11.096774193548388,103.93548387096774,932.225101822278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,전체,경부선,2017-01-01,31,13,18,4,3,1875.1612903225807,96383.83870967742,91191.0,36137.530117096976,2662.434599277598,33888.55951513697,0.9382051637955809,13.575317974633098,0.5979982252067776,0.0,19.93548387096774,2.774193548387097,1.2903225806451613,15.870967741935484,7.0,6.0,11.838709677419354,110.29032258064517,820.2464578712782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,전체,경부선,2017-02-01,28,12,16,0,0,1820.0714285714287,93527.10714285714,91744.28571428571,35832.33326399209,2625.713211368162,34853.382353375615,0.9740280649166575,13.647377248462556,0.6128336402687341,0.0,20.392857142857142,0.0,0.14285714285714285,20.25,7.0,6.035714285714286,11.892857142857142,107.82142857142857,845.7777470055319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,전체,경부선,2017-03-01,31,14,17,1,0,1920.774193548387,98989.41935483871,86329.58064516129,34389.17820855548,2530.266719647183,29617.754211450763,0.8637684312677626,13.590759585856935,0.525466670812271,0.0,23.774193548387096,0.0,0.0,23.774193548387096,7.0,7.0,12.870967741935484,113.51612903225806,752.7103862453108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,전체,경부선,2017-04-01,30,14,16,0,0,1940.2,100182.1,94638.76666666666,34711.71175226092,2579.0064865760282,32281.933669141064,0.9337355744394525,13.460541811219349,0.5782963738274933,0.0,25.6,0.0,1.8666666666666667,23.733333333333334,7.4,7.4,13.666666666666666,116.03333333333333,805.4305060691494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,전체,경부선,2017-05-01,31,13,18,2,0,1937.8064516129032,100101.2258064516,95164.03225806452,35202.93201437792,2613.3040633664996,33043.13334817907,0.9408953183461807,13.481565150375452,0.5917019537640263,0.0,27.129032258064516,0.0,2.5161290322580645,24.612903225806452,7.387096774193548,7.387096774193548,13.612903225806452,115.58064516129032,814.1609757261639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,전체,경부선,2017-06-01,30,14,16,1,0,1947.8,100676.7,90766.33333333333,35295.40211382573,2578.5197588389924,31489.588920461738,0.8938299400542348,13.690089081496613,0.5535183398022919,0.0,24.866666666666667,0.0,2.466666666666667,22.4,7.5,7.5,13.866666666666667,116.56666666666666,771.5137246477441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,전체,경부선,2017-07-01,31,14,17,0,0,1932.6451612903227,99955.06451612903,87449.64516129032,35606.63361241925,2615.9826624867183,30931.95806933856,0.8697821347174401,13.615819324341864,0.5467804750583021,0.0,24.419354838709676,0.0,2.4516129032258065,21.967741935483872,7.451612903225806,7.451612903225806,13.741935483870968,116.96774193548387,743.4367316982133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,전체,경부선,2017-08-01,31,13,18,1,0,1918.0,99242.51612903226,92218.93548387097,35533.60332171861,2664.528922921933,32827.45972298961,0.9246990229511729,13.339159801402948,0.5913114138472291,0.0,24.64516129032258,0.0,2.6774193548387095,21.967741935483872,7.451612903225806,7.451612903225806,13.774193548387096,116.0,791.1988142841295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
