username,date,rating,review,likes,dislikes
jae4****,2016.10.24. 13:25,10,집에서 Tv로 보고 감동적이어서 집사람과 극장에서 다시 보앗네요.눈물이 주룩  ...로멘스 영화를 좋아하시면 강추,30,6
psn9****,2016.10.20. 12:55,10,오랜만에 스크린으로 보니 정말 즐거웠습니다ㅎㅎ재밌었어요,25,2
blue****,2020.11.20. 11:06,10,앨리의 웃음이 너무 순수하게 행복해보여서 다시 찾게되는 영화,25,3
ly11****,2020.11.29. 01:36,10,이건 뭐 말이 필요없는 죽기전 꼭 봐야할 영화중 하나죠극장에서 본건 오늘이 처음인데 늘 다시 봐도 좋네요다들 코로나 조심하세요,28,6
lyl6****,2021.02.26. 19:05,10,아름다운 영상이 좋아요,23,2
arro****,2020.11.26. 08:38,10,스토리도 최고지만초반에는 앨리의 연기에빠져있었고부모님의 눈빛과 연기시네마 의 큰 스크린에서는 모든게 담겨보이는 영화였다.약혼자도 얼마나 억울했을까 하지만 그녀를 보내주었다나이들수록 보이는게 많아져 6번째 보는 어제 밤이 가장인상깊고 재밌었다.노아가 죽기전 퇴원하자마자 입떨며 앨리에게 다...,24,3
hbsz****,2016.10.20. 10:35,10,볼때마다 새로운 영화언제봐도 아름다운 사랑이야기,27,6
rhok****,2016.10.26. 22:20,10,너무좋아요 진짜 사랑하고싶어졌어요,23,3
fbsg****,2020.12.12. 15:53,10,좋아하는 영화에요 몇 번 째 보는지,21,2
dlgk****,2016.11.02. 22:38,10,너무 슬퍼서 여자친구 옆에서 울뻔했어요..,24,5
song****,2016.11.05. 18:36,10,너랑 봐서 좋았고 너무나 행복했어,18,0
7won****,2021.01.14. 12:16,8,그때 개봉년도 기준으로 띵작이였네요 연기도 멋지고 풋풋하고 찐사랑얘기 좋았어요,33,15
doro****,2021.01.30. 21:17,10,다시 보는데도 너무 재미있었습니다~,21,5
egga****,2016.10.24. 09:08,10,소개 받은 여자와 두번째 만남때 보게되었습니다 중학생때 한번 보고 두번째로 봤는데 역시 최고 그리고 저는 여자친구가 생겼습니다,27,11
hini****,2016.11.05. 00:16,10,ㅠ언제봐도 좋다 다음 대사를 다 알지만 어김없이 같은 타이밍에 눈물이 쏟아진다,15,0
yoon****,2016.11.03. 13:26,10,사랑한다면이들처럼...,15,1
rlaw****,2020.11.04. 19:43,10,눈물나가지고 참아가면서 봤는데 끝날때쯤엔 영화관에 있는 사람들 다 훌쩍거리면서 봤네요ㅋㅋㅠㅠ 스토리에 아주 특별할 건 없는 고전적인 로맨스지만 수많은 뻔한 로맨스 중에서도 최고..,16,2
gf08****,2020.12.29. 15:52,10,아주좋아요,15,2
mhzr****,2016.10.26. 21:21,7,둘은 로맨스인데 버려진 사람들은??,14,2
love****,2020.11.14. 19:50,10,10년전에는 이런감동 못느꼈습니다근데 10년이 지난 지금은첫사랑이 끝사랑이된 저 커플이 참 부러워요저런 사랑 평생 못하겠죠..,13,2
tade****,2016.11.20. 13:08,10,그냥 인생영화....죽을때까지 평생 소장하고싶은영화,13,2
kkt0****,2017.03.07. 08:06,10,안보았음후회될뻔한 영화돈이 아깝지않다는 생각,14,3
amns****,2021.02.05. 00:45,10,가끔 생각날 때 보는 영화,15,4
sson****,2016.11.03. 08:52,10,영화보면서 나도 저런사랑을 꿈꾼다...하면서 완전 감정이입하며 봤어요 달달하면서 감동적인 영화 또보고싶을정도에요^^*,11,1
qufs****,2020.11.15. 00:08,10,인생영화 인생영화 인생영화 왜 이걸 지금봤지,12,2
glov****,2016.11.05. 07:17,10,레이첼 맥아담스의 매력을 만프로 느껴보시길...,10,1
melo****,2020.11.06. 04:34,10,둘의 짧지만 강렬했던 여름의 장면이 풋풋했다.,12,3
juo1****,2016.10.31. 15:43,10,남자친구랄 꼭 보고싶은 영화여서 보고왔는데 진짜 너무 이쁜 사랑이예요ㅠㅠㅠ 엄청 울고왔네요 짱 재밌어요!!!,13,4
fire****,2016.11.19. 00:55,10,진정한 사랑은 잊혀지지 않는다,9,1
duwl****,2020.11.11. 15:11,10,"재개봉해서 봤는데 레이첼 사랑스러움 미쳤다 진짜 과즙미 뿜뿜 웃는거 너무 예쁘고 컬러풀한 옷들도 찰떡같이 소화함 ㅠㅠ  라이언고슬링 어림.... ㅋㅋ 판타지 같은 이야기라 생각했는데 실화라해서 놀랐고, 오리떼가 CG가 아니라니;; 약혼자와 미망인의 입장에선 쓰레기같은 상황이겠지만 앨리와 노아로만 본다면 ...",10,2
wolc****,2016.11.11. 16:20,10,제 인생영화가 되었습니다..,7,0
