username,date,rating,review,likes,dislikes
blki****,2014.02.21. 16:20,10,사랑의 진심을 믿지 않는 현대인에게 귀감이 될만한 영화네요...함께 늙어가며 여전히 사랑하여 세상의 편견과 용감히 싸우는 사람들이 많고 우리도 그럴수 있다는걸 믿고 싶어지는 영화입니다,0,0
sora****,2014.02.21. 16:10,10,마음이 따뜻해 지는 영화네요~ 저도 이렇게 아름답고 행복하게 나이들고 싶습니다~,0,0
yjer****,2014.02.21. 16:03,10,사람의 마음을 움직이는 가슴 따뜻한 작품!,0,0
fuen****,2014.02.21. 15:59,10,기대 많이 되는 영화! 감동 그 자체!,0,0
lemo****,2014.02.21. 14:36,10,또 보고싶은 영화네요♥,0,0
wind****,2014.02.21. 11:12,10,행복한 슬픔. 인생의 깊이.,0,0
kito****,2014.07.17. 02:32,9,전혀 슬프지 않은 영화인데 눈물난다.,1,1
leey****,2019.06.25. 09:24,10,아내를 향한 마지막 사랑의 표현인 줄은 알겠지만 그 고집스러움이 결국 상황을 어렵게 만들고....평생 함께한 지고지순한 사랑에 가슴 따뜻한 영화~^^,0,1
ssha****,2018.07.19. 23:12,9,이 할머니가   '천일의 앤(1969)'의 앤 이였어?,0,1
law_****,2017.03.19. 22:57,10,할아버지 배우 존잘 존멋 ㅠ,0,1
lonr****,2015.03.13. 15:42,7,Com-처음부터 끝까지.. 할아버지 할머니의 영화... 치매를 앓던.. 아내를.. 지극정성으로 돌보는 맥가이버 할아버지.. 결국 세상의 규범과 질서에 갈등을 빚고.. 꽤나.. 여러영화에 낯이 익은 할아버지.. 말년에 주연까지.. 축하해요~,0,1
thev****,2015.02.25. 09:43,1,"숨어있는 보석... 영화보기란 이런 숨어있는 보석을 찾는 여정... 일상의 언어를 아름다운 시어로 승화시켰고, 단 한 순간도 눈을 떼지 못했다...,! 일본 감독들에게 모범적인 해답을 보여주는 텍스트, 고문과 수면제가 아닌 잔잔함이란 이런 것...",1,2
sury****,2015.03.01. 14:00,1,따뜻한 영화지만 평범하다.,0,4
tn99****,2014.11.16. 18:24,7,솔직히 새집 불편할거 같은데? ㅋㅋ,1,6
daum****,2014.02.21. 17:41,1,내가 보기에는 별로라는 생각이든다,0,8
hyon****,2014.02.20. 08:22,5,굿 내가처음이다귯굿굿굿,0,10
