username,date,rating,review,likes,dislikes
lhn0****,2017.09.07. 17:14,10,"두시간이 어떻게 지나갔는지 모를 정도로 긴박감 넘치네요. 원작 소설 좋아했어서 영화 개봉하자마자 보러갔는데 배우들 연기 너무 좋아서 감탄, 연출 소름이라 한번 더 감탄했습니다.",80,23
ange****,2017.09.06. 17:48,10,오랫만에 재미있는 영화를보았네요,75,21
jjkf****,2017.09.08. 19:21,10,설현의 의외의 연기에 놀랐음 설경구와 김남길의 케미도 정말 좋았고 여운이 남는 결말도..  돈아깝지 않은 영화에요,67,15
ksa0****,2017.09.06. 10:48,10,"원작도 재밌게 읽었는데, 영화는 정말 재밌게 잘 봤어요! 설경구 연기 진짜 엄청나네요~",87,37
mymy****,2017.09.07. 08:48,8,재밌게봤네요 선덕여왕  드라마에서    연기    너무잘해서 좋았던 김남길도 나와서 더좋았네요  온몸  온 얼굴의 신경까지도  연기하는거같았어요 역시 설경구연기!!  잘  보았습니다,61,12
ksy5****,2017.09.08. 13:35,9,이제 내 기억이 맞는건가도 의심스럽다 본격기억조작영화,52,8
rlax****,2017.09.07. 17:08,10,정말 보는 내내 두근거렸어요,58,14
myme****,2017.09.07. 19:42,10,설경구님 올만에 봤네요김남길님 이중적 연기에 소름돋아요,55,13
vgks****,2018.03.10. 21:21,10,설경구의 연기 정말 짱이에여,44,5
hann****,2017.09.08. 01:44,8,8점을 주는 이유는 . 경찰이 빨리 안와서 줍니다 .. 김남길 팬 됐구요 .. 설경구 정말 연기의 신입니다설현도 연기 잘하네요 .. 다시 봤어요 ...쫄깃한 영화,50,12
love****,2017.09.07. 00:30,10,알츠하이머 소재로 신선한 긴장감과 유머가 좋았습니다,49,12
king****,2017.09.07. 10:35,9,"개인적으로 올해 개봉한 한국영화 중 가장 인상 깊었던 영화, 피로감 있었던 설경구 연기의 반환점이 될 영화 같다. 스토리 신선하고 알쓸신잡을 통해 인지도를 높인 김영하 작가의 소설이 원작이라는 점도 흥행포인트가 될 듯.",56,19
yoja****,2017.09.06. 15:36,8,처음부터 끝까지 긴장하며 봤습니다. 역시 설경구!,67,31
p538****,2017.09.07. 16:58,10,재미있게 잘 보았습니다,43,8
sata****,2017.09.07. 09:19,9,반전에 또 반전 재밌다 꼭 보셔요,46,11
tjdt****,2017.09.07. 08:42,10,연기디따디따잘핫네요 배우분들,44,10
knee****,2017.09.06. 21:48,10,설경구 연기력에 지리고갑니다,58,24
gurt****,2017.09.09. 00:26,10,설경구와 김남길의 연기가 정말 대단해여,38,5
shgh****,2017.09.06. 22:45,10,정말 오랜만에 보는 한국 스릴러영화,39,6
kali****,2018.03.09. 23:30,9,.역시 믿고 보보는 김남길과 설경구 입니다,33,1
zn60****,2017.09.09. 00:49,9,연기 다들 좋고 김남길 진짜 대박,37,6
paul****,2017.09.07. 08:16,8,"과제: 기억과 망상을 명확히 구분하기, 무엇을 어떻게 얼마나 믿어야 할 지 정확히 판단하기",39,8
gkst****,2017.09.06. 23:29,10,방금 보고나왂다 다들 연기 너무잘하고 결말도 맘에들었다 소름돋는장면도 있었고 슬퍼지는 장면도 있었고 스토리가 탄탄하다 생각했다,40,9
laun****,2017.09.07. 10:27,10,최근에 봤던 영화중 제일 재밌게 봤던 영화,41,10
apri****,2017.09.07. 10:11,10,마지막에 방심하고 말았다 습관은 무서워...,42,11
new2****,2017.09.06. 19:27,10,연기자 여러분들 신들린 연기...한순간도 놓칠 수 없는긴장감~즐감했습니다.,42,11
iiop****,2017.09.07. 01:21,10,"피곤한 상태에서 봤는데 몰입도있게 잘 봤습니다.설경구님 연기는 말할 것도 없고 설현은 생각보다 연기 괜찮았고내용이 그리 심오하거나 그러진 않지만 긴장감, 웃음, 반전, 연기... 볼거리가 넘칩니다. 연기잘한다는 평 보고 갔는데 굿입니다",46,15
mika****,2017.09.10. 18:56,10,설경구 김남길 연기소름 설현도 잘함,30,0
soda****,2017.09.06. 23:24,8,몰입도 좋고 설현 생각보다 연기 잘하네요,61,31
rlat****,2018.02.22. 16:05,8,김남길은 정말 살인마 같았음.ㅋ,29,1
dlrb****,2017.09.06. 18:23,8,원작 소설을 안본 사람으로서 영화 자체는 볼만함결말이 좀 시원하지 않음 ㅠㅠ,50,22
