Algorithm,Dataset,N,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F1-score,Accuracy,Balanced Accuracy,AUC
XGBoost,Test set,1600,1385,93,92,30,0.9377115775220041,0.9787985865724381,0.5027027027027027,0.9578146611341632,0.92375,0.7407506446375705,0.9067176009932194
XGBoost,Entire population,12968,7106,5739,93,30,0.9870815391026532,0.9957959641255605,0.9840534979423868,0.9914196023718173,0.990515114127082,0.9899247310339736,0.9977474912266943
