"작성자","평점","좋아요","댓글수","리뷰"
"blueblueblue","5.0","1","0","동화같은 로맨스 
마지막엔 정말 슬펐다 
그러나 시원한 눈물이 아니었고
두 번은 못보겠다
하지만 좋았다
—
다시보았다 
정말 저런 사랑이 있을까 생각했다 
앨리의 선택에 의문일 때도 있었지만 두번째에는 왜지 이해가됐다"
"jenny","3.5","1","0","사랑한다면 이들처럼"
"HyunseokNam","5.0","1","0","아름다운 러브스토리. 라이언 고슬링, 레이첼 맥아담스 연기 잘 하고 몰입할 수 밖에 없었다"
"⠀ ⠀明","4.0","1","0","영원이 존재하지 않는 세상에서도 영원을 꿈꿀 수는 있잖아요."
"장성태","4.5","1","0","사랑은 이렇게..."
"영화조아","4.5","1","0","정말 최고의 사랑이다 가슴이 미어진다"
"김명진","5.0","1","0","내게는 그런 삶을 살고 싶게끔 하고,
아름다움에 눈물 흘리게 되는 영화가 인생 최고의 영화다 :)
개연성이나 예술성을 따질 여유가 없을 정도로
순간순간이 벅찬 아름다움이었고, 한바탕 글을 쓰게 만들었다.
이 영화를 처음 본 어제 밤이 평생 기억에 남을 것 같아."
"끌락끌","5.0","1","0","-니가 원하는 걸 말해.
-그녀가 나의 집이야.
-사랑하는 노아에게,
  내가 돌아오도록 이걸 읽어줘요."
"바르톨로메","4.0","1","0","뭐야 ㅠㅠㅠ 로맨스로 끝날 줄 알았더니 ㅠㅠㅠㅜ이렇게 눈물콧물 빼기 있냐구 ㅠㅠㅠㅠㅠ 앨리가 떠난 사이 한층 깊어진 노아의 눈빛을 연기하는 라이언 고슬링.. '내 사람'이 되어달라는 약혼자보다 앨리를 위한 집과 화실까지 준비해놓고서 니가 원하는대로 해라는 노아가 좋다."
"내생애봄날","5.0","1","0","오랜만에 가슴 떨리게 해준 고마운 영화"
"코예알","4.5","1","1","공책에 적힌 둘의 이야기"
"dasol","4.5","1","0","중학생일때 처음 봤을 땐 ‘슬픈 영화구나’에서 마음이 멈췄었는데 이십대 후반이 돼서 다시 본 이 영화는 여러 감정과 그때 당시 우리였던 장면들이 떠올려진다 나는 앨리와 같은 성별이지만 내 마음 속에 오랫동안 있을 앨리 같은 사람
.
.
상실되지 않거나 상실될 수 있는 것 없다
희미하고 오래되고 차가운
타다 남은 깜부기불은 다시금 살아날지니
Continuities_Walt Whitman"
"김혜수","4.5","1","0","첫 사랑에 상처받고 아플때 보기 좋은 영화 그때봐야 명작"
"TaeYoungKang","4.5","1","0","세상에서 가장 아름다운 외도. 누군가는 이를 비난할지도 모른다.
하지만 서로를 알몸으로 마주보았을 때, 레이첼은 ""나""를 마주한다.
아무런 옷을 입지 않은 두 명의 남녀는 서로를 있는 그대로 사랑했다."
"계란도른자","3.5","1","0","가슴시리게 눈물 쏟게 하는 스토리"
"김윤아","5.0","1","0","당신은 지금 그리고 언제나 그래왔듯, 내꿈 속에있습니다"
"멍멍","1.5","1","0","뭐가 문제였지? 난 별로였어
진짜 진득한 로맨스 맞아?
왜 다른 여자 만났어?
왜 다른 남자한테 사랑한다고 했어?
우리는 뭐가 진짜 사랑인지도 모르면서
그래도 둘은 행복했겠지"
"박중길","4.5","1","0","죽기전에 한번 쯤 이런 사랑을 해볼수 있다면
라이언 고슬링/레이첼 맥아담스 열연이 미우 인상적이다"
"김영돈","3.0","1","0","멀리서 보면 이상이고, 가까이서 보면 현실이다."
"이승연","3.5","1","0","그닥 아름다운 사랑 같지는 않던데.."
"이석","4.5","1","0","가슴이 찢어질거같음"
"김현희","5.0","1","0","초반은 지루했지만 가면 갈 수록 빠져들었다.
사랑을 한다면 이렇게!"
"김영웅","4.5","1","0","한남자가 평생을 사랑한 첫사랑이야기
첫사랑은 못잊나보다"
"comme un film","4.0","1","0","나의 생애는 모든 지름길을 돌아서 네게로 난, 하나의 에움길이었다."
"이이찌","5.0","1","0","최고의 남자 최고의 사랑"
"조은아","5.0","1","0","무슨 말이 더 필요해 정말"
"정수현","4.5","1","0","레이첼맥아담스 진짜 이뿌다😀 오져따리~! 남주 넘멋있고 리얼러브가뭔지 느낀 달달한영화. 여주가 약간..이아니고 많이 폭력적임ㅎㅎㅎ 그리고약간 또라2같은데 예뻐서 사랑스러워보였다ㅎㅎㅎ 역시 예쁜게 쵝5,,👍🏻 왜 죽기전에꼭봐야할로맨스영화에 항상 언급되는지 알거같은 영화 정말 설레고 재밌었다!"
"misty","4.0","1","0","사랑한다면 이들처럼...(2)"
"쥬쥬","5.0","1","0","가장 좋아하는 외국 로맨스 
레이첼 맥아담스에게 나는 훅 빠져버렸다"
"이진주","5.0","1","0","I’ll be seeing you."
"김정은","4.5","1","0","예전에 한번 봤던건데 노트북 여주가 너무너무 귀엽다고 생각하고 있었다. 그리고 되게 재미있었다고 생각해서 다시 한번 보는데 역시 한번 봤기 때문에 자막으로 본다. 그런데 기억이 잘 나지 않는다..."
"박수란","4.5","1","0","좋아 네가"
"정민","5.0","1","0","최고의멜로영화였어요~"
"하다솜","4.0","1","0","""she is my home."""
"곽소영","5.0","1","0","내 인생영화"
"chobok","3.5","1","0","사랑스런 레이첼 맥 아담스"
"나른","3.0","1","0","170609
190113 이렇게 야했던가..?"
"기훈이형","4.5","1","0","제일 좋아하는 키스신이 나오는 외국 영화"
"뭅덕","5.0","1","0","인생영화"
"노찬샘","5.0","1","0","그냥 사랑"
"한유현","5.0","1","0","부유하고 행복하기만 할거같은 하지만  자유롭지 못했던 앨리 그리고 자유롭지만 형편이 넉넉하지 못했던 노아
그 둘의 처음 만났을때 노아는 앨리에게 첫눈에 반하여 짝사랑을 하고 그런 노아를 처음에는 받아들이지 않았지만 노아의 적극적인 구애와 자유로움에 결국 사랑을 받아들인 앨리 그 둘은 여름간 짧은 사랑을 나누고 당연한듯 앨리어머니의 반대와 서로간의 차이 그리고 오해로 헤어지게 되고 오랫동안 헤어졌다 다시 만나 서로 사랑하는 어쩌면 흔하고 흔한 영화의 이야기이지만 이 영화가 재미있고 감동적인 점은 이 흔한 이야기를 어느 노년의 남자가 노년의 여성에게 어느 <노트북>에 적힌 이야기를 한다는 점이다. 그 노년의 남자는 나이가 든 노아, 노년의 여성은 치매를 앓고있는 앨리...노아는 치매를 앓고 모든것을 잊어버린 앨리에게 자신들의 사랑 이야기를 앨리에게 마치 소설을 읽어주듯이 이야기를 들려준다 그리고 후반의 장면에서는 앨리가 이야기를 듣다 노아를 기억해내고 5분도 채 지나지 않는 시간동안 서로의 사랑을 확인하고 다시 기억을 잃는 장면 나는 이 장면을 보고 노아가 이 5분을 위해 아니 5분도 채 되지 않는 그것조차도 불확실한 시간을 위해 앨리에게 이야기를 얼마나 반복하였을까 그리고 얼마나 슬펐을까 그의 사랑이 짐작도 되지않지만 정말 아름다운 사랑이라는 느낌이 들었다.
(영화 중간 가족들이 치매를 앓고있는 앨리와 요양원에 살고있는 노아에게 자신들과 같이 살자고 했을때 노아는 나의 사랑이 여기 있다....너의 엄마가 나의 집이다라고 하였을 때는 정말 노아의 앨리 사랑을 직접적으로 알수있었다 그리고 정말 멋있고 감동적인 말이였다...)
이 영화는 결국은 나쁜 사람..미운 사람은 한명도 없는 것 같다...노아와 앨리의 사랑을 방해한 앨리어머니마저 알고보면 자신만의 이유가 있었고 앨리의 약혼자, 노아가 만났던 여자마저 너무 인간미 있는 사람이였다.....끝으로 누군가 It was Us라는 말에 전율을 느낀다고 하였는데 나 또한 이것의 의미를 알고 정말 전율을 느꼈다."
"🛏️🍿💭","5.0","1","0","절대 변하지 않을 나의 로맨스 영화이자 인생 영화 1위."
"감지성","4.5","1","0","오늘 처음 본 영화지만 내용과 설정, 엔딩은 짐작할 수 있었다.
　
그럼에도 마지막까지 인상 깊게 감상했고 기분은 뭉클했다.
　
이 영화를 참고해서 제작한 비슷한 로맨스 영화나 드라마를 많이 본 것일까
아니면 나도 치매에 걸린 것일까?"
"유민식","3.0","1","0","두 사람만의 사랑이야기였다면 감동적인 사랑으로 봤을텐데"
"융프","4.0","1","0","사랑하니까 기꺼이 하겠어"
"김윤아유냄","5.0","1","0","노아가 들려준 이야기를 통해 자신의 기억과 사랑을 되찾아가는 과정이 너무 아름다웠다."
"안유정","1.0","1","0","음...기대하고 봤는데 저는 잘 모르겠네요 재미있는지 앞 부분 조금만 봐도 결말이 예상되었고, 또 둘 사이의 감정선을 잘 못 따라가겠더라구요. 특히 별로였던건 남주가 처음에 여주에게 구애를 하는 방식이였어요. 굳이 자신을 위험한 상황에 처하게 만들어서 받아내는 데이트라 진짜 별로네요"
"포롱","3.0","1","0","제목을 바꿔주고 싶다
미친 연애.... 
.
약혼남이랑 결혼하는 게 현실일 듯
.
영화를 보면서 로맨스보다는
치매에 걸린 노년의 앨리와 그 가족들에게 관심이 갔다
엄마아빠가 나를 못 알아본다면 너무 슬플 것 같다...."
"이대호","4.0","1","0","""그게 네 문제야! 넌 하고 싶은 걸 안해!!""
(처음 데이트 한밤 길가에 누워서 앨리에게 하는 말)
""우리 사랑으로 이루지 못할 것은 없어""
 (숨을 거두기 전 날 밤 , 마지막 대사)"
"짱아","5.0","1","0","내 인생영화 ❤️"
"Cherrymoon","5.0","1","0","이런 사랑이라면 인생을 걸만하다"
"김세진","4.5","1","0","오해와 젊은 혈기가 쌓여 더더욱 아름답게 표현된 사랑이야기"
"민퉁파파","4.0","1","0","첫사랑의 아련함 노년의 추억"
"초가을","3.0","1","0","노아와 앨리
첫사랑의 불같았던 사랑이
세월이 지난 후에도 불씨는 살아있었다.
현실의 룬을 사랑하지만
마음속에 숨겨뒀던 그 애뜻한 첫사랑은
생각보다 온도가 강했다.
노아할아버지 너무 멋지다.
평생을 앨리만 바라봐주고 생의 마지막까지 함께 해준 사람"
"김지윤","4.0","1","0","영화는 너무 너무 좋았는데.... 자신과 만나지않으면 죽을거라는 그 협박장면이 눈에 밟힌다... 그래서 1점을 뺀다"
"주상현","4.0","1","0","컴퓨터 노트북을 생각하고 영화를 본 내가 한심하게 생각됐다."
"mhi54","4.5","1","1","누구랑 보니깐 더 좋았다"
"Ju Hye Jung","4.0","1","0","같이 함께하고 나아갈 수 있는 존재"
"배호진","4.5","1","0","둘의 섬세한 감정표현과 과하지 않은 연기가 돋보인 영화"
"공갈빵","5.0","1","0","클리셰범벅이지만 보는동안 정말 사랑하고싶다는 생각을 하게만드는영화.."
"재미없는 건 바로 포기","3.0","1","0","#
이제서야 찾아봐서 그런 걸 수 있지만, 진부하다.
.
.
# 노년의 노아는 훈남이지만, 젊은 그들은 뭐하자는 거지?
현 남친버리고, 과거 남친 찾아간 것에 스스로도 어쩔 줄 몰라하는 엘리는 솔직한 게 아니라, 무책임 한 걸로 보인다.
(납득할만한 이유가 없다.)
.
.
# 다른 불륜 영화들이 살아 남는 법
1. 건축학 개론 : 엄태웅이 정신차리고 약혼녀에게 간다.
2. 러브 어페어 : 기존 애인들이 영 별로다.
3. 실락원 : 주인공들이 자살한다. 
.
.
# 겹쳐보인다. 
 - 그래서 누가 남편인거야? (응답하라 시리즈)
 - 불같은 사랑. 집안의 반대 (클래식. 로미오와 줄리엣)
 - 넌 기억하지 않아도 돼. 내가 매일 알려줄게. (첫 키스만 50번째)"
"MiJiLee","3.5","1","0","1. 영화의 시작은 노아의 내레이션이다. 스스로가 평범한 사람이라는 노아. 그래서인가. 나 역시 노아와 엘리의 사랑을 쫓아가면서 누군가들을, 어떤 상황들을 순간 순간 떠올렸다. 
1-2.아름다운 순간에서 결말을 내는게 아니라 치매에 걸리고- 병에 걸린 그런 모습까지도 담아낸건 의도가 있어보인다. 예를 들면 이런거, '이 이야기는 보편적인 이야기다. 노아와 엘리의 사랑이야기자 너와 나의 사랑이야기다.'
2. 그럼에도 노아와 엘리는 영락없이 철부지 민폐 캐릭터다. 주변 인물들은 어쩔....뭔 잘못... 캐릭터 설정상 이해할 수 없는 행동들도 종종 보이고....허허 마지막 여운으로 덮어지기는 하지만 중간 중간 현실로 튕겨져 나와야 했다. 엘리, 노아, 정신차리라고!
3. 한글 제목 노트북은, 에러다. 명백하다."
"이건우","5.0","1","0","사랑에 대하여."
"시태오","3.5","1","0","나는  약혼자가 마음에 걸린다."
"최시은","4.5","1","0","단연코 최고의 로맨스영화,,!ㅠ너가 새면 나도 새야 (기절)"
"김병우","4.0","1","0","처음 부분만 잘 넘기면 뒷부분은 시간도 잘가고 재밌습니다."
"디디","5.0","1","0","찰나의 영원한 풋사랑
한 사람을 지극히 사랑했으니 성공한 인생"
"윤영석","3.5","1","0","어찌보면 앨리하고 결혼하려고했던 그 남자는 무슨 죄인가
그남자입장에서보면 리얼 불륜인데.. 
남이하면 불륜 내가하면 로맨스"
"Jee Eun Seo","5.0","1","0","로맨스의 정석."
"3days","1.0","1","0","엥 이게 뭐야. 외도 미화물 극혐인데 예상별점 3.8 무엇. 레이첼 맥아담스 때문에 2.5나 줬음. 라이언 고슬링 어깨 너비 충격...
-
노년의 사랑은 좋아, 좋다 이거야. 근데 청춘 로맨스가 아주 막장이다. 어린 날 석 달 정도한 연애가 모든 짓거리의 면죄부라니, 기도 안 찬다. 노아나 앨리나 둘 다 도긴개긴이다. 이거랑 비슷한 최근 영화로는 카페 소사이어티가 있다. 똑같은 불륜 미화 영화다ㅎㅎ 그나마 이 영화는 황혼 로맨스를 애틋하게 다뤄서 조금 희석 시켰다는 것 정도."
"이소현","3.0","1","0","식상하다. 뻔하다 생각하면서 봤지만 눈물이 줄줄..."
"안건","4.5","1","0","뭐 살면서 꼭 그렇게 항상 룰을 지켜야만하겠어"
"Hye Jin Yoon","4.5","1","0","있는 그대로 순수하게 사랑했던 17살이기에.
.
눈물로 얼룩진 얼굴 닦고 헝클어진 머리 정돈해야하는 것보단, 있는 그대로 엉망인 자신을 사랑해주니 돌아간거겠지
.
그래도 이기적인 둘만의 러브스토리라 만점은 못 줘"
"유가영","4.5","1","0","너무 이쁜 사랑 ㅠㅠ 너무 잘봤다.."
"xzx","3.5","1","0","all of me, all of you"
"스콘","5.0","1","0","라이언 고슬링이 빵모자를 벗을 때마다 설렜다."
"쥬다","5.0","1","0","로맨스의 클래식"
"정연조","5.0","1","0","멋있는 목수구먼 젊은이"
"형재영","4.0","1","0","주인공들의 도덕성을 감안한다면
이 영화에 대한 높은 평가의 근원은 
첫사랑의 저릿함이 아닌
끝사랑의 완전함일 것이다."
"저장용계정","3.5","1","0","이상주의자가 보면 예쁜 인생 로맨스영화, 현실주의자가 보면 기가 막히고 코가 막히는 영화."
"김로와","3.0","1","0","클리셰"
"징니","5.0","1","0","처음에 시작할때는 조금 급전개고 여주 남주 둘다 다혈질이여서 띠용 했는데 진짜 계속 눈물이 쪼르륽 쪼르륵 흘렀따ㅏ.. 너무 슬퍼 마지막도 너무 슬프고 좋게끝났다 후.."
"주희","4.0","1","0","She's my home."
"유현식","4.0","1","0","가슴 아프다. 설렌다."
"summer","4.5","1","0","진실한 사랑을 했으니 씁쓸한 건 없어.
미래에 먼발치에서 서로의 새 인생을 보면,
기쁨으로 미소 짓겠지."
"JinShil Oh","4.5","1","0","좋다"
"권동욱","5.0","1","0","자신이 사랑하는 한 여자만을 위해 살아온 남자의 이야기"
"최행배","4.0","1","0","처음 보고 노아같은 남자가 어딧노
두번 보고 앨리같은 여자가 어딧노"
"김당근","4.0","1","0","숭고하게까지 느껴지는 사랑. 분명 불에 타서 다 없어져 버릴 줄 알았다. 
마지막 순간까지 불씨를 내보이며 남아있는 흔적들이 지나치게 낭만적이고 서정적인 영화."
"류인상","5.0","1","0","이제 한번봄... 5번째보고 평 남길게요"
"hibemin","5.0","1","0","내 사랑이 저기 있는데 어떻게 떠나?"
"영화","5.0","1","0","내가 꿈꾸는 사랑의 정석"
"Tia","5.0","1","0","사랑하려면 역시 용기...ㄸㄹ"
"Swim59","0.5","1","0","따분함과 지루함의 콜라보레이션
끝까지 다 본 내 자신에게 박수"
"김태환","4.5","1","0","레이첼 맥아담스는 과즙미가 터지다 못해 지구에 존재하는 상큼한과일들 그 이상의 상큼한 존재로 보임"
"굿모닝","3.5","1","0","남자의 사랑"
"Han Suyun","3.0","1","0","왜 인생영화라고 하는걸까"
"박기덕","5.0","1","0","사람이 사람을 진심으로 사랑한다는게 무엇인지 정확히 보여주는 영화. 변함없는 그 사랑은 정말 아름답고 바람직하다."
"이한울","3.5","1","0","사랑하고 이별하고 기뻐하고 슬퍼도 했던 두 남녀의 젊은 날은 찬란했다 하지만 황혼은 그 모든 것을 태워버렸다 인생은 참 덧없는 것이다"
"빵글","4.0","1","0","감동적이에요"
"Rosemary","4.5","1","0","첫 사랑은 위대하다"
"김철웅","5.0","1","0","라이언 고슬링
라라랜드에선 현실같은 영화를
노트북에선 영화같은 현실을"
"이나","4.5","1","0","2018.05.05. w.♥
4번째인가?"
"헬렌","4.5","1","0","사랑을 해본 사람이라면 이 영화가 나처럼 너무 아름다워 보일 것 같다.
한명쯤 연애하며 마음에 남은 사람이 있다면 이 영화를 보게 됐을 때 마음이 찡할것 같다..
너무 아름답고 예뻐서 5번을 넘게 봤고 오래 본 영화.
내 인생 영화 중 하나다. 꼭 보세용~!!"
"곽정민","5.0","1","0","더 말해 뭐하나요. 인생영화에요"
"JC머피","3.5","1","0","맹목적이고 정열적인 사랑은 나를 일깨우고, 결국 기적 같은 운명을 만들어낼 수 있다고 아름답게 묘사한 이야기.
캐릭터의 허점들을 레이첼 맥아담스의 사랑스러운 매력으로 말끔히 덮어버린다."
"만년산마녀","3.0","1","0","너무 큰 기대는
도리어 지루함을 준다"
"정성업","4.5","1","0","명작 .."
"moa","3.0","1","0","모두가 꿈꾸는 영화 같은 사랑이 아닌 영화"
"이나경","4.0","1","0","사랑할 때 그들의 반짝반짝 빛나는 모습에 감탄했다
내면은 아무도 모르기에 우리는 함부로 말할 수 없다
존나 부러운 사랑이다"
"vive_","5.0","1","0","사랑이 별거냐라고 물으면, 물음이 생길 때
의자에 앉혀놓고 보여주고, 봐야하는 영화
사랑은 마법이다. 적어도 노아와 엘리에게는"
"온난한 고요","3.5","1","0","레이첼이 아니었어도 사람들이 좋아했을까?"
"정규원","4.5","1","0","라라랜드보고 재개봉한 고슬링형 영화보러...
레이첼까지 최고의 조합+아련함"
"Jenna","5.0","1","0","기내 상영으로 봤는데도 여운이.."
"이좐","5.0","1","0","멜로영화의 최고봉. 극장에서 느즈막하게 재개봉한걸 보았던게 행운이었다. 영화의 반전을 알아채지 못한 나의 눈치없음도 다행이었다."
"시계토끼","2.5","1","0","내가 하면 로맨스
.
앨리의 시점에서 영화를  본다면 충분히 가슴 아린 사랑 이야기다
첫사랑과 생이별도 모자라 다른사람과 약혼까지 한 뒤 첫사랑을 다시 만나게 되다니
이건 운명이라고 생각된다
해피엔딩으로 막은 내리지만 철저하게 앨리와 노아만의 해피엔딩
.
금이야 옥이야 귀하게 자란 딸이 막일꾼과 결혼 하는것을 지켜봐야 하는 부모님
약혼까지 끝냈는데 갑자기 날벼락 맞은 론
몸이 외로워 찾아와놓고 전여친과 재결합해버린 노아를 보내준 마사
사실 둘의 사랑이 처음부터 순탄하게 이루어졌으면 누구도 상처받지 않았을테지만 부모의 잘못된 판단으로 일이 꼬인다
.
하지만 세상 어떤 부모가 미래없는 남자와 깊이 사랑하고 있는 딸을 말리지 않을까
시대적 배경상 남성이 가정을 부양한다는 인식이 있었으니 당연한 걱정이다
버려진 저택을 비싼값에 팔 수 있을 정도로 리모델링 능력이 있는 목수라면 차라리 그 능력을 키워 그쪽으로 나가지 그랬나 싶다
자기는 버려졌고 나는 막일꾼이고 쟤는 공주야 하는 자기연민에 빠져서 폐인처럼 사는 노아가 굉장히 별로였다
.
앨리는 그저 천방지축 공주님이기 이전에 책임감이 하나도 없다
편지가 안오면 내가 편지를 쓰면 되지 않을까?
누구보다 본인 부모님 때문에 관계가 파탄난걸 알고있었으면서 본인이 상처받은 노아를 위해 한 일은 뭐지
그래서 새사랑 론을 만났으면 적어도 그에게 최선을 다하던지
어차피 결혼 전이니 다시 노아와 만나고 싶으면 론에게 사실대로 말하고 파혼하던지 뭐 하나를 제대로 선택하는법이 없다
결국은 누군가 몰아부치고 입앞까지 떠먹여줘야지 선택을 내린다
.
레이첼 맥아담스의 혼신의 연기 덕분에 앨리가 사랑스럽다는건 그 누구도 부정할 수 없다
항상 예쁘게 꾸미고 와서는 세상 밝게 미소를 짓는다
그래서 등장하는 모든이들이 앨리를 위해서 움직이는게 이질감이 없어보인다
하지만 까놓고 보면 그저 불륜이고 여러사람을 상처준 철없는 행동이라고 본다
.
사실 완벽한 남자인 론을 두고 덥수룩한 폐인꼴을 하고있는 노아에게 왜 다시 끌렸는지 도무지 이해가 안된다..
앨리의 행동에 정당성을 부여하기위해 론이 나쁜남자였던것도 아니고 그저 순정적인 남자였는데
어떻게 그시절 행복을 떠올리며 다시 사랑이 불탈 수 있는지 감정이입이 잘 되질 않는다
남여가 바껴서 폐인이 된 앨리를 예쁜 부잣집 여자와 연애 결혼을 앞둔 노아가 다시 끌렸을까?"
"또잉","4.0","1","0","너의 기억 안에서 내가 사라져도 널 내가 기억하고 있어"
"퍄퍄","5.0","1","0","몇 번을 봐도 눈물이 난다"
"최감자","3.5","1","0","‘사랑’하는 것, ‘사랑’ 할 줄 아는 것, ‘사랑’을 한다는 것, ‘사랑’해야 아는 것, ‘사랑’해야 느끼는 것,
‘사랑’이라는 것"
"kamzi","3.0","1","0","왜 노트북 노트북 하는지 알겠더라는..
아름다운 사랑, 최고의 사랑중 하나"
"김진영","4.5","1","0","해피엔딩이라 좋고 사랑이 대단하단걸 느끼지만
내가 앨리라면 과연 옛사랑한테 다시 돌아갈까? 굳이?
장면 하나하나가 예뻤당"
"ㅁㅎㅎㅎ","3.0","1","0","사랑스럽고,아름답다.
.
.
.
그럼에도 어쩔 수 없는 것이 사랑아닐까"
"unfilm","4.0","1","0","내가 나일 수 있게 해주는 사람, 그런 사랑."
"Kubriks","4.0","1","0","거 참 로맨틱한 어르신일세"
"김민재","4.5","1","0","레이첼 멕아담스의 리즈는 어바웃 타임이 아닌
""노트북""이다
첫사랑의 설레임을 잘 표현한 영화"
"둉미니","3.0","1","0","영화 다 봤다 에휴"
"닉네임입니다","3.5","1","0","어딘가에는 있겠지 또는 있었겠지 이영화를 보며 생각한다.
불륜을 다 떠나서 이 영화처럼 사랑을 할 수 있다면
....
레이첼은 이번 영화에서도 사랑스러웠고
고슬링은 매력있게 나왔다."
"차승현","5.0","1","0","후..."
"엉터리","4.0","1","0","사랑은 기억이다"
"CharlesLee","5.0","1","1","누구에게나 올 수 있는 순간
나는 저들 중 누구일까"
"신웅비","4.5","1","0","감동적이구.. 보고 울었습니다..ㅜ"
"이가현","3.5","1","0","클리셰 명작은 지루해도 망하지 않음을"
"Freojang","4.5","1","0","소년미 풍기는 라이언 고슬링과 과즙미 터지는 레이첼 맥아덤스를 보고싶다면"
"정성운","5.0","1","0","내가좋아하는 레이챌맥아담스와 라이언고슬링의 만남은 과연 최고의 영화를 만드는데 충분한것같다. 이영화를보고 첫사랑을 다시한번 생각하게된다. 로맨스 영화의 정점이 아닐까?"
"이경모","3.5","1","0","론과 앨리, 노아와 미망인이 이어졌다면 덜 드라마틱하지만 좀 더 현실적인 이야기의 영화가 됬을 것이다. 하지만 이 영화는 첫사랑인 노아와 앨리가 다시 만난 '나에겐 일어나지 않을' 아름다운 이야기."
"성수민","3.5","1","0","아련한 라이언 고슬링과 사랑스러운 레이첼 맥아담스."
"이진규","3.0","1","1","약혼남 불쌍해"
"원선정","4.5","1","0","사랑을 남김없이 퍼부어 주어, 서로가 사랑한다면 어떠한 시련과 고난은 사랑을 절대 이길 수 없다는 것을 떠올리게 한다."
"miroong","4.0","1","0","10년만에 다시본 영화"
"Hyo-Jong Choi","3.0","1","0","그저 그런 아름다운 이야기."
"김선경","2.0","1","0","앨리가 아닌 레이첼 맥아담스님이 너무나 사랑스러웠다. 여주 배우님에 대한 매력으로만 주는 별점. 앨리의 약혼자랑 서로 자위도구나 다름없었던 노아 옆집 미망민이 불쌍해서 못 봐주겠다."
"유미랑","5.0","1","0","로맨스영화 끝판왕"
"끼에에에엑","5.0","1","0","저 남자도 너였고 저 여자도 너였고 그 과부랑 군인도 다 너였어"
"이유진","5.0","1","0","아... 봐도 봐도 질리지 않는다"
"하길수","5.0","1","0","나는 평생 레이첼맥아담스만 보고 살겠습니다"
"문갑주","2.0","1","0","좋든 나쁘든 진실된 사랑"
"JAY","2.5","1","0","영화라서 가능한 스토리. 약혼남은 어떻게 됐을까."
"요호이","5.0","1","0","별 내용 없는것 같지만 아름답고 
최고의 흡입력을 보여준다"
"무께","3.5","1","0","네가 원하는게 뭐야?"
"Do.B","0.5","1","0","아름다운 첫사랑이야기는 개뿔 
철없고 이기적인 자들의 불륜이야기겠지
보는내내 지랄똥싸고있네 이 소리밖에 안나옴"
"임석환","4.0","1","0","정말 꿀잼"
"박주용","4.5","1","0","평생 네 옆에 내가 있을게"
"ㅇㅅㅇ","3.5","1","0","내가 원하는 것은 이렇게 모든 조건이 무시되고, 서로가 아니면 안되는 '환상 속의' 사랑이 아니다. 요즘엔 그냥 내 일상을 살면서 서로가 서로의 힘이 되어 주는 그런 연애를 원하게 된다. 내가 그게 가능한 인간인지는 또 생각해봐야 할 문제겠지만."
"감성혁명","4.0","1","0","17살에 만난 첫사랑, '앨리(레이첼 맥아담스)'와의
평생에 걸친 사랑,
문득 찾아와 영원히 머무는 사랑...
그에 더해 사랑으로 성장하고 성숙하는 남자...
한 남자가 사랑하는 여자에게 줄 수 있는 모든 것...
17살의 노아를 연기하는 24살의 라이언을
흐뭇한 추억으로 감상할 수 있는 작품. 
한 여인을 바라보는 그토록 애틋한 눈빛,
치매에 걸린 아내에게 기억을 읽어주는
그토록 절절한 마음...
많은 사람들의 사랑 영화 목록에서
이 영화가 빠질 수 없는 이유의 8할은
라이언 고슬링의 몫...
'내 영혼을 바쳐 한 여자를 사랑했으니
내 인생은 성공한 인생입니다...'"
"이동연","4.5","1","0","이걸 읽어준다면 당신에게 돌아갈게."
"kyun","3.5","1","0","참 '영화'같은 영화
인연이라면 언제 어디서든 다시 만나게 된다는 영화같은 스토리임에도 굉장히 좋았다.
비현실적이지만, 현실에서도 이런 사랑이 가능할까?"
"임현빈","3.0","1","0","닳아져가는 삶에게 필요한건 공책 안에 담긴 한 편의 이야기와 그 이야기를 이야기해줄 사람, 그리고 사랑."
"뉴뉴","5.0","1","0","라이언고슬링 좋아하지만 너무 안땡겨서 안보다 봣는데 폭풍눈물 ㅠㅠㅠㅠ 이런 사랑이잇을까"
"김 소연","5.0","1","0","영화같은영화"
"롬💚","4.0","1","0","가슴 따뜻해지는 영화 내가 좋아하는 로코"
"1Day 1Film","3.0","1","0","명작이라하여
보기 시작했지만 결말도 알겠다
끝까지 다보지못하겠다는.."
"고승민","5.0","1","0","내인생 최애 로맨스 영화"
"세영","5.0","1","0","우린 원래 예전에도 이렇게 싸웠잖아!"
"영양만점","4.5","1","0","사랑이 뭔지도 몰랐을 어린 나이에 저 남자주인공 같은 사람이 되어야겠다고 다짐하게 만든 영화"
"Gigi","3.5","1","0","약혼남,..,, 잘생기고 돈 많고 능력있고 스윗하기까지 했는데,,,......"
"서희정","4.0","1","0","믿음"
"JJo","5.0","1","0","인생영화"
"이정민","4.5","1","0","사랑이 깊은 우정을 포괄한다면,
나의 핵심을 알고, 나의 본질을 안다는 것.
그림을 그리는 엘리의 모습
시를 읊는 노아의 모습이 가장 아름다웠다"
"회현","3.5","1","0","불편한 장면들이 영화를 망치는구나"
"이프로덕후","3.5","1","0","배신하지않고 마지막까지 사랑에충실한영화 여자주인공이 너무 부러웠다"
"yeeeezi","5.0","1","0","네가 새면, 나도 새야"
