"작성자","평점","좋아요","댓글수","리뷰"
"-채여니 영화평-","3.0","81","0","....? 눈물 콧물 쏙 빼는 로맨스 영화로 유명해서 그렇게 기대를 했건만 너무 당황스럽네.. 당최 어디서 울어야 할지도 모르겠고 어디가 그렇게 로맨틱했는지도 모르겠어.. 뭐가 순수하고 예쁜 사랑이라는거지?

너무 이성적인 판단을 하고 봐서 그런가. 애초에 노아가 관람차에 매달려서 거의 협박하듯 고백한 것부터 좀 그랬는데 둘이 싸울 때마다 서로 너무 쉽게 흥분하고 폭력적인 것 같아서 너무 불안정한 관계다 싶었고, 론도 불쌍하고 마사도 안타까웠음..

다만 둘이 행복하게 썸 타면서 꽁냥꽁냥 하던 씬들의 상큼하고 풋풋한 분위기는 마음에 들었다. 정말 나도 모르게 미친 듯이 불타오르는 패기 있던 젊은 날의 사랑. 시간 가는 줄 모른 채 그저 하루하루 매일 같이 옆에 있고 싶던 사람.
어릴 적 그 둘의 그림만 좋았다."
"HyeJjin Seo","5.0","75","0","격정적인 첫사랑을 떠오르게하는 매력적인 향기가 물씬 풍기는 영화. 누구나 이 영화를 보면 사랑이 어떻게 변하니란 말을 내뱉으면서도 가슴속엔 영원한 사랑을 꿈꾸게 한다."
"허지은","0.5","74","1","지루하고 고루했다. 당시 상영내내 몸을 이리저리 뒤틀었다. 매력없는 남주와 감정이입이 너무 힘들었던 스토리. 정말 잘우는 나도 이영화는 눈물한방울 나오지 않더라."
"Mashimaro","3.0","73","0","행복과 사랑이라는 주제로는 잘 만들었다 생각되긴 하는데
노트북의 마지막 두세페이지 만큼은 이해하기가 참 난해하다 ㅜㅜ
 
 
 
1st Mov. of #Love"
"STONE","2.0","68","0","충분히 낭만적인 감정에 굳이 비교 대상을 붙여가며 억지로 경주마 시합을 벌이는 듯하다."
"뭅먼트","3.0","68","2","그녀에게는 그가 도화지를 적시는 붓이었고, 그에게는 그녀가 강을 훑는 나룻배의 노였다."
"황지","4.0","62","3","“ 우리의 사랑만 있으면 무엇이든 할수있어. “"
"류초이","5.0","62","0","처음본날 펑펑울고.
그다음에볼때도 펑펑울고.
이젠 장면하나하나 대사까지 기억이날정도로 많이본영화.
보고나면 가슴이 먹먹해지고 여운이남는 영화."
"서영욱","3.0","60","0","""붙잡을 걸 그랬나봐 내가 더 사랑한다 말할 걸 가진게 너무 없어 줄게 너무 없어 안되는 줄 알았어"""
"Camellia","2.5","59","1","수리 계획을 늘어놓다가 난 안 끼워주냐는 앨리를 조용히 바라보는 노아. 파란 덧문, 강이 보이는 화실, 베란다 티타임. 해맑은 연인의 바람을 차분히 메모하는 노아의 눈. 너, 평소처럼 장난으로 넘길 수가 없구나 지금. 그 하얀 집을 이미 짓기 시작했구나."
"이현동","4.0","59","0","때로는 한편의 수채화처럼, 때로는 서정적인 시처럼,  사랑이란 두글자가 노트북안에 빼곡히 쓰여있다."
"에피","4.0","53","0","비현실적인 로맨스를 눈물 훔치면서까지 보는 이유."
