"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2024","2,623.81","2,606.13","2,627.85","2,602.50","","0.71%"
"12/30/2024","2,605.39","2,620.30","2,628.61","2,595.90","","-0.56%"
"12/27/2024","2,620.00","2,634.59","2,638.74","2,611.30","","-0.55%"
"12/26/2024","2,634.43","2,619.79","2,639.40","2,614.13","","0.81%"
"12/24/2024","2,613.20","2,613.07","2,621.83","2,609.92","","0.01%"
"12/23/2024","2,612.93","2,622.24","2,633.60","2,607.97","","-0.30%"
"12/20/2024","2,620.77","2,593.97","2,631.92","2,589.56","","1.04%"
"12/19/2024","2,593.85","2,587.87","2,626.73","2,583.49","","0.24%"
"12/18/2024","2,587.63","2,645.68","2,652.08","2,586.52","","-2.19%"
"12/17/2024","2,645.54","2,652.63","2,659.22","2,633.00","","-0.26%"
"12/16/2024","2,652.50","2,649.10","2,664.83","2,643.34","","0.16%"
"12/13/2024","2,648.39","2,681.47","2,693.02","2,645.90","","-1.23%"
"12/12/2024","2,681.33","2,718.07","2,726.31","2,675.04","","-1.35%"
"12/11/2024","2,717.93","2,693.76","2,721.35","2,674.58","","0.90%"
"12/10/2024","2,693.64","2,658.82","2,695.79","2,657.95","","1.31%"
"12/09/2024","2,658.78","2,635.52","2,676.52","2,627.47","","0.98%"
"12/06/2024","2,632.91","2,632.18","2,645.69","2,613.57","","0.03%"
"12/05/2024","2,632.05","2,649.92","2,655.62","2,623.55","","-0.67%"
"12/04/2024","2,649.79","2,643.57","2,657.36","2,632.50","","0.24%"
"12/03/2024","2,643.44","2,639.05","2,655.71","2,634.12","121.32K","0.17%"
"12/02/2024","2,638.93","2,653.82","2,656.21","2,621.90","","-0.55%"
"11/29/2024","2,653.55","2,641.20","2,666.35","2,634.11","","0.48%"
"11/28/2024","2,640.96","2,635.74","2,650.12","2,620.95","","0.21%"
"11/27/2024","2,635.51","2,632.16","2,658.40","2,627.06","","0.14%"
"11/26/2024","2,631.89","2,625.38","2,642.05","2,605.29","","0.25%"
"11/25/2024","2,625.26","2,715.10","2,721.43","2,615.70","","-3.22%"
"11/22/2024","2,712.55","2,669.84","2,712.91","2,667.38","","1.61%"
"11/21/2024","2,669.69","2,650.19","2,673.86","2,647.95","","0.74%"
"11/20/2024","2,650.05","2,631.80","2,655.50","2,618.70","","0.70%"
"11/19/2024","2,631.68","2,612.29","2,639.69","2,610.25","","0.75%"
"11/18/2024","2,612.20","2,561.59","2,615.17","2,561.59","","1.99%"
"11/15/2024","2,561.24","2,566.54","2,576.09","2,554.58","","-0.19%"
"11/14/2024","2,566.19","2,573.91","2,581.61","2,536.91","","-0.29%"
"11/13/2024","2,573.78","2,597.41","2,618.97","2,573.00","","-0.90%"
"11/12/2024","2,597.27","2,620.31","2,627.24","2,589.79","","-0.88%"
"11/11/2024","2,620.20","2,684.81","2,686.51","2,610.62","","-2.37%"
"11/08/2024","2,683.77","2,707.37","2,710.51","2,680.36","","-0.86%"
"11/07/2024","2,706.99","2,659.36","2,710.20","2,643.50","","1.80%"
"11/06/2024","2,659.24","2,743.88","2,749.80","2,652.44","","-3.07%"
"11/05/2024","2,743.59","2,736.58","2,750.06","2,724.75","","0.26%"
"11/04/2024","2,736.39","2,734.10","2,748.30","2,729.78","","0.05%"
"11/01/2024","2,735.16","2,742.50","2,762.29","2,733.20","","-0.32%"
"10/31/2024","2,743.80","2,787.75","2,790.41","2,731.65","","-1.52%"
"10/30/2024","2,786.19","2,775.01","2,790.09","2,770.65","","0.40%"
"10/29/2024","2,775.13","2,743.70","2,775.89","2,739.82","","1.21%"
"10/28/2024","2,741.98","2,734.84","2,746.06","2,724.72","","-0.21%"
"10/25/2024","2,747.69","2,736.10","2,747.97","2,716.97","","0.44%"
"10/24/2024","2,735.70","2,717.99","2,743.38","2,715.72","","0.67%"
"10/23/2024","2,717.54","2,749.52","2,758.53","2,708.79","","-1.12%"
"10/22/2024","2,748.38","2,720.00","2,749.47","2,718.93","","1.06%"
"10/21/2024","2,719.65","2,721.71","2,740.61","2,714.23","","-0.02%"
"10/18/2024","2,720.25","2,692.41","2,722.87","2,691.48","","1.03%"
"10/17/2024","2,692.55","2,674.05","2,696.80","2,673.00","","0.72%"
"10/16/2024","2,673.24","2,663.00","2,685.73","2,658.71","","0.46%"
"10/15/2024","2,660.99","2,651.75","2,669.07","2,638.31","","0.37%"
"10/14/2024","2,651.05","2,657.21","2,666.94","2,643.16","","-0.19%"
"10/11/2024","2,656.00","2,630.80","2,661.55","2,627.65","","1.01%"
"10/10/2024","2,629.48","2,608.14","2,631.63","2,604.15","","0.83%"
"10/09/2024","2,607.77","2,620.19","2,624.65","2,605.18","","-0.54%"
"10/08/2024","2,621.94","2,643.50","2,653.09","2,604.79","","-0.82%"
"10/07/2024","2,643.58","2,651.20","2,659.91","2,637.70","","-0.33%"
"10/04/2024","2,652.25","2,654.39","2,670.15","2,632.00","","-0.14%"
"10/03/2024","2,655.90","2,658.66","2,663.40","2,639.73","","-0.07%"
"10/02/2024","2,657.75","2,661.15","2,663.85","2,641.18","","-0.19%"
"10/01/2024","2,662.82","2,635.41","2,673.20","2,631.98","","1.08%"
"09/30/2024","2,634.49","2,658.30","2,666.11","2,624.78","","-0.88%"
"09/27/2024","2,657.97","2,669.50","2,674.40","2,643.15","","-0.46%"
"09/26/2024","2,670.20","2,657.32","2,685.96","2,654.56","","0.50%"
"09/25/2024","2,656.82","2,655.90","2,670.60","2,649.84","","0.00%"
"09/24/2024","2,656.70","2,628.92","2,664.47","2,622.58","","1.08%"
"09/23/2024","2,628.40","2,621.81","2,635.54","2,613.60","","0.25%"
"09/20/2024","2,621.96","2,587.50","2,625.79","2,584.81","","1.37%"
"09/19/2024","2,586.48","2,559.07","2,594.89","2,551.26","","1.08%"
"09/18/2024","2,558.80","2,571.73","2,600.21","2,546.98","","-0.42%"
"09/17/2024","2,569.52","2,582.46","2,587.01","2,560.84","","-0.51%"
"09/16/2024","2,582.58","2,578.06","2,589.78","2,575.40","","0.24%"
"09/13/2024","2,576.50","2,556.52","2,586.18","2,556.52","","0.69%"
"09/12/2024","2,558.75","2,512.02","2,560.21","2,511.02","","1.88%"
