"날짜","종가","시가","고가","저가","거래량","변동 %"
"2022- 02- 10","2,771.93","2,787.44","2,788.27","2,761.76","509.61M","0.11%"
"2022- 02- 09","2,768.85","2,772.63","2,773.38","2,753.51","539.12M","0.81%"
"2022- 02- 08","2,746.47","2,767.76","2,779.85","2,726.72","560.53M","0.05%"
"2022- 02- 07","2,745.06","2,750.70","2,750.70","2,718.94","417.84M","-0.19%"
"2022- 02- 04","2,750.26","2,714.83","2,751.80","2,712.87","536.15M","1.57%"
"2022- 02- 03","2,707.82","2,706.34","2,735.34","2,702.78","435.71M","1.67%"
"2022- 01- 28","2,663.34","2,617.87","2,668.59","2,591.53","434.19M","1.87%"
"2022- 01- 27","2,614.49","2,709.24","2,722.86","2,614.49","487.73M","-3.50%"
"2022- 01- 26","2,709.24","2,729.75","2,744.14","2,708.10","472.65M","-0.41%"
"2022- 01- 25","2,720.39","2,786.41","2,789.62","2,703.99","639.96M","-2.56%"
"2022- 01- 24","2,792.00","2,823.76","2,828.11","2,780.68","473.99M","-1.49%"
"2022- 01- 21","2,834.29","2,837.49","2,847.95","2,817.11","532.75M","-0.99%"
"2022- 01- 20","2,862.68","2,842.28","2,862.70","2,830.97","395.67M","0.72%"
"2022- 01- 19","2,842.28","2,840.34","2,871.79","2,832.18","463.83M","-0.77%"
"2022- 01- 18","2,864.24","2,898.98","2,902.79","2,857.26","554.04M","-0.89%"
"2022- 01- 17","2,890.10","2,918.55","2,919.67","2,875.98","593.26M","-1.09%"
"2022- 01- 14","2,921.92","2,937.61","2,944.97","2,914.73","532.67M","-1.36%"
"2022- 01- 13","2,962.09","2,979.91","2,982.14","2,958.39","604.87M","-0.35%"
"2022- 01- 12","2,972.48","2,950.78","2,972.58","2,950.31","519.50M","1.54%"
"2022- 01- 11","2,927.38","2,930.93","2,943.57","2,909.82","566.17M","0.02%"
"2022- 01- 10","2,926.72","2,947.37","2,951.12","2,910.90","477.40M","-0.95%"
"2022- 01- 07","2,954.89","2,933.78","2,959.03","2,933.10","546.17M","1.18%"
"2022- 01- 06","2,920.53","2,925.40","2,952.54","2,915.38","786.04M","-1.13%"
"2022- 01- 05","2,953.97","2,984.05","2,986.20","2,936.73","787.35M","-1.18%"
"2022- 01- 04","2,989.24","2,991.97","2,995.25","2,973.08","621.55M","0.02%"
"2022- 01- 03","2,988.77","2,998.32","3,010.77","2,979.42","435.82M","0.37%"
"2021- 12- 30","2,977.65","2,999.75","3,005.36","2,975.74","461.04M","-0.52%"
"2021- 12- 29","2,993.29","3,002.90","3,007.72","2,988.67","545.83M","-0.89%"
"2021- 12- 28","3,020.24","3,006.77","3,020.29","2,991.55","607.05M","0.69%"
"2021- 12- 27","2,999.55","3,013.94","3,017.31","2,999.30","475.36M","-0.43%"
"2021- 12- 24","3,012.43","3,009.48","3,025.77","3,009.48","537.55M","0.48%"
"2021- 12- 23","2,998.17","2,998.02","3,000.70","2,980.91","483.84M","0.46%"
"2021- 12- 22","2,984.48","2,993.50","3,000.79","2,976.65","461.76M","0.32%"
"2021- 12- 21","2,975.03","2,981.67","2,984.56","2,955.90","410.98M","0.41%"
"2021- 12- 20","2,963.00","3,001.33","3,001.33","2,962.07","377.58M","-1.81%"
"2021- 12- 17","3,017.73","2,985.20","3,017.73","2,984.19","451.82M","0.38%"
"2021- 12- 16","3,006.41","3,013.26","3,018.20","2,989.63","402.82M","0.57%"
"2021- 12- 15","2,989.39","2,979.83","2,992.30","2,973.00","432.87M","0.05%"
"2021- 12- 14","2,987.95","2,983.95","3,001.70","2,976.16","581.57M","-0.46%"
"2021- 12- 13","3,001.66","3,019.67","3,043.83","3,000.51","375.83M","-0.28%"
"2021- 12- 10","3,010.23","3,008.70","3,017.64","2,998.29","451.60M","-0.64%"
"2021- 12- 09","3,029.57","3,007.00","3,029.57","3,001.55","513.44M","0.93%"
"2021- 12- 08","3,001.80","3,017.93","3,036.13","2,995.34","488.25M","0.34%"
"2021- 12- 07","2,991.72","2,973.84","2,992.31","2,960.90","541.37M","0.62%"
"2021- 12- 06","2,973.25","2,954.82","2,983.50","2,932.49","479.91M","0.17%"
"2021- 12- 03","2,968.33","2,935.93","2,975.44","2,927.55","486.75M","0.78%"
"2021- 12- 02","2,945.27","2,874.64","2,945.27","2,874.64","534.46M","1.57%"
"2021- 12- 01","2,899.72","2,860.12","2,905.74","2,837.03","563.93M","2.14%"
"2021- 11- 30","2,839.01","2,932.71","2,942.93","2,822.73","983.56M","-2.42%"
"2021- 11- 29","2,909.32","2,906.15","2,930.22","2,890.78","844.40M","-0.92%"
"2021- 11- 26","2,936.44","2,973.04","2,985.77","2,930.31","595.60M","-1.47%"
"2021- 11- 25","2,980.27","2,996.74","2,996.74","2,973.24","595.97M","-0.47%"
"2021- 11- 24","2,994.29","3,006.34","3,017.90","2,981.02","556.64M","-0.10%"
"2021- 11- 23","2,997.33","3,013.16","3,016.36","2,992.14","524.23M","-0.53%"
"2021- 11- 22","3,013.25","2,983.38","3,018.01","2,980.73","530.96M","1.42%"
"2021- 11- 19","2,971.02","2,951.06","2,974.64","2,948.07","657.09M","0.80%"
"2021- 11- 18","2,947.38","2,959.26","2,964.48","2,937.53","541.65M","-0.51%"
"2021- 11- 17","2,962.42","3,004.02","3,004.67","2,957.70","541.49M","-1.16%"
"2021- 11- 16","2,997.21","2,995.68","3,011.88","2,985.34","579.65M","-0.08%"
"2021- 11- 15","2,999.52","2,989.68","3,003.71","2,979.96","639.40M","1.03%"
"2021- 11- 12","2,968.80","2,945.95","2,973.84","2,938.27","665.73M","1.50%"
"2021- 11- 11","2,924.92","2,911.41","2,925.19","2,903.72","572.86M","-0.18%"
"2021- 11- 10","2,930.17","2,947.46","2,958.61","2,924.36","570.93M","-1.09%"
"2021- 11- 09","2,962.46","2,958.15","2,987.28","2,949.17","708.77M","0.08%"
"2021- 11- 08","2,960.20","2,965.36","2,968.18","2,930.90","560.20M","-0.31%"
"2021- 11- 05","2,969.27","3,003.53","3,003.53","2,953.96","688.03M","-0.47%"
"2021- 11- 04","2,983.22","3,000.92","3,011.56","2,978.07","772.02M","0.25%"
"2021- 11- 03","2,975.71","3,020.36","3,020.87","2,969.01","658.65M","-1.25%"
