,202001월,202002월,202003월,202004월,202005월,202006월,202007월,202008월,202009월,202010월,202011월,202012월,202101월,202102월,202103월,202104월,202105월,202106월,202107월,202108월,202109월,202110월,202111월,202112월,202201월,202202월,202203월,202204월,202205월,202206월,202207월,202208월,202209월,202210월,202211월,202212월,202301월,202302월,202303월,202304월,202305월,202306월,202307월,202308월,202309월,202310월,202311월,202312월,202401월,202402월,202403월,202404월,202405월,202406월,202407월,202408월,202409월,202410월,202411월,202412월
소비자물가,1.2,0.9,0.8,0.0,-0.2,0.2,0.4,0.8,0.9,0.1,0.6,0.6,0.9,1.4,1.9,2.5,2.6,2.3,2.6,2.6,2.4,3.2,3.8,3.7,3.8,3.8,4.2,4.8,5.3,6.0,6.3,5.7,5.5,5.6,5.0,5.0,5.0,4.7,4.2,3.7,3.4,2.7,2.4,3.4,3.7,3.8,3.3,3.2,2.8,3.1,3.1,2.9,2.7,2.4,2.6,2.0,1.6,1.3,1.5,1.9
- 농축수산물,1.3,-0.7,3.3,1.0,3.6,6.1,8.8,12.3,12.8,12.5,10.5,8.9,10.5,16.1,13.3,13.2,11.3,9.5,8.5,5.6,3.1,0.5,7.6,7.8,6.6,1.8,0.7,2.0,4.0,4.7,6.9,6.8,5.9,5.1,0.3,0.4,0.8,0.9,2.8,1.0,0.0,0.6,0.1,3.2,4.4,8.0,7.2,7.7,8.0,11.4,11.7,10.6,8.7,6.5,5.5,2.4,2.3,1.2,1.0,2.6
- 공업제품,2.3,2.2,1.3,-0.5,-1.8,-1.2,-0.5,-0.5,-0.8,-1.1,-1.0,-1.0,-0.8,-0.8,0.5,2.0,2.6,2.2,2.4,2.9,3.0,3.8,5.2,4.7,4.5,5.4,7.0,7.7,8.2,9.3,8.8,6.9,6.6,6.3,5.8,6.0,5.6,4.8,2.8,2.1,1.9,0.3,0.1,2.6,3.4,3.6,2.5,2.1,1.8,2.1,2.2,2.2,2.1,2.1,2.6,1.4,0.3,-0.3,0.6,1.4
- 집세,-0.1,-0.1,0.1,0.0,0.1,0.2,0.2,0.3,0.4,0.5,0.6,0.6,0.7,0.8,1.0,1.1,1.3,1.3,1.4,1.5,1.7,1.7,1.9,2.0,2.1,2.1,2.0,2.0,2.0,1.9,1.9,1.9,1.8,1.7,1.6,1.4,1.3,1.1,0.9,0.8,0.6,0.5,0.3,0.2,0.1,0.0,0.0,-0.1,-0.2,-0.1,0.0,0.0,0.1,0.3,0.4,0.4,0.5,0.5,0.5,0.6
- 공공서비스,-1.6,-1.6,-0.5,-1.6,-1.8,-1.8,-1.8,-1.7,-0.7,-6.0,-1.4,-1.0,0.0,0.1,0.3,0.4,0.5,0.6,0.6,0.5,0.7,6.1,1.2,0.9,1.0,0.9,0.5,0.6,0.7,0.8,0.9,0.9,0.7,0.8,0.8,0.8,0.7,0.8,1.1,0.9,0.8,0.8,1.0,1.5,1.6,2.0,2.1,1.9,2.2,2.0,2.0,2.2,2.2,2.2,1.9,1.4,1.3,0.9,0.9,1.0
- 개인서비스,1.7,1.1,0.5,1.0,1.0,1.1,1.0,1.1,1.2,1.3,1.4,1.5,1.6,1.7,2.2,2.4,2.6,2.5,2.7,2.8,2.7,2.7,3.0,3.4,3.9,4.2,4.3,4.5,5.1,5.8,6.1,6.3,6.3,6.3,6.2,6.0,5.8,5.7,5.7,5.9,5.5,4.8,4.4,4.1,4.1,4.1,4.0,3.9,3.5,3.4,3.1,2.8,2.8,2.7,2.9,3.0,2.9,2.9,2.9,2.9
근원물가,0.7,0.5,0.5,0.3,0.6,0.8,0.7,0.8,0.9,0.2,1.1,1.1,1.2,1.2,1.4,1.6,1.5,1.5,1.8,1.9,2.0,2.8,2.4,2.7,3.0,3.3,3.3,3.6,4.0,4.4,4.5,4.5,4.5,4.7,4.8,4.7,4.8,4.7,4.7,4.5,4.3,4.0,3.8,3.7,3.7,3.5,3.2,3.1,2.6,2.6,2.4,2.3,2.2,2.2,2.2,2.1,2.0,1.8,1.9,1.8
생활물가,1.7,1.2,1.4,0.2,-0.5,0.1,0.3,0.7,1.0,-0.7,0.0,0.0,0.8,1.7,2.1,3.1,3.4,3.0,3.5,3.3,3.1,4.6,5.2,4.6,4.3,4.3,5.1,5.8,6.6,7.3,7.8,6.7,6.3,6.4,5.5,5.7,5.8,5.3,4.3,3.7,3.3,2.5,2.0,3.9,4.4,4.5,3.9,3.7,3.4,3.7,3.8,3.5,3.1,2.8,3.0,2.1,1.5,1.2,1.6,2.2
