"writer","date","comment"
"망충맹구","2024.10.11","영화관에서 꼭 보고 싶었는데 재개봉해서 너무 좋았어요!"
"0NaYa0","2024.10.11","애들이 너무 보고싶어해서 보여줬는데 재미있었데요"
"청룡먹방","2024.10.11","너무 좋은데 어휘력이 개딸려서 뭐라 해야될지 모르겟음 특히 앵글이… 인물의 행동이 아니라 얼굴 중심이고 원테이크 같은 장면이 그 감정선을 너무 잘잡아줌 배우들 연기가 일단 걍 kijul 너무좋음"
"olsm","2024.10.11","실화를 바탕으로 쓴 소설을 영화로 만들었다는데영상 스토리 감정선까지 흠잡을곳이 없을만큼 감동입니다20년이란 시간이 흘렀음에도 여전히 아름답네요"
"승현인덴","2024.10.11","재밌어요! 역시 명장입니다ㅜㅜ"
"럭남","2024.10.11","제목이나 출연 배우들, 제작 비하인드 등 여러가지 알고 있었지만 작품 자체를 진득하게 본 건 처음인데 주변의 많은 사람들이 이 작품을 왜 인생작이라 하는지 느낄 수 있었다"
"er**0526","2024.10.11","인생 영화가 될 거 같아요ㅜ이런 외국 감성 로맨스 좋아요"
"산들바람~*","2024.10.11","사랑에 관한 진심 아름다운 영화예요~
재개봉해서 반가운 마음으로 관람했어요."
"러브MH","2024.10.11","푹빠져서 봣네요.올만에 감성적인 영화봣어요.
재밌어요^^"
"응뚜뚜뚜","2024.10.11","연애하고 싶어지는 영화 ..🥹 명작입니다"
"to**to529","2024.10.11","좋아요좋었어요좋았어요"
"ji**on880","2024.10.11","남자친구랑 봤는데 영화 분위기나 내용들이 전체적으로너무 이쁘고 감동적이였어요"
"da**on1p","2024.10.11","사랑스러운 청춘을 그린 영화"
"행복했던시간..감사합니다","2024.10.11","세상에 저런남자가 있을까..?"
"우리집 지붕에 빛나는 여름","2024.10.11","지고지순한 사랑의 이야기! 가을이 따뜻한 이유!"
"oh**n121","2024.10.11","예전에 봤지만
다시봐도 너무 좋은영화입니다"
"you082","2024.10.11","치매인 아내를 돌보고 함께 죽는군요"
"sy**0zoo","2024.10.11","여전히 명불허전!
제 마음 속 1위 영화 답네요
상영할땐 학생이라서 영화관에서 못봤었는네 너무 좋았습니다🤍"
"Strobo","2024.10.11","정석적인 러브스토리

그렇기에 더욱 좋은거 같네요"
"id**931","2024.10.11","워낙 유명한 영화라 보고싶었는데 이번에 재개봉을 해서 보게 되었습니다. 아름다운 사랑이야기 재밌게 잘 봤습니다."
"리마빈","2024.10.11","통속적인 내용에 판타지도 있으나 잘 만든 영화...
개봉 때 못보고 dvd를 구입했었는데 안보고 이번에 봤다.
순애보를 좋아하나 보다.
어웨이 프롬 허도 생각난다."
"ry**olegend","2024.10.11","정말 멋진 영화 기분 좋아집니다"
"paskran","2024.10.11","CGV!!!! 
여운을 느낄 시간을 좀 주면 안되겠니??? 꼭 그렇게 영화끝나기가 무섭게 불을 켜야만 했니???? ㅠㅠ"
"gj**s1592","2024.10.11","여운 대박..인생 영화가 될 것 같다"
"오새훈처돌이","2024.10.11","큰 화면으로 다시 보니깐 역시 좋다"
"sinsun0606","2024.10.11","노아와 앨리의 순수하고 뜨거운 사랑에 가슴이 뜨거워지네요. 사랑하는 사람과 평생 함께 늙어가고 함께 죽음을 맞이할 수 있다는건 크나큰 축복인듯.."
"지브도리","2024.10.11","장점이든 단점이든 여러모로 클래식한 고전의 느낌이 드는 영화다. 그리고 레이첼 맥아담스의 존재만으로도 시네마 그 자체."
"pa**bora9292","2024.10.11","가나다라마바사아가나다라마바사ㅏㅇ자랴ㅑ캬차하냐자차카타파하아야어여오요우류으라내ㅜ거다어가뮤후"
"덩슬덩슬","2024.10.11","청소년부터 노년까지 서로에 대한 마음을 간직하고 살았다는 것 자체가 대단하게 느껴졌습니다. 연출, 배우 연기 다 좋았지만 중간에 헤어졌다 만나는 과정이 누군가에게는 상처가 된다는 점에서 아름답지만은 않게 느껴지긴 했습니다."
"lAMARI","2024.10.11","THE NOTEBOOK.2024.1010"
"화니꼬양","2024.10.11","역시 내 최애영화..ㅠㅠㅠ"
"pu**ja2002","2024.10.11","이런 사랑을 할수 있다면~더할나위없을듯"
"웅입니다","2024.10.11","한 남자가 한 여자를 사랑할 때 해줄 수 있는 모든 것"
"도동마리","2024.10.11","명작은 시간이지나도 녹슬지않아"
"So쿨하게","2024.10.11","영화처럼 다시 시작하고싶네요. 감동이에요."
"씨집댕댕이","2024.10.11","클래식 그 자체..정말 좋았습니다"
"ㅂ ㄹ ㅎ","2024.10.11","예전에 봤는데도 기억이ㅠ 나이들어 다시보니 더 마음에 와닿고 감동적이였요~ 한사람이라도 영혼을 바쳐 사랑할수 있다면 그 인생이 정말 행복한 삶이 아닐까 하는 생각이 드네요"
"맹동이","2024.10.11","영화관에서 보니 더 좋아요!!"
"lajolla","2024.10.11","보고싶던영화를 이제서야봅니다.
세월이 느껴지는 전개와 연출이였지만 
첫사랑으로시작해 끝사랑으로 마무리 
이렇게 애틋할수있을까.
호수씬은 압권이였어요."
"EUNEUN♡","2024.10.10","오늘부터 이상향은 노아야..지고지순.."
"dr**22","2024.10.10","사랑은 조건없이  하는거라는 것을 다시 한번.."
"ho**mong123","2024.10.10","재개봉 할때마다 다시보게되는 진짜 영화다운 영화. 
가끔 나오는 이런 영화를 볼때마다 대체 최근 영화는 뭔가라는 생각이 듭니다."
"안과장","2024.10.10","저렇게 한 사람을 헌신적으로 사랑하는데 특별하지 않을 리가 있나"
"vimil","2024.10.10","잔잔힌 사랑이야기 
알고보면 불륜비슷한건데 잘 포장된것 
약혼자 론이 가장 불쌍함 
음악이랑 배경이 참 예쁨"
"라이트무비","2024.10.10","같은 곳을 바라보는 단 한 사람만 있다면, 어떤 인생이라도 괜찮지 않을까"
"S M","2024.10.10","인연이란 인내심의 결실이라.."
"영화보는세상","2024.10.10","라이언 고슬링의 젊은리즈 시절 멋지고 잘생김은 두말않고.젊을적 첫사랑의 여성을 말년에 치매까지 돌보며 끝까지 손을놓지 않은 지고지순 순애보적 아름답고 슬픈 감동의 러브 스토리에 아름다운 영상미 세월이 흘러도 변함없는 명작 입니다.~^"
"어메이징건틀렛","2024.10.10","영화 스토리가 실화 기반이기 때문인지 작년 이맘때쯤 재개봉한 <이터널선샤인> 보다 더 감정적으로 보았다.
압구정 아트관의 크기는 작지만 마스킹을 해주고 화면이 밝아서 잔잔한 영화를 보기에 좋았다."
"개드립종결자","2024.10.10","나는 상식적인
보통 사람이다"
"se**cs12","2024.10.10","와 정말 말이필요없음 꼭보세요
인생최고의 영화라할만큼 최고입니다👍"
"양갱머겅","2024.10.10","오랜만에 본 노트북 감상은 많이 달라졌지만 이런 영화 왜 요즘은 안나올까"
"dl**us08","2024.10.10","다시 없을 첫사랑이자 마지막"
"앤디러쉬","2024.10.10","사랑의 로멘스...감동"
"yd**0901","2024.10.10","몇번을 되새겨 봤지만 도저히 이 낡아빠짐을 좋아할 수가 없다"
"ad**2350","2024.10.10","슬프고도 아름다운 인생 여정이 담뿍 담긴 감동적인
영화였음!!"
"러프스","2024.10.10","이런 사랑 하고싶다~!"
"새부처님","2024.10.10","처음 분방한 생활을 하는 가시나와 머시메가 첫눈에 반해 사랑에 빠져버린 
후 서로의 감정을 주체 못하는 정도의 사랑이야기로 비쳐졌지만 
순정을 가진 첫사랑의 굴레를 벗어나지 못하는 인간의 숭고한 사랑을 그린 아름다운 
한편의 서사시를 선물 받았다.
함께 떠날 수만 있다면 얼마나 행복할"
"yi**lme","2024.10.10","사랑은 이렇게~
아름다운 영화~♡
감동적인 영화~♡♡♡♡♡"
"착한사랑!","2024.10.10","사랑의 순간은 영원하진않지만 이 영화는 오랫동안 기억에 남는 결말부분이라 아름답게 기억이 나네요 이전에 2번봤고 큰 화면으로 3번째 만나니 감동이...

역시 좋았네요 노트북 포스터는 없었는데 하나생겨 더 좋네요👍"
"85**kek","2024.10.10","전체적으로 아름다운 영화.그런데 개인적으로는 앨리를 다시 만났을 때 노아의 행동이 좀 이해가 안감"
"자연스럽게","2024.10.10","감동적인 인생영화를 다시 볼 수 있어서 너~무 좋았습니다"
"mi**60924","2024.10.10","미친영화입니다 진짜!!"
"rotas","2024.10.10","레이첼 맥아담스가 너무 사랑스러워요ㅎㅎ"
"박나방","2024.10.10","라이언 고슬링과 레이첼 맥아담스 너무 잘생기고 예뻐요"
"eh**ang","2024.10.10","365장의 편지, 그리고 그 들의 사랑!
유튜브로 봤었는데   영화로 다시 보길 잘했어요"
"초코무스♡","2024.10.10","처음엔 첫사랑의 설렘이 가득했는데 마지막엔 끝사랑의 슬픔이 가득하다"
"Daehyun312","2024.10.10","정말 기억에 남습니다 ㅠㅠ"
"ep**sj","2024.10.10","정말 재미있게 봤습니다"
"du**a00","2024.10.10","이야기로 전하는 사랑의 힘"
"do**ungmom","2024.10.10","넘넘 감동적 이었어요~~~^^"
"kh**81114","2024.10.10","흠... 이게 맞나 싶네요"
"CGV VVVVVVIP","2024.10.10","에로틱한 장면 빈도가 많아서 영화의 깊이가 떨어짐.다소 재미도가 떨어짐."
"ha**hae0418","2024.10.10","생각보다 너무 슬펐음 근데 명작인 이유를 알겠더라"
"0o**ou0","2024.10.10","인생 영화는 다시 봐도 재밌다...."
"mo**echeol","2024.10.10","첫사랑의  강렬함이 느껴지네요"
"상쾌함이가득","2024.10.10","첫사랑의 감정 ..그 사랑의 감정이 인생 자체가 된다는 것...행복이겠죠"
"ph**504","2024.10.10","노을진 강가에서 노를저어 가는 모습
잊혀지지 않습니다
새가되어 날아갑니다 
ㅡ명대사 
ㅡ난 비록 죽으면 쉽게 잊혀질 평범한 사람일지라도,
영혼을 바쳐 평생 한 여자를 사랑했으니
내 인생은 성공한 인생입니다
BTS 지민이 인생영화라고 말했었죠~
그외 연예인들 몇분들도 그렇게 말했대요"
"13**kmy","2024.10.10","요즘은 이런 따뜻하고 로맨스 가득한 영화가 별로 없는 것 같아요.
개봉한게 벌써 20년 전이라니..
하루하루 즐겁게 살아야겠어요!!"
"Daisy Buchanan","2024.10.10","신파와 클리셰 클래식이 되다."
"lm**490","2024.10.10","이계절에 이나이에 보기 좋아요..화면이 아름답고 내용도 전형적인 로맨스~향수를 부르는 음악입니다.."
"Harry986","2024.10.10","잘 보았습니다 ~^~^~"
"p6**k777","2024.10.10","오래전에 본 영화인데 감동적이었다 이런사랑 있을까요!"
"kj**22","2024.10.10","다시 봐도 명작! 👍 이런 사랑 꿈꿔요"
"재키여사","2024.10.10","나두 첫사랑 ~~보고싶다~~
잘사냐~~~ㅜㅜ영화 너무 좋았네요. 눈물 나며.봤네요"
"eu**i7504","2024.10.10","배우 연기도 좋았고 스토리도 감동적이네요"
"Cool525","2024.10.10","'요즘의 Notebook을 이용한 on-line 만남과 사랑에 대한 영화인가?'라는 예상과 완전히 다른 사랑의 영화.
시작초반부터 BGM으로 흐르던 음악이 기분을 감성적으로 바꿔놓더니, 영화속 스토리도 정말 감성적이며 아름다웠다.
이가을과 너무 잘 어울리는 아름다운 영화~"
"우대대대 명부니","2024.10.10","배우, 스토리, 연출 다 너무 좋다ㅠ 영화는 진짜 옛날 영화들이 레전드이긴 해"
"so**yeeun06","2024.10.10","‘영화 같은 사랑’의 정석을 보여준 영화
그리고 앨리가 넘 이뻤다😻"
"eva777","2024.10.10","너무너무 좋앗어요. 
익히 명성은 알앗지만 직접보니 너무너무 감동이네요. 요즘엔 ㄴ 이런내용의 영화가 잘 안나오니까요  잘봣습니다"
"북구청역","2024.10.10","풋풋한 미국식의 사랑 얘기 ~~~"
"사오기","2024.10.10","애절한사랑이야기.오랜만에좋은영화ㅗ내요"
"날봐요귀순","2024.10.10","너무 재밌어요~ 감동도 있고. 추천합니다"
"au**ns0965","2024.10.10","20대초반에 봤을땐  앨리와 노아의 사랑이 참 순수하고 아름다워보였는데
30대에보니 왜 론이 불쌍하단 생각밖에 안드는지"
"je**glkim","2024.10.10","감동이 있습니다 재미있게 봤습니다"
"어서연","2024.10.10","20주년이나 되었다니… 진짜 옛날영화인데 이렇게나 명작이야ㅜㅠㅠ 리즈시절 너무 예쁘고 잘생김.."
"a0**90695874","2024.10.10","실로 오랜 만에 순수한 사랑을 봤어요..."
"ny**122","2024.10.10","준우랑 본 첫 영화 팝콘이 설렜다"
"dl**n707","2024.10.10","이런 명작영화 재개봉을 너무 작게 해서 아쉽네요"
"mike02","2024.10.10","지나치게 단순한 스토리 하지만 레이첼 맥아담스와 라이언 고슬링의 매력에 빠져든다"
"cr**1795","2024.10.10","남주는 여주를 보고 첫눈에 반하는데
진짜 사랑하면 없던 용기도 생기는 걸까?
후회없는 사랑을 했다는 남주
정말 아름다운 사랑임에는
틀림없지만 여주의 갈팡질팡 하는모습
좀 흔들리지마"
"jj**226","2024.10.10","오랜만에 봐도 너무 좋네요
간만에 영화보면서 눈물 콧물~~"
"jw**947","2024.10.10","멋진 풍경 멋진 사랑 멋진 사람들의 이야기.  역시 사랑은 아름답고 아픕니다.  이렇게 살아야 하는 세상인데 온통 쌈질이나 하고 있으니 세상 참!!"
"가으리","2024.10.10","여기가 집이야.
네 엄마가 내 집이야."
"파도one","2024.10.10","정말 아름다운 영화를 오랫만에 보았네요. 행복했습니다~~~^^"
"팔색조0712","2024.10.10","재미있고 흥미롭게 봤어요..감명깊었네요..
이런사랑을 하고싶네요.."
"lr**262","2024.10.10","주인공은 잘 산 게 맞다 낭만적이라며 그의 삶을 꿈꾸는 이들이 있으니까 나처럼 🤤"
"sy**040","2024.10.10","너무 너무 감동적이었어요
영화를 다보구 나왔는데도 아직도 여운이 너무나 남아요
상영 끝나기전에 다시 한번 봐야겠어요"
"me**cchiato","2024.10.10","It was a nice movie. I couldn‘t remember if I had watched it before or not, but I enjoyed it"
"jh**e24","2024.10.10","여름은 끝났고 집에 갈 시간이야…
잘자, 다시만나."
"si**927q","2024.10.10","내게 사랑의 의미를 다시 일깨워준 영화"
"ky**i1607","2024.10.10","다시봐도 너무 명작이네요! 혼자 보러가서 울고싶을때 울고 편하게 봤습니다. 커플끼리 보면 더 좋은 영화같아요ㅠㅠ"
"아스파라거스야","2024.10.10","역시 재개봉은 꼭 봐야하는것 같아요!!"
"ki**imin2733","2024.10.10","여기가 집이야. 네 엄마가 나의 집이야."
"th**s998","2024.10.10","제 인생영화인데 이렇게 영화관에서 다시 보게되서 너무 좋았고, 여전히 너무 슬프면서 재밌네요."
"yu**24","2024.10.10","이 영화에서 약혼자가 젤 좋은 사람인듯...ㅠ"
"더불어 잘 살자","2024.10.10","2004년 작품으로 그때도 반향을 일으켰는데 다시 보니 더욱 그 시절롶 가고 싶네요. 시간이 지나도 변치 않는 사랑의 힘이 얼마나 위대한가를 보여준 걸작품입니다."
"bi**78787","2024.10.10","눈물 났습니다 
액션영화 좋아하는데 남자친구랑 이거보고 마음이 싱숭생숭해졌네요 내용 정말 좋습니다
무조건 보세요"
"ch**bin999","2024.10.10","사랑이야기를 덤덤하데 이야기식으로 풀어서 진행했다."
"zx썽준xz","2024.10.10","지인들이 띵작이라고 꼭 보라는 말을 하도 많이 했는데 제목만 보고 별로일 것 같다고 내쳐둔 저를 원망합니다... 근데 또 감사한 건 미뤄둔 덕분에 이걸 극장에서 봤다는 거... 인생영화입니다. 웬만하면 영화 후기 안 쓰는데 이건 만천하에 알리고 싶어서 씁니다. 0순위 영화 등극.. 미쳤어요 꼭 봐"
"je_rome_","2024.10.10","한 여름밤의 꿈같은 동화 속 풋사랑
온 마음을 다해서 진정한 사랑을 나도 할 수 있을까?

믿고 보는 레이첼 맥아담스, 너무 예쁘고 아름다운 배우"
"go**yw","2024.10.10","노트북 The Notebook"
"go**yw13","2024.10.10","The Notebook"
"선인장3","2024.10.10","The Notebook"
"19**leon","2024.10.10","원하는 사랑을 선택했으니 여한이 없는 엔딩이네요"
"h A N 2","2024.10.10","영화보다 더 영화 같지만 실화라는 놀랍고 아름다운 사랑 이야기. 치매를 앓고 계신 어머니 생각에 더욱 눈물이 났다."
"김지만","2024.10.10","잘봤어요 새벽에 봐서 그런가 여운이 더 남아요"
"우연한만남","2024.10.10","노트북이 이렇게 에로틱한 영화였다니..."
"hg**n07","2024.10.10","로맨틱 장르 영화의 마스터피스"
"고질라1001","2024.10.10","정말 행복을 느낄수 있어요
사랑의 소중함도♡"
"뭉댕구리","2024.10.10","내가 전생에 새였을까?"
"하오감","2024.10.10","역시시간이지나도그림움으남는다"
"01**op2po","2024.10.10","진실된 사랑이 뭔지 깨닫게 해준 동화같은 영화였습니다!!"
"쪼잉쪼잉","2024.10.10","잘봤습니다 잘봤습니다"
"qh**js0218","2024.10.10","Good Night. I'll be seeing you"
"Nams_KIM","2024.10.10","내 인생 영화 중 한 편... 볼때마다 감동적"
"MEGA-BOX","2024.10.10","언제나 인생영화 다섯손가락에 들어가는 명작"
"구국청년","2024.10.10","얼마전 스턴트맨을 보았는데 라이언 정말 젊었었다..."
"여우목도리","2024.10.10","시간이 지나도 감동을 주는 영화네요~~
아이가 너무 슬펐대요"
"오라방","2024.10.10","다시 봐두 좋아 이 둘의 사랑은 아름답구 경이로워"
"키아썸","2024.10.10","좋아요~~좋았어요~~~"
"버니주디","2024.10.10","평생의 사랑이 있을 수가 있을까"
"박설빈","2024.10.10","너무 감동적인 영화 ㅜㅜ"
"Merry X-mas","2024.10.10","사랑예찬이 쏟아지던 2000년대 로맨스 영화들을 보다가, 문득 그것들이 흔해빠졌다고 생각해서 보지 않고 넘겨버린 영화. 하지만 오래도록 회자되는 것을 보며 아껴왔었는데, 왜 명작인지 이제야 알게됐다. 러닝타임 내내 가득차있던, 진중하고 진실된 사랑은 20년 뒤에 보게 되어도 명작일 듯 하다."
"ki**aehee31","2024.10.10","이런 사랑을 해볼 수 있을까"
"dxwxdms","2024.10.10","아는 내용임에도 다시 보니 감동적이었다. 한여름의 풋사랑이라 하기에는 너무나도 깊고 진실된 사랑. 노아처럼 평생 한 여자만을 사랑하는 게 가능할까 많은 생각이 들게 하는 영화다."
"명작만 찾아서 볼거얌","2024.10.10","명작은 명작입니다.. 하 마지막 새가 날아가는 장면까지
극장에서 넘 보고 싶었던 작품이였어서.. 대사 하나하나 전부 집중해서 봤던 것 같아요 ㅠㅠ 너무 좋았습니다"
"응꼬쓰","2024.10.09","남자친구에게 우는 모습 절대 보여주기 싫어서 열심히 참았는데 다 알더라고요. 봤던 작품이라 처음부터 눈물이 광광... ㅜㅜ"
"twinkle135","2024.10.09","이런 사랑이 또 있을까.."
"뽀로로와루피","2024.10.09","너무너무 설레고 진짜 사랑이 뭔지 알게되었어요ㅎㅎ
조금 야하긴 하지만 재미있었어요 그리고 너무 감동적.."
"ho**8123","2024.10.09","영원한 사랑이 이루어진다고 믿게 하는 영화"
"꾸니","2024.10.09","20년만에 다시 보는 영화. 뭔가 울컥한다"
"mi**hh","2024.10.09","모든 방면에서 탄탄하고 명작은 명작이네요"
"무앙무앙","2024.10.09","극장에서 너무 좋아하는 영화를 봐서 행복했어요 재개봉해서 너무 좋아요!🧡"
"mo**9014","2024.10.09","결국 마지막에 눈물을 흘리게 만드는 영화"
"ki**ei0712","2024.10.09","명작이라해서 봤는데 명작인 이유가 있네요"
"물랑.","2024.10.09","여전히 나의 명작 노트북"
"wj**pek2","2024.10.09","주인공들에게는 감동적이겠지만 줏대없고 이기적인 스토리"
"lo**gando","2024.10.09","진정한 사랑이란?
다시 한번 돌아보게 하는 섬세한 감정의 영화로군요~"
"rn**rrl1","2024.10.09","몇 년만에 다시 봐도 좋은 영화"
"kj**36605","2024.10.09","인물들의 섬세한 감정이 느껴져서 감동이 배가 됬다"
"블루써니","2024.10.09","진정한 사랑의 의미를 생각해 볼 수 있는 영화였어요."
"mo**13041","2024.10.09","두사람의진정한사랑에빠져들었습니다"
"염다현","2024.10.09","재미나게 잘 봤어요~~!!"
"영화와여행","2024.10.09","마음을 울리는 감동적인 사랑이야기."
"치맥보다 아맥","2024.10.09","각본이 문제가 많다. 솔직히 mbti 극 F만 좋아할듯. 옛날에 개봉해서 추억보정으로 명작으로 기억되는거 같음. 지금 처음나온 신작이였으면 골든에그 70퍼 정도 예상됨."
"가방가방","2024.10.09","조아요 조아요 조아요 조아요"
"zpdlxk123","2024.10.09","30대초반에 재개봉해서 봤던 감성과
30대 후반에 재개봉해서 본 감성 역시 다르다
노트북 이 영화는 언제나 재개봉 하면 
설레이는 영화이다"
"아이스툴","2024.10.09","그럭저럭 볼만하네요...."
"알로카시아~","2024.10.09","나중에 나의 노후를 그려보게 되는 눈물나는 영화였어요.
재개봉인데 그당시 애절하게 넘 잘만든 영화라 생각되네요~"
"ariari","2024.10.09","여주는 왜 치매에 걸렸나?"
"나쿠","2024.10.09","노트북은 언제나 좋은 느낌"
"comcoma11","2024.10.09","잘 보았습니다 ~^^."
"Whiz","2024.10.09","공감되는 내용. 잘 봤습니다."
"대장쓰!!!","2024.10.09","네 시작은 눈물 몇방울이였지만 그 끝은 눈물광광이리라!  레이첼은 로맨스전문배우.넘 사랑스럽다. 예측가능한 이야기지만, 가을에 보니 감성에 흠뻑. 살인마 나오는 호수영화만 보다가 이리 로맨틱한 호수장면은 처음.짝꿍끼리 손잡고 보세요! 여운이 긴~ 영화"
"ze**a003","2024.10.09","다시봐도 감동적이었다 커플 사이에서 혼자 울면서 본 영화! 옆커플들은 속으로 누구를 떠올리며 봤을까"
"ks**512","2024.10.09","나라면? 나였더라면? 너무나도 아름다운 사랑 이야기"
"su**ang922","2024.10.09","20년전에 봤다면 더 재미있었을거 같다."
"th**dn13","2024.10.09","나 공감 잘 못하는데... 진짜 못하는데... 😭😭"
"마카오산마카롱","2024.10.09","아 첫사랑이여...타오른다"
"mi**nae4870","2024.10.09","재개봉, 기다린 보람이 있다.
시간이 흘러 다시 본 영화는 여전히 아름답다.
저렇게 오랜 시간 동안 서로 사랑할 수 있을까...생각해보게된 시간!!!"
"kk**wk77","2024.10.09","바럽납나밥ㄴ버ㅏㅂㄴ비ㅑㅂㄴ"
"광슈슈스","2024.10.09","다시 보고싶어서 봤지만 너무 감동적입니다."
"br**nbang7","2024.10.09","너무 재미있었습니다!"
"yn**ly","2024.10.09","젊다, 젊어.. 클래식하구먼"
"키작은 나무","2024.10.09","앨리 엄마가 노아의 편지를 모두 보관하고 있었던 것, 오래 전 자신의 풋사랑을 멀리서 바라봐야 하는 심정. 알면서도 딸의 사랑을 처음부터 응원하지 못한 심정..."
"suwon love","2024.10.09","abcdefghijlkmnop"
"대장~!!!","2024.10.09","어바웃타임과 라라랜드의 감동이 곱빼기!! 첫장면부터 눈물나는 영화가 처음 ㅠ.ㅠ 개봉 20주년 기념으로 봤지만 20년후에도 같은 감동일듯!! T들은 공감못하는 사랑이야기. F들은 손수건 필참!"
"wo**0055","2024.10.09","진부할지 모르겠지만 참 좋다. 몰랐던 영화  재개봉해 줘서 고마워요."
"나뭇잎사이로","2024.10.09","평소 치매에 관심이 많았는데
그런쪽의 영화인줄 모르고 
봤는데 의외였습니다..
감명깊게 봤습니다.."
"ch**ch22","2024.10.09","개쳐울엇다,,눈물인지콧물인지모를정도로뭔가가흘럿다"
"sun","2024.10.09","재개봉으로 영화관에서의 첫번째 관람 좋았어요"
"호랑지기","2024.10.09","잘 보았습니다 ~^^~"
"05**03hjh","2024.10.09","아 구웃구웃~
부모님이랑 관람 금즤~"
"su**am35","2024.10.09","다시 봐도 풋풋하고 감동적인 노트북"
"su**ggee","2024.10.09","여러 번 봐도 눈물 나고 감동적인 제 인생 영화입니다 안 본 사람은 있어도 한 번만 본 사람은 없습니다 본인이 F라면 꼭 F친구랑 보러 가세요"
"유멍이??","2024.10.09","너무너무 감동적이었어요"
"ru**us5602","2024.10.09","괜찮은 영화 였어요~~~"
"드라부어 사막의 에어컨","2024.10.09","원래도 되게 애정하는 영화라서 재개봉 소식 듣자마자 계속 기다리다가 봤습니다… 확실히 언제봐도 재밌어요… 방금 봤는데 또 보고 싶네요… 눈물광광…"
"김또릉","2024.10.09","명작이 왜 명작인지 알 수 있는 작품"
"Barbie","2024.10.09","잘 보긴했는데, 명성 만큼은 아닌 것 같아요.
남녀 주인공 풋풋합니다.
여주 부잣집이라 스타일링 너무 예쁨."
"pirimiri","2024.10.09","마치 문신같이 여운이 깊게 남는 영화.."
"단떵","2024.10.09","노트북 미뤄두다가 영화관에서 재개봉 한다길래 바로 봤는데 진짜 인생 영화입니다 영화관에서 보길 너무 잘 한 것 같아여ㅠㅠ"
"라비린스","2024.10.09","20년 전에 개봉한 영화인데 배경은 무려 80년 전이네요!! 
그치만 주인공 두 사람이 너무 풋풋하고 싱그럽고 이뻤습니다. 그냥 젊은 시절의 풋풋한 첫사랑 얘기로 끝나는게 아니어서 더 감동적이고 아름다운 사랑 이야기였네요 못본 분들 추천합니다!"
"막뚜","2024.10.09","노트북 라이언 고슬링 레이첼 맥아담스"
"40대 시네마키즈","2024.10.09","따뜻한 로맨스 명작을 커플들 틈에서 잘 보고 왔습니다"
"jellym","2024.10.09","라이언고슬링❤ 처음 봤을 때 영화관에서 못 본 한을 드디어 풀었어요. 그때나 지금이나 눈물 흘리게 만드는 명작이에요. 가을과 너무나 잘 어울리는 영화.. 마음 아프면서도 아름다운 이야기예요.. 사랑이 그들이 원하는 대로 해줬다.."
"새얀결","2024.10.09","짧은 인생! 사랑을 어떻게 해야 하는지 보여주는 눈물짓게 만드는 감동적인 명작이네요^^"
"째쟁이","2024.10.09","보는동안 가슴조이면서 사랑이 뭐지?
감동적인영화 강추!"
"뭉뭉비아핫세","2024.10.09","오랜만에 봐도 명작은 명작이다 레이첼 맥아담스는 언제나 사랑스럽다"
"by**juyun123","2024.10.09","재밌어요 🥲🥲😍😍"
"jy**586","2024.10.09","여주인공이 너무 사랑스러웠고 영화내용은 다소 진부했지만 재밌게 봤습니다~"
"sh**01per","2024.10.09","말이 필요없는 명작 내 가슴을 울린 영화"
"니 차두 기아","2024.10.09","20년전의 레이첼 맥아담스의 미모는 가히... 헤이짐보다 더 잔인한건 기억하지 못하는것. 치매 치료제가 빨리 만들어지길."
"현지이맛","2024.10.09","사랑은 참 이상한거야..."
"tm**ml8692","2024.10.09","20년전 영화라 감성 안 맞는 사람들은 호불호 갈릴 수 있지만...개인적으로는 좋았음!"
"kj**544","2024.10.09","재밌습니다 만족합니다"
"sohong50","2024.10.09","좋은 영화는 볼때마다 놓쳤던 포인트가 보여서 새로운 감동을 느낄수 있어서 행복하다"
"im**ppy6","2024.10.09","중간중간 나갔다 들어오는 사람들만 아니었다면 대책없이 울었을 영화

보러 온 걸 후회하지 않을 영화

커플들이 대부분이었던ㅎㅎㅎ

두고두고 다시  봐도 좋을 영화"
"msu  멋쟁이","2024.10.09","로멘스물 답게  
잔잔하면서도
감동적인 영화였어요~^"
"무궁화(요원)","2024.10.09","사랑은 두 글자이지만 하나로 붙어 있고
화물차의 뒷바퀴처럼 생명이 다 할 때까지 꽉 붙어 있는...
나는 왜 기차 바퀴처럼 가까이 있지만 떨어져 있는 사랑 일까...
내 사랑은 하나인데...
영화는 CGV에서..."
"다은이즈","2024.10.09","극장에서 옛 영화들을 보니 기억이 새롭다"
"SYS1589","2024.10.09","너무 좋아요~~감동적이구~ 풋풋하고 젊은 모습도 예쁘고 나이 드셨지만 지고지순한 모습도 아름다웠어요~
사랑은 다 예쁘고 사랑스러운거 같아요~ 개봉 20주년이라는데 다시 봐도 좋을거 같네요~~ 즐감했어요~"
"물된동산","2024.10.09","네아주재미있고스릴있고기대이상이고스토리좋고해피웽딩라서좋냈요."
"khj4503","2024.10.09","마음이 따뜻해지네요 희망사항이었네요"
"ev**0219","2024.10.09","결말을 알고 봐도 다시 볼만큼 너무 재밌고 너무 슬픔"
"qk**kd1220","2024.10.09","명작은 명작이다 보는 내내 너무 슬프고 배우들 연기가 미쳤어요"
"blu_ch__s_","2024.10.09","영화 너무 잘 봤습니다."
