word,score
우리가,63
장면이,63
없었다,63
연기와,63
않을,63
놀란은,62
해주는,62
훌륭한,62
무어,62
반전을,62
힘든,62
했다,62
주인공의,62
합니다,62
세상에서,61
이창동,61
시간의,61
아픈,61
그게,61
살짝,61
소중한,61
너무나도,61
눈이 부시게,61
나오는,61
재밌고,61
저렇게,61
그녀는,61
있게,60
나에게,60
감정을,60
모르겠다,60
감동과,60
봐서,60
아직,60
봤네요,59
좋았고,59
정도로,59
아름답게,59
모습을,59
기억과,59
가족을,59
가족과,59
슬펐다,59
부모님께,59
깊은,59
그들의,58
가족영화,58
사랑스러운,58
의미를,58
결말이,58
현실,57
슬프지만,57
사람들이,57
장면,57
아직도,57
매우,57
그대,57
괜찮은,57
멋진,57
살아가는,57
세상,57
당신은,57
생각나는,57
너무너무,56
충분히,56
걸린,56
반전도,56
사실,56
그럭저럭,56
어쩌면,56
속에,56
않았다,56
집중해서,55
저런,55
현실을,55
영원한,55
울면서,55
안소니 홉킨스,55
처음부터,55
일이,54
평생,54
하네요,54
못하는,54
좋았음,54
좋았던,54
영원히,54
딸의,54
슬퍼서,53
젊은,53
모두가,53
통해,53
않다,53
감동도,53
갑자기,53
같아,53
라이언,53
크리스토퍼 놀란,53
솔직히,53
앨리스의,53
알았는데,53
평범한,53
특히,53
있었던,52
한국,52
했지만,52
누가,52
느낌이,52
처음으로,52
전개,52
다들,52
결말,52
이해,52
이걸,52
수가,51
어렵다,51
이미,51
놀라운,51
서로,51
사는,51
멜로,51
조금은,51
입니다,51
절대,51
치매가,51
볼때마다,51
명작은,51
alice,51
전혀,51
정우성,50
다시 한번,50
감독이,50
사랑하고,50
연기가 좋았어요,50
관람했습니다,50
것에,50
추천,50
울었네요,50
나중에,50
파더,50
강추,50
인생은,50
배우님,50
연출과,50
기분,49
삶은,49
따뜻하고,49
삶에,49
아버지,49
휴지,49
시작,49
기억하고,49
있습니다,49
감정이,49
행복한,48
중간에,48
아름다움을,48
많은 생각을,48
요즘,48
엄마와,48
가슴을,48
없고,48
자신이,48
좋은영화,48
했던,48
무섭다,48
되었다,48
사랑해,48
마지막까지,48
해도,47
good,47
첫사랑,47
대단한,47
않게,47
사랑스럽다,47
맥아담스,47
생각해보게,47
보여준,47
보며,47
가족에,47
되어,47
잊지,47
아쉽다,47
사랑이란,46
그녀가,46
처음엔,46
오늘,46
아프다,46
남자,46
대박,46
뻔하지만,46
사랑이야기,46
생각해,46
사랑할,46
세상에,45
해서,45
세상을,45
감동적이었어요,45
좋겠다,45
알게,45
남는다,45
몰입해서,45
아쉬운,45
반전과,45
스토리는,45
봤던,45
줄리안 무어,45
오늘을,45
감동은,45
눈을,45
재미,45
천천히,45
감동의,44
공감이,44
라는,44
사람과,44
레이첼 맥아담스,44
모르고,44
이유가,44
가지고,44
해준,44
당신을,44
전개가,44
자꾸,44
보이는,44
때마다,44
사랑과,44
이해할,44
줄리안무어의,43
이유,43
생각을 하게,43
알츠하이머에,43
듯한,43
좋을,43
저는,43
대사,43
갈수록,43
결말을,43
사랑합니다,43
딸이,43
느끼는,43
스스로,42
스릴러,42
만든다,42
재밌네요,42
서로를,42
가진,42
치매라는,42
살고,42
조금씩,42
환자의,42
하나의,42
오래,42
소재를,42
안성기,42
주인공,41
이토록,41
먹먹해지는,41
놀란 감독의,41
재미있었어요,41
말을,41
영화인데,41
되고,41
영화도,41
재미가,41
진부한,41
배우가,41
지루한,41
하지,41
내용을,41
미친,41
초반에,40
생각에,40
울었던,40
있네요,40
모르게,40
감동적입니다,40
볼만했어요,40
일어날,40
관람,40
바라보는,40
부모님을,40
나로,40
아무리,40
먹먹한,40
배우들 연기가,40
남의,40
않지만,40
드라마를,40
먼저,40
예쁜,40
어렵지만,39
신파,39
재개봉,39
진한,39
없지만,39
올해,39
어이가리,39
보고싶은,39
재밌는,39
영화라,39
스토리도,39
치매의,39
영화지만,39
가슴에,39
반전의,39
하다,39
눈물은,39
남은,38
생각도,38
있는데,38
알츠하이머를,38
있어요,38
머리,38
잔잔하지만,38
쉽게,38
되네요,38
나서,38
그녀를,38
누군가의,38
봤지만,38
기억하는,38
역시나,38
대사가,38
빛나는,38
가족들의,38
세상의,38
가능한,38
다시금,38
기억이란,37
아프고,37
안소니의,37
제가,37
모습,37
감동적이네요,37
부분이,37
힘이,37
앨리스가,37
흐르는,37
나이,37
자체가,37
엄마를,37
봐야할,37
당신의,37
않아,37
서현진의,37
연기가 좋았습니다,37
장면은,37
연기로,37
안되는,37
울었습니다,37
재미있고,37
난다,36
끝나고,36
감동적,36
인생이,36
둘이,36
전에,36
최고다,36
스토리를,36
거꾸로,36
가족의 소중함을,36
반전은,36
당신이,36
고통을,36
그대 어이가리,36
슬퍼,36
같습니다,36
좋습니다,36
만들어,35
가족애를,35
신선한,35
개인적으로,35
없어,35
사랑으로,35
슬픈영화,35
아는,35
굉장히,35
눈물나는,35
공포,35
기대를,35
왔습니다,35
있었지만,35
같네요,35
결코,35
열심히,35
줄리안무어,35
머리가,35
내용은,35
남자의,35
좋음,35
최고입니다,35
깊이,35
남자가,35
여운이 남는,34
어머니,34
사랑한다면,34
순간을,34
돌아보게,34
내용도,34
예전에,34
인생에,34
무섭고,34
사랑해요,34
엔딩,34
슬픔을,34
드는,34
특유의,34
영화보고,34
못하고,34
감동적이에요,34
현실이,34
감독님,34
앞으로,34
아름다움,34
봤으면,34
플롯의,34
재밌다,34
연기력에,34
정도,34
소재,34
보고싶다,34
모든걸,34
덕분에,34
아무것도,34
끝에,34
않아서,34
것만,33
사라지는,33
억지로,33
마음으로,33
억지,33
엄청난,33
없을,33
끊임없이,33
하면,33
그런지,33
몇번을,33
노인의,33
나온,33
기대,33
독특한,33
전형적인,33
들었다,33
편의,33
그것이,33
뭔지,33
생각한다,33
울게,33
한편의,33
기억하지,33
볼만합니다,33
재미와,33
나와,33
잔인한,33
다룬,33
무엇인지,33
보길,33
김혜자,33
흔한,32
생각하는,32
굿굿,32
같아서,32
잔잔하니,32
크게,32
내게,32
무엇을,32
그려낸,32
세상에서 가장,32
재미있게 보았습니다,32
영화라고,32
주인공이,32
배우들이,32
할머니가,32
박수를,32
아버지의,32
역시 놀란,32
생각할,32
기록이,32
엄마는,32
스틸,32
모르는,32
로맨틱,32
현실적으로,32
소름,32
명연기,32
여러,32
만큼,31
감독은,31
중간중간,31
배우분들,31
않을까,31
생각나서,31
쓰는,31
아카데미,31
반전있는,31
한국영화,31
그걸,31
사랑이라는,31
우린,31
세상은,31
너무도,31
지루하고,31
누군가를,31
오는,31
둘의,31
마음이 따뜻해지는,31
강제규,31
부모님이랑,31
영화보면서,31
울리는,31
처음부터 끝까지,31
재밌습니다,31
사람들의,31
세상이,31
순수한,31
평생을,31
돋보이는,31
찡한,30
과정을,30
드라마가,30
잊고,30
좋아서,30
괜찮았어요,30
못할,30
영화중,30
네가,30
누구도,30
좋은데,30
모시고,30
재미도,30
필요한,30
것인가,30
그것을,30
왠지,30
체험,30
지는,30
아니고,30
원래,30
여러번,30
옆에,30
싶었던,30
것들을,30
라고,30
뭐가,30
다시 보니,30
뛰어난,30
말할,30
모든 것을,30
많은 생각을 하게,30
연기의,30
맘이,30
재미는,30
때론,30
담담한,30
과정,30
나에겐,30
말하는,29
할아버지가,29
것들이,29
났다,29
완전히,29
믿고보는,29
분명,29
박근형,29
오랫만에,29
표현한,29
잔잔한 감동이,29
비해,29
재미있네요,29
편집,29
맥아담스의,29
안소니홉킨스의,29
그린,29
감성,29
돌아가신,29
퍼즐,29
깊게,29
웃고,29
있던,29
영화에서,29
뻔하고,29
예쁘고,29
현실과,29
병이,29
감정,29
보기 좋은,29
노아,29
감동입니다,29
가득한,29
아니지만,29
놀란 감독,29
말고,29
없다는,29
가슴아픈,28
짧은,28
모두의,28
순간이,28
곁에,28
가족들과,28
삶과,28
수밖에,28
놀랍다,28
명불허전,28
없어서,28
로망,28
놀란이,28
장면에서,28
시의,28
봐야하는,28
한국판,28
밖에 없는,28
싶어요,28
이창동의,28
가족끼리,28
생각하고,28
손예진이,28
든다,28
것처럼,28
나도 모르게,28
가족이란,28
소소한,28
일본,28
im,28
중에,28
구성,28
이름,28
상실의,28
슬프게,28
미자의,28
눈물 펑펑,28
서서히,28
판타지,28
여운,28
꿈을,28
감성을,28
초반,28
비슷한,28
아빠,28
잃는,28
때의,28
이야기는,28
처음에는,28
저도,28
원작을,28
사람들,28
인간은,28
배우의 연기가,28
싶지,27
그녀,27
플롯,27
슬픔이,27
줄줄,27
중요한,27
연출은,27
아쉬움,27
대체,27
부모님의,27
기억도,27
아름다웠다,27
감동적으로,27
없었던,27
날이,27
이제야,27
최고에요,27
두번,27
위대한,27
예쁘다,27
앨리스는,27
대단하다,27
되지,27
이순재,27
나에게도,27
보여준다,27
갑니다,27
미래의,27
괜히,27
영화예요,27
여운을,27
한번쯤,27
행복하게,27
먹먹하고,27
감히,27
울어서,27
가족은,27
아버지가,27
끝이,27
보니까,27
보지,27
무엇인가,27
우는,26
울림이,26
무엇이,26
영화이다,26
우리를,26
눈물콧물,26
소재가,26
보러,26
보았다,26
담긴,26
home,26
좋았어요 좋았어요,26
속의,26
사랑도,26
언제봐도,26
볼수록,26
그냥저냥,26
결국은,26
지극히,26
앨리가,26
의미,26
아담,26
병을,26
굳이,26
이런게,26
그대를,26
스토리에,26
시간과,26
기대가,26
나쁘지,26
감동적이다,26
웃음과,26
같은데,26
담은,26
하나도,26
