"영화제목","작성자","작성일","평점","리뷰","공감수","비공감수"
"노트북","apdl****","2015.01.06. 16:28","1","불륜미화쩌네요 노아는 앨리만바라본다면서 다른미망인과 원나잇하고 앨리는 약혼남도있으면서 노아못잊었다고 웨딩드레스도 맞춘마당에 약혼남에게 연락도잘안하고 노아랑 실컷사랑했죠 이게어떻게 감동실화러브스토리? 겁나약혼남만불쌍하네요","281","102"
"노트북","fani****","2016.10.30. 13:16","1","이 영화가 왜 높은 평점을 유지하는지 모르겠다. 미망인과 약혼자의 입장은 고려하지않은 둘 만의 이기적인 사랑을 아름답게 포장한 영화 아닌가? 누군가에겐 행복이지만 남겨진 또 다른 누군가에겐 비극이다. 높은평점보고 감동적이라고 물타기 하지 않았으면..","201","38"
"노트북","s2ez****","2014.01.06. 21:27","1","그저 그녀가 너무 사랑스럽다. 그렇지만 그게 다인 영화. 이기적이고도 또 이기적인 사랑의 모습이 추악했다.(물론 주인공 지들끼리야 세기의 사랑이지. 근데 약혼남은 무슨 죄냐) 명작중의 대명작이라고?? 서운할 소리 하고 있다 진짜..","229","78"
"노트북","neve****","2013.07.01. 00:08","9","지킨다는 것은 쉽사리 할 수 있는게 아니다. 이런거겠지..","166","22"
"노트북","yeon****","2015.01.15. 00:43","1","졸작 중 졸작이다. 노아란 샛기는 앨리만 본다면서 미망인을 가지고 놀았고 앨리는 7년간 자길 위해 모든걸 받친 잘나디 잘난 남자를 끝에 가서 모든걸 알고 용서해준 남자를 매몰차게 끝내네. 이게 진정한 사랑? 완전 지들이 하면 로맨스 남들이 하면 불륜","209","90"
"노트북","top3****","2016.10.24. 10:54","1","약혼남, 미망인만 불쌍해지는 불륜미화 영화","153","42"
"노트북","kank****","2015.11.27. 13:17","1","솔직히 9점대의 영화는 아니다..","142","52"
"노트북","aall****","2014.06.17. 13:38","1","내가 남들과 다르다는걸 여실히 알게되었다.","130","46"
"노트북","hhjh****","2016.07.20. 09:54","4","약혼자 정말 매력있다..","97","14"
"노트북","jida****","2016.09.20. 10:22","1","쓰레기 불륜영화. 불륜의 합리화가 대단하네요. 당한 약혼남과 미망인은 피눈물을 흘리겠습니다.","121","40"
"노트북","oacl****","2014.04.11. 22:41","1","1점 주기도 아깝다 정신이 성숙치 못해 옛감정에 흔들려 약혼 파기한 영화, 이기적이고 책임감 없는 사랑과 결혼, 본인들만 아름다운 스토리","114","39"
"노트북","ldy2****","2018.09.04. 01:17","5","이게 슬퍼? 이 정도가 재밌는건가??","75","9"
"노트북","kimt****","2016.02.15. 21:37","1","불륜미화 쓰레기같은영화 인생영화로 뽑는사람들은 지 애인이 첫사랑 찾아간다고 하면 멋지다고 박수쳐주길","96","34"
"노트북","whyi****","2014.04.19. 15:03","1","노년의 사랑은 좀 인상적이었는데 젊은날의 둘의 모습은 로맨틱 하지도 감동적이지도 않음.","74","15"
"노트북","sain****","2016.08.25. 14:47","1","아 감동적이다 하고 봤는데 생각해보니 정말 쓰레기 영화ㅋ 약혼남하고 미망인만 OO된거지","92","33"
"노트북","lily****","2016.11.08. 04:50","1","아직 저렇게 미친듯이 사랑을 못해봐서 그런가...돈이 아깝다는생각이든다. 너무 이기적인거 같다 여주가.. 둘다 사랑하는데 남주를 더 사랑한다는건가..아무리 그래도 떠나기로 맘먹은 와중에 거짓말과 사랑한다는 말을 뱉다니.나중에나이가 더들어서다시 봐야겠다","74","18"
"노트북","gusd****","2013.03.16. 21:48","9","처음에 앨리가 너무 아깝다고 생각했는데 노아의 순애보가로 더 마음이 갔다. ㅠ론과 노아 둘 사이에서 갈등하는 앨리가 너무 미웠지만 고민할 수 밖에 없는 그 심정이 이해가 가서 더 안타까웠다. 어쩌다 치매에 걸렸는지 모르겠지만 하늘에서 같이 사랑하길!","71","16"
"노트북","int_****","2017.08.27. 21:13","1","지도 미망인이랑 재미는 다 봐놓고 앨리가 지 선택 안 한다고 돈 때문이냐며 후려치는 영화. 지도 섹파끼고 논 건 생각 못하고 앨리한테 왜 지랑 잤냐고 빼액. 벤츠 약혼자랑 미망인이 제일 불쌍한 영화. 현실이면 정신 차리고 벤츠 약혼남 골랐어야 정상.","78","23"
"노트북","love****","2016.08.21. 20:13","1","왜 유명한지도 모르겠고 어디가 감동 포인트가 어디인지도 모르겠는 영화","74","20"
"노트북","syy2****","2013.08.04. 07:42","9","세상 모든 연인/부부 들이 봐야할 영화 인것 같습니다. 정말 옆에 있는 사람이 너무 소중해 지는...","71","20"
"노트북","kgbb****","2013.11.09. 02:12","8","9년만에 다시 봤지만 여전히 아름다운 사랑이다 나도 그들처럼 늙고싶다","77","26"
"노트북","nolj****","2016.11.08. 18:13","1","속았다 ㅡㅡ대체 어디가 어느부분이 아름답고 감동적이고 재미있다는걸까?  진짜 내가 고장난건지 슬퍼지네 ㅡㅡ","64","14"
"노트북","park****","2015.03.19. 00:49","6","이게 9점이라니...","67","20"
"노트북","yaka****","2013.11.17. 18:27","1","뭔가 맘에 안드는 구석이 많은 영화. 요즘 나왔으면 뭇매를 맞았을만한 스토리가 아니었을지","70","23"
"노트북","hy06****","2016.11.01. 22:30","1","영화가 너무 극단적이네요","48","7"
"노트북","youn****","2016.10.24. 08:34","1","앨리가 진짜 노답임;;","65","24"
"노트북","hope****","2014.01.06. 20:06","1","불륜미화영화 진짜 보기 싫다..","108","68"
"노트북","dlek****","2014.05.03. 03:35","1","이 쓰레기같은 영화가 인기가 좋다는게 충격이다","66","27"
"노트북","pant****","2015.07.17. 03:02","1","역겨운 영화다. 결혼 직전에 내 여자의 전남친이 나타나서 데려가 버리면 미쳐버릴 듯. 진짜 여자들 역겹네요. 이게 아름다워요? 입장 바꿔서 생각해봐요. 님네 예비신랑 전여친이 갑자기 나타나서 델꼬간다 생각해봐요. 아름다운 이야기 입니까? 비극입니까?","114","76"
"노트북","qazw****","2015.04.06. 00:38","1","재미는 있는데 여운보다는 찝찝함이 남는영화","58","23"
"노트북","jksm****","2016.02.26. 06:10","7","휴... 약혼남이 너무 불쌍함.","38","4"
"노트북","pcpa****","2016.01.28. 22:03","1","진짜 이건 9점대 영화는 아니다 아니 무슨 그냥 이건 쓰레기 불륜 영화지 솔직히 약혼자 뻔히 있고 결혼 준비까지 하고 있는데  다른남자한테 안기기나 하고... 이게 무슨 명작이냐;;;망작이지","54","20"
"노트북","jmk7****","2007.01.30. 14:08","1","눈물흘리고싶어 봤지만... .그러나 도대체 어디가 슬픈가요? ..","50","17"
"노트북","bbas****","2019.04.20. 23:13","1","아니 이 영화가 왜 이리 유명한지 알수가 없다.보고나서 정말 화가 난다.대단할거 없는 러브스토리에 이기적인 주인공.실망가득한 영화.","35","6"
"노트북","baco****","2014.04.02. 10:27","1","내용 뻔하고 억지감동 개지루함","53","24"
"노트북","star****","2013.05.11. 12:46","10","ㅠ ㅠ 봐도봐도 끝장면에선 눈물이나는이유는 멀까 ...","37","9"
"노트북","mins****","2015.08.20. 01:42","1","이건 그냥 쓰레기 불륜영화일뿐","80","52"
"노트북","elis****","2017.08.24. 13:42","5","영화자체는 좋았지만 이런 사랑은 이해할수없다. 약혼자는 진정한 사랑이 아니었던건가? 전쟁에서 만났고 사랑했고 결혼까지 하게되는 과정에서 첫사랑과 비교해 뭐가 부족한지 알수가없다. 어째서 현재의 사랑은 버려도 되고 과거의 사랑을 찾은게 더 아름다운걸까","29","2"
"노트북","kjk9****","2015.12.04. 00:02","5","마지막 장면은 슬프고 감동적이지만, 이게 아름다운 사랑인지는 공감을 못하겠다. 본인이 약혼남의 입장이었더라도 저들은 아름다운 사랑이었네라고 말할수있을까.","32","5"
"노트북","whdg****","2015.02.10. 06:51","1","평점높고, 감동실화라길래 기대했는데...뭐 두 남녀가 서로 엇갈렸다가 결국에 다시만나 잘 살게 되는 내용인데 그 과정들에서 딱히 감동을 느끼진 못했다. 다시만나게 되는 과정이 험난한 것 같지도 않았고 또 간절히 바래왔던 것 같지도 않았다.","37","10"
"노트북","mono****","2015.01.11. 22:45","6","양다리 걸치는 설정을 구지 넣었어야 했냐??","35","9"
