"영화제목","작성자","작성일","평점","리뷰","공감수","비공감수"
"첫키스만 50번째","acea****","2018.08.21. 14:28","9","같이 함께한 추억을 공유할 수 없다는 것 그것만큼 슬픈게 또 있을까","4","1"
"첫키스만 50번째","js59****","2021.08.12. 23:13","10","마지막 딸을 안은 베리모어의 감격스럽고 놀란 표정연기가 눈물나게한다.  진정한사랑이 무엇인지알려준다. 아름다운 하와이와함께","2","0"
"첫키스만 50번째","chec****","2019.11.24. 19:02","10","가끔 사랑에 고플때 꺼내보는 특효약.","2","0"
"첫키스만 50번째","mr2s****","2019.06.19. 11:15","10","아담샌들러를...가장 좋아하는 배우중 한명으로 만들어준 명화...!!","2","0"
"첫키스만 50번째","kimy****","2019.04.21. 13:07","10","15년이 지나서야 봄!이렇게 좋은 영화는 시간의 흐름을 타지 않나봄!지금봐도 너무 좋음","2","0"
"첫키스만 50번째","ain_****","2020.07.04. 17:06","10","언제봐도 사랑스럽고 감동적인 영화","3","1"
"첫키스만 50번째","alpi****","2019.06.05. 00:29","7","좋은 영화. 어려운 이야기를 잘 풀어냈다.","3","1"
"첫키스만 50번째","side****","2019.05.16. 23:57","10","영화가 미술적으로도 아름다움 배경음악이나 하와이의 배경이라든지  결혼식 장면은 정말 감동이다 큰 갈등요소 없이 잔잔하게 흘러가고 어떤 '처음같은 사랑'을 아담 샌들러의 긍정적이고 코믹한 대사로 표현하고 있음","3","1"
"첫키스만 50번째","suno****","2012.03.08. 19:08","10","50번을 봐도 재밌다. 하루하루가 멋지다. 이 영화의 드류베리모어는 너무 사랑스럽다.","13","11"
"첫키스만 50번째","mage****","2022.01.20. 17:25","10","사랑은 어떤 장애물도 극복할 수 있게 한다. 가볍게 볼 수 있도록 만든 영화지만, 가족, 친구 연인 간의 사랑이 있어 볼 때마다 감동이다.","1","0"
"첫키스만 50번째","hun_****","2022.01.10. 21:45","10","제 인생영화중 하나입니다.순수한 사랑 조건없는 사랑유치한듯 하지만 추억을 새록새록 떠오르게 해주네요~","1","0"
"첫키스만 50번째","ss12****","2021.12.04. 22:59","10","감동도 감동이지만 후반부 마지막장면이 지렸던 영화","1","0"
"첫키스만 50번째","dlco****","2021.11.04. 04:29","10","영화여서 가능한 이야기지만 그만큼 더 로맨틱하고 여운이 남는 영화","1","0"
