"영화제목","작성자","작성일","평점","리뷰","공감수","비공감수"
"내 머리속의 지우개","sol3****","2014.02.09. 02:30","10","이걸 26살 중요한 시험앞둔시점에 보게될줄은 꿈에도 몰랐네요..전 지금... 손예진씨때문에 상사병이 찾아온것같아요... 몇번이고 후회하네요...조금만 참고 멋진 연애를 할때쯤 이영화를 볼껄하고","70","16"
"내 머리속의 지우개","rudd****","2013.12.23. 22:28","10","진짜 이건 만점영화다 영화보고 그렇게운건 난생처음 비주얼최강커플에 너무 슬픈 스토리 다완벽했다","57","6"
"내 머리속의 지우개","jck8****","2012.12.06. 10:48","10","아래 왠 미친인간이 노트북에서 차용한 부분이 보인다하는데이 영화가 노트북보다 먼저 나온 영화입니다 외국에서도 리메이크나 표절많이 한 작품입니다 그노무 문화사대주의란..","54","7"
"내 머리속의 지우개","psyc****","2018.06.16. 09:43","9","정우성의 ""이거 마시면 우리 사귀는 거다""는 전설이다","46","2"
"내 머리속의 지우개","gpfu****","2013.10.11. 17:46","10","내가본것중 가장 슬픈영화","47","6"
"내 머리속의 지우개","seal****","2019.03.04. 23:29","10","23살 손예진.. 그 나이에 이런 연기, 청순함을 가진 배우가 몇이나 있을까... 내용 다 알고 보는데도 나오는 눈물은 막을 수가 없구나.","44","4"
"내 머리속의 지우개","hwan****","2019.03.18. 01:16","10","지금 개봉했더라면 500만은 훌쩍 넘고도 남았을 영화.","34","1"
"내 머리속의 지우개","asda****","2013.02.11. 00:03","10","나도이런사랑을하고싶다","38","5"
"내 머리속의 지우개","hhj5****","2013.10.23. 20:20","10","진정한 사랑에 대해서 다시 한번 생각하게 되는영화다.물질적인 풍요로움보다 서로가 함께한다는 자체만으로도 힘이되고 가치있는 한마디가 더 큰 의미가 있단걸 경각하게 해준다볼때마다 눈물이 나네","38","6"
"내 머리속의 지우개","mins****","2014.08.12. 21:59","10","솔직히 이 영화는 지금 개봉해도 초대박 난다 어케 이렇게 뻔한 소재로 이렇게 감동적인 영화를 ㅋㅋㅋ","35","7"
"내 머리속의 지우개","flar****","2013.03.02. 23:03","10","오래전 영화 인데 지금 다시 봐도 너무 아련하다. 명작 멜로 영화. 두 배우의 연기가 빛을 발한 영화.","38","10"
"내 머리속의 지우개","moki****","2013.02.20. 13:36","10","너무 감동적이다. 후반부가 조금 더 길었으면 하는 아쉬움이 남는다..","32","5"
"내 머리속의 지우개","dltn****","2013.06.27. 13:51","10","그냥굳임 ㅜㅜㅜㅜㅜㅜㅜㅜㅜ엉엉소리내면서 울음 그냥 쩜 연기도 짱!","34","7"
"내 머리속의 지우개","take****","2019.02.14. 21:17","10","개봉당시 무슨일이 있었나? 15년전 영화.. 영상이며.. 음악이 압권인 작품.. 재개봉하면? 대박날듯..","27","1"
"내 머리속의 지우개","dydq****","2014.01.16. 11:41","10","너무 슬픈 사랑이야기  이런  사랑이 있을까기억이 잊혀지면  그사람도 잊혀진다는걸...용서란 미움에게 방한칸만 내어주면 된다는 대사가 마음에 남는다..폭풍눈물....나도 그에겐 잊혀진 사람이 되겠지..","31","8"
"내 머리속의 지우개","witc****","2019.02.17. 05:06","10","손예진 정우성 두배우는 정말 최고인듯!!","23","2"
"내 머리속의 지우개","ekdw****","2013.07.19. 04:38","8","요새 감정이 메말라 눈물을 막 흘릴수있는 영화를 찾다가 보게되었다.수진이 다른남자의 이름을 부르며 사랑한다 하는 모습에서 참 눈물이 앞을 가리더군요.최고의 멜로영화","24","4"
"내 머리속의 지우개","khh9****","2013.10.12. 18:12","10","최고의 영화요 가나다라마바사","25","5"
"내 머리속의 지우개","jaln****","2019.04.04. 04:05","10","아니 손예진 진짜 미친거 아냐 왜케 이뻐..","19","1"
"내 머리속의 지우개","set7****","2019.03.18. 01:03","10","감동이네..난 영화 처음봤는데..와..정우성 연기잘하네..손예진도 잘하고..영화잘만들었네..ㅎ","19","1"
"내 머리속의 지우개","qkrq****","2013.06.05. 22:00","10","무슨 말이 필요할까 이영화에","24","6"
"내 머리속의 지우개","wigg****","2013.07.12. 23:56","10","최고의영화","25","7"
"내 머리속의 지우개","sang****","2013.07.13. 12:36","10","ㅠㅠㅠ 정말 좋은 영화 !!!","27","9"
"내 머리속의 지우개","tkdb****","2019.03.18. 00:53","10","오늘 EBS 에서 해줘서 다시 보게 되었는데... 진짜 다시봐도.. 너무 슬프고.. 사랑스럽고.. 느끼는 점이 많은 영화입니다.. 정말 재개봉 했으면 좋겠습니다.. 영화관에서 다시 보고 싶어요.. 안보신분들 무조껀 보길 바래요~^^","18","1"
"내 머리속의 지우개","jiyu****","2013.10.12. 21:27","10","몇십번을봐도 질리지않는....♥","27","10"
"내 머리속의 지우개","muni****","2018.10.25. 19:36","10","정말 최고의 로맨스 명작이라고 생각함.마지막 정우성의 사랑해 목소리는 와... 이제껏 들은 그 어느 배우의 사랑해보다 진하게 남는다.그 3마디 대사로 정우성이란 배우 연기력이 다 들어간듯.손예진도 마찬가지","18","2"
"내 머리속의 지우개","libp****","2019.02.16. 13:26","10","명작! 지금 또 봐도 눈물을 흘리게 하는구나. 리즈 시절의 손예진 너무 이쁨. 상황에 매치되어 처연할정도...","18","3"
"내 머리속의 지우개","js_s****","2019.03.18. 00:53","10","웰메이드 영화입니다. 지금 개봉해도 손색없을 정도로^^","15","1"
"내 머리속의 지우개","jjda****","2014.03.18. 00:56","7","손예진이 진짜 이뻤고, 지금도 이쁘지만. 정우성은 연기 참 잘했네 그때도","22","8"
"내 머리속의 지우개","happ****","2015.12.19. 22:50","9","나 여잔데 손예진 보면서 이 여자 먹여살리고 싶다 생각함...ㅠㅠㅠ","26","12"
"내 머리속의 지우개","dung****","2013.06.28. 00:21","10","진짜 대단하다..이제본걸후회할정도록 재밋다 ㅜㅜ","27","13"
"내 머리속의 지우개","kimj****","2018.05.02. 21:19","10","손예진 이거보면 연기.외모되는 몇안돼는여배우임을느낌.정우성김태희랑  중천때는쌍으로발연기 같더만 손예진이랑 붙으니 이렇게케미가 좋으니 연기도 잘해보여. .","13","0"
"내 머리속의 지우개","chi5****","2019.03.18. 00:52","10","한국영화중에 이게 탑이다","14","1"
"내 머리속의 지우개","wood****","2019.03.18. 00:50","10","여기가 천국인가요... ㅠㅠ","14","1"
"내 머리속의 지우개","good****","2017.06.02. 20:55","5","중간에 기억돌아와서 ""사랑하는철수씨"" 하면서 편지 쓸때 캬...","14","1"
"내 머리속의 지우개","yado****","2019.02.14. 23:04","10","아 너무 슬프다...손예진 존예 ㅠㅠ 정우성 존멋 ㅠㅠ","15","2"
"내 머리속의 지우개","vand****","2014.05.20. 00:11","10","10년전 손예진 보소.. 손예진 외모만으로 명품 영화","15","2"
"내 머리속의 지우개","sueb****","2019.02.15. 23:04","6","정우성이 조온나 잘생겼고 손예진이 조온나 예쁜 영화","16","3"
"내 머리속의 지우개","cwhk****","2018.10.17. 06:59","10","그냥 진짜 부부같다 진짜 사랑하는 사이같아빠져들고 공감하고 같이 슬퍼하게 된다관객들을 동화시키는 영화가 명화다","16","3"
"내 머리속의 지우개","youn****","2014.09.30. 03:56","10","너무 울어서 머리가 아프다. 이런 게 진짜구나....","22","9"
"내 머리속의 지우개","wjdg****","2014.06.19. 23:20","10","내생에 탑3 에드는 명작 정말슬프다","22","9"
"내 머리속의 지우개","blue****","2017.11.16. 06:36","10","꼭 해주고 싶은 말이 있습니다 그 말을 못해주면 제인생은 아무 의미가 없습니다 사랑해","12","0"
"내 머리속의 지우개","je34****","2020.03.04. 03:06","10","손예진씨 매력이 어디까지입니까 23살의 연기력이라고 믿겨지지 않아요정말 존재가 고품격 그자체시네요존경합니다","13","1"
"내 머리속의 지우개","namb****","2017.06.13. 11:37","10","내 인생 최고의 영화 손예진이 잠깐 기억찾아서 편지 쓰는 장면은 정말.. 최고의 장면이 아닐까","14","2"
"내 머리속의 지우개","sbqh****","2013.10.05. 00:09","10","최고의 영화다 대한민국 멜로의 교본이라고 볼 수 있는 작품 ...두 배우의 비주얼과 연기력 모든게 정말 최고...2004년작이지만 지금봐도 너무 멋진 영화","17","5"
"내 머리속의 지우개","mast****","2016.10.31. 08:01","10","인생영화 입니다 인생유일 평점준 영화입니다 안보신분은 꼭 보세요 어제본게 열번째는된거 같은데 손예진 편지장면 정말 가슴 먹먹합니다 음악도 영상도 배우도 모든게 최고…이런영화 다시 만들어주세요 죽기전에 한번더 느껴보고 싶습니다","20","8"
"내 머리속의 지우개","adam****","2018.04.18. 07:48","10","손예진 연기력... ㄷ ㄷ","11","0"
