Algorithm,Dataset,N,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F1-score,Accuracy,AUC
XGBoost,Test set,6026,2521,2274,739,492,0.7733128834355828,0.8367076003982742,0.7547295054762695,0.8037621552686116,0.7957185529372718,0.8783321835052861
XGBoost,Entire population,31488,14794,13944,1800,950,0.8915270579727612,0.9396595528455285,0.885670731707317,0.9149607273177068,0.9126651422764228,0.969004178001479
