Algorithm,Dataset,N,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F1-score,Accuracy,AUC
Logistic Regression,Test set,6026,2491,2236,777,522,0.7622399020807834,0.8267507467640226,0.7421174908728841,0.7931857984397389,0.7844341188184534,0.8646748039169573
Logistic Regression,Entire population,31488,12964,11750,3994,2780,0.7644769430357353,0.8234247967479674,0.7463160569105691,0.7928567060118646,0.7848704268292683,0.8665698059836449
