Algorithm,Dataset,N,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F1-score,Accuracy,AUC
LGBM,Test set,6026,2535,2295,718,478,0.7792806640024593,0.8413541320942582,0.7616993030202456,0.8091286307053942,0.8015267175572519,0.884280629717292
LGBM,Entire population,31488,14002,12719,3025,1742,0.8223409878428378,0.889354674796748,0.8078633130081301,0.8545360227029996,0.848608993902439,0.9285620389907216
